Gene ID (EcoCyc),Enzyme encoded,Reactions,has_kinetic,basal,is_used,default MOSEK,add diversity
EG10022,ISOCIT-LYASE,['ISOCIT-CLEAV-RXN'],False,1,True,2,2
EG10023,MALATE-SYNTHASE,['MALSYN-RXN'],False,1,True,1,1
EG11942,CPLX0-7955,['RXN0-1981' 'RXN0-5111' 'TRANS-RXN0-576'],False,0,True,1,1
EG11724,EG11724-MONOMER,['TRANS-RXN0-447'],False,0,False,0,0
EG12462,CPLX0-7535,['RXN0-2162'],False,0,False,0,0
EG11101,CPLX0-8033,['ACETYLESTERASE-RXN'],False,0,False,0,0
G7634,G7634-MONOMER,['RXN-13548'],False,0,False,0,0
EG10033,GLUCOSE-1-PHOSPHAT-CPLX,['GLUCOSE-1-PHOSPHAT-RXN' 'RXN0-1001'],True,0,False,0,0
EG11384,CPLX0-245,['R4-RXN' 'RXN-19953' 'RXN-19954' 'RXN-20692' 'RXN-20691'],False,0,False,0,0
G6275,G6275-MONOMER,['UREIDOGLYCOLATE-LYASE-RXN'],False,0,False,0,0
G6286,CPLX0-7993,['RXN0-7024'],True,0,False,0,0
EG10041,EG10041-MONOMER,['RXN0-5225'],False,0,False,0,0
G6880,G6880-MONOMER,['RXN0-4621'],False,0,False,0,0
EG11159,YGGA-MONOMER,['RXN66-448' 'TRANS-RXN-325'],False,0,False,0,0
EG10086,CPLX-153,['TRANS-RXN-155' 'TRANS-RXN-153A' 'TRANS-RXN-153'],False,0,True,0,2
EG11671,EG11671-MONOMER,['TRANS-RXN0-281'],False,0,False,0,0
EG11665,EG11665-MONOMER,['UNDECAPRENYL-DIPHOSPHATASE-RXN' 'RXN-11776'],False,0,False,0,0
EG10108,EG10108-MONOMER,['1.11.1.15-RXN' 'RXN-19953' 'RXN-19954' 'RXN0-5468'],False,0,False,0,0
G495,G495-MONOMER,['RXN0-5295' 'RXN0-6994'],False,0,False,0,0
EG10114,EG10114-MONOMER,['RXN0-5297' 'RXN0-5295' '6-PHOSPHO-BETA-GLUCOSIDASE-RXN'],False,0,False,0,0
EG12013,EG12013-MONOMER,['RXN-24169' 'RXN-24170' 'RXN-14722' 'BETAGALACTOSID-RXN'],False,0,True,0,1
EG10126,CPLX0-1924,['RXN0-1565' 'TRANS-RXN0-283' 'TRANS-RXN-1592'],False,0,True,1,0
EG10127,ABC-5-CPLX,['ABC-5-RXN' 'TRANS-RXN-296'],False,0,False,0,0
EG10128,ABC-5-CPLX,['ABC-5-RXN' 'TRANS-RXN-296'],False,0,False,0,0
EG10130,COBALADENOSYLTRANS-MONOMER,['BTUR2-RXN' 'RXN-19342' 'RXN-19343' 'COBALADENOSYLTRANS-RXN'],False,0,False,0,0
EG11560,CROBETREDUCT-MONOMER,['CROBETREDUCT-RXN'],False,0,False,0,0
EG11559,CARNDEHYDRA-CPLX,['RXN0-3601'],False,0,False,0,0
EG11558,CAIC-MONOMER,['LCARNCOALIG-RXN'],False,0,False,0,0
EG11557,CARNRACE-MONOMER,['CARNDETRU-RXN'],False,0,True,0,2
EG11561,CPLX0-7906,['TRANS-RXN-100'],False,0,False,0,0
EG12059,CPLX-9493,['RXN-21408'],False,0,False,0,0
EG12058,CPLX-9493,['RXN-21408'],False,0,False,0,0
EG12057,ABC-35-CPLX,['RXN-21407'],False,0,False,0,0
EG12169,ABC-35-CPLX,['RXN-21407'],False,0,False,0,0
EG12055,ABC-35-CPLX,['RXN-21407'],False,0,False,0,0
EG12054,EG12054-MONOMER,['RXN-21423' 'RXN0-7454'],False,0,False,0,0
EG12053,EG12053-MONOMER,['RXN-21421' 'RXN-21424' 'RXN-21425'],False,0,False,0,0
EG12052,EG12052-MONOMER,['RXN-21422'],False,0,False,0,0
