fba_id,base_id
1.1.1.271-RXN (reverse),1.1.1.271-RXN
1.11.1.15-RXN,1.11.1.15-RXN
1.13.11.16-RXN,1.13.11.16-RXN
1.97.1.4-A-RXN,1.97.1.4-A-RXN
1PFRUCTPHOSN-RXN,1PFRUCTPHOSN-RXN
2.1.1.79-RXN-CPD-18361/S-ADENOSYLMETHIONINE//CPD-18373/ADENOSYL-HOMO-CYS/PROTON.67.,2.1.1.79-RXN
2.1.1.79-RXN-CPD-18362/S-ADENOSYLMETHIONINE//CPD-18406/ADENOSYL-HOMO-CYS/PROTON.67.,2.1.1.79-RXN
2.1.1.79-RXN-CPD-18367/S-ADENOSYLMETHIONINE//CPD-18371/ADENOSYL-HOMO-CYS/PROTON.67.,2.1.1.79-RXN
2.1.1.79-RXN-CPD-18369/S-ADENOSYLMETHIONINE//CPD-18372/ADENOSYL-HOMO-CYS/PROTON.67.,2.1.1.79-RXN
2.1.1.79-RXN-CPD-18392/S-ADENOSYLMETHIONINE//CPD-18405/ADENOSYL-HOMO-CYS/PROTON.67.,2.1.1.79-RXN
2.1.1.79-RXN-CPD-18403/S-ADENOSYLMETHIONINE//CPD-18404/ADENOSYL-HOMO-CYS/PROTON.67.,2.1.1.79-RXN
2.7.7.61-RXN,2.7.7.61-RXN
2.7.8.25-RXN,2.7.8.25-RXN
2.7.9.3-RXN,2.7.9.3-RXN
2.9.1.1-RXN,2.9.1.1-RXN
3.1.3.68-RXN[CCO-CYTOSOL]-2-DEOXY-D-GLUCOSE-6-PHOSPHATE/WATER//2-DEOXY-D-GLUCOSE/Pi.71.,3.1.3.68-RXN
3.1.3.68-RXN[CCO-CYTOSOL]-2-DEOXY-D-GLUCOSE-6-PHOSPHATE/WATER//2-DEOXY-D-GLUCOSE/Pi.71.__G6932-MONOMER,3.1.3.68-RXN
3.4.17.8-RXN,3.4.17.8-RXN
4.3.1.15-RXN,4.3.1.15-RXN
6-PHOSPHO-BETA-GLUCOSIDASE-RXN,6-PHOSPHO-BETA-GLUCOSIDASE-RXN
6-PHOSPHO-BETA-GLUCOSIDASE-RXN-CPD-15978/WATER//ALPHA-GLC-6-P/ALPHA-GLUCOSE.45.,6-PHOSPHO-BETA-GLUCOSIDASE-RXN
6-PHOSPHO-BETA-GLUCOSIDASE-RXN-CPD-15978/WATER//ALPHA-GLC-6-P/GLC.35.,6-PHOSPHO-BETA-GLUCOSIDASE-RXN
6-PHOSPHO-BETA-GLUCOSIDASE-RXN-CPD-15978/WATER//ALPHA-GLC-6-P/Glucopyranose.45.,6-PHOSPHO-BETA-GLUCOSIDASE-RXN
6-PHOSPHO-BETA-GLUCOSIDASE-RXN-CPD-15978/WATER//D-glucopyranose-6-phosphate/ALPHA-GLUCOSE.59.,6-PHOSPHO-BETA-GLUCOSIDASE-RXN
6-PHOSPHO-BETA-GLUCOSIDASE-RXN-CPD-15978/WATER//D-glucopyranose-6-phosphate/GLC.49.,6-PHOSPHO-BETA-GLUCOSIDASE-RXN
6-PHOSPHO-BETA-GLUCOSIDASE-RXN-CPD-15978/WATER//GLC-6-P/ALPHA-GLUCOSE.39.,6-PHOSPHO-BETA-GLUCOSIDASE-RXN
6-PHOSPHO-BETA-GLUCOSIDASE-RXN-CPD-15978/WATER//GLC-6-P/GLC.29.,6-PHOSPHO-BETA-GLUCOSIDASE-RXN
