plate,well,compound_name,mix0_id,matched_species_id,compartment,match_status,alternative_molecules,notes
PM1,A1,carbon negative control,MIX0-80,,,matched,,
PM1,A2,L-Arabinose,MIX0-420,L-ARABINOSE,p,matched,"CPD-12045, ARABINOSE, CPD-12046, BETA-L-ARABINOSE, CPD-15699",
PM1,A3,N-Acetyl-D-Glucosamine,MIX0-421,N-acetyl-D-glucosamine,p,matched_from_notebook,N-ACETYL-BETA-D-GLUCOSAMINE,"multiple candidate ids: N-ACETYL-BETA-D-GLUCOSAMINE, N-acetyl-D-glucosamine; sourced from old hand-curated notebook, validated against current model -- spot-check recommended"
PM1,A4,D-Saccharic acid,MIX0-422,D-GLUCARATE,e,matched_from_notebook,,"e:2 rxns (TRANS-RXN0-609-D-GLUCARATE//D-GLUCARATE.25., TRANS-RXN0-609-D-GLUCARATE//D-GLUCARATE.25. (reverse)); p:3 rxns (TRANS-RXN0-204, TRANS-RXN0-609-D-GLUCARATE//D-GLUCARATE.25.); sourced from old hand-curated notebook, validated against current model -- spot-check recommended"
PM1,A5,Succinic acid,MIX0-423,SUC,e,matched_from_notebook,,"e:2 rxns (TRANS-RXN0-609-SUC//SUC.9., TRANS-RXN0-609-SUC//SUC.9. (reverse)); p:10 rxns (TRANS-RXN-106, TRANS-RXN-106A); sourced from old hand-curated notebook, validated against current model -- spot-check recommended"
PM1,A6,D-Galactose,MIX0-424,GALACTOSE,e,matched_from_notebook,"CPD0-2486, ALPHA-D-GALACTOSE, CPD0-2485, GALACTOSE, CPD-15590","sourced from old hand-curated notebook, validated against current model -- spot-check recommended"
PM1,A7,L-Aspartic acid,MIX0-425,L-ASPARTATE,e,matched_from_notebook,,"e:4 rxns (TRANS-RXN0-609-L-ASPARTATE//L-ASPARTATE.25., TRANS-RXN0-609-L-ASPARTATE//L-ASPARTATE.25. (reverse)); p:11 rxns (ASPARAGHYD-RXN[CCO-PERI-BAC]-ASN/WATER//L-ASPARTATE/AMMONIUM.46., TRANS-RXN-106A); sourced from old hand-curated notebook, validated against current model -- spot-check recommended"
PM1,A8,L-Proline,MIX0-426,PRO,e,matched_from_notebook,,"e:2 rxns (TRANS-RXN0-612-PRO//PRO.9., TRANS-RXN0-612-PRO//PRO.9. (reverse)); p:6 rxns (ABC-26-RXN, TRANS-RXN-118); sourced from old hand-curated notebook, validated against current model -- spot-check recommended"
PM1,A9,D-Alanine,MIX0-427,D-ALANINE,e,matched_from_notebook,,"e:2 rxns (TRANS-RXN0-612-D-ALANINE//D-ALANINE.21., TRANS-RXN0-612-D-ALANINE//D-ALANINE.21. (reverse)); p:18 rxns (3.4.17.8-RXN, RXN-11302); sourced from old hand-curated notebook, validated against current model -- spot-check recommended"
PM1,A10,D-Trehalose,MIX0-428,TREHALOSE,e,matched_from_notebook,,"e:4 rxns (RXN0-7203-TREHALOSE//TREHALOSE.21., RXN0-7203-TREHALOSE//TREHALOSE.21. (reverse)); p:6 rxns (RXN0-7203-TREHALOSE//TREHALOSE.21., RXN0-7203-TREHALOSE//TREHALOSE.21. (reverse)); sourced from old hand-curated notebook, validated against current model -- spot-check recommended"
