,0,no change (without binary_idx),add diversity,remove efficiency and add diversity,kinetic,is_new
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.1.1.127-RXN,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
1.1.1.127-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
1.1.1.215-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.1.1.251-RXN,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
1.1.1.251-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
1.1.1.271-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,New Reactions
1.1.1.274-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.1.1.283-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.1.1.39-RXN,-4.0,-4.0,-4.000000007899771,-4.0,4.1976664289485415,Old Reactions
1.1.1.83-RXN,-4.0,-4.0,-4.0,-4.0,2.8438554848429964,Old Reactions
1.11.1.15-RXN,-4.0,-4.0,-4.0,-4.0,False,New Reactions
1.13.11.16-RXN,-4.0,-4.0,-4.0,-4.0,1.826075450901062,New Reactions
1.3.1.9-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.5.1.20-RXN-5-METHYL-THF/NAD//METHYLENE-THF/NADH/PROTON.44.,-4.0,-4.0,4.342727686266486e-05,8.999999999131454,False,Old Reactions
1.5.1.20-RXN-5-METHYL-THF/NAD//METHYLENE-THF/NADH/PROTON.44. (reverse),3.0349582027318784,3.1485522916152084,3.0876102554779963,9.000000000000043,False,Old Reactions
1.5.1.20-RXN-5-METHYL-THF/NADP//METHYLENE-THF/NADPH/PROTON.46.,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
1.5.1.20-RXN-5-METHYL-THF/NADP//METHYLENE-THF/NADPH/PROTON.46. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
1.5.1.20-RXN-CPD-1302/NAD//CPD-12996/NADH/PROTON.36.,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
1.5.1.20-RXN-CPD-1302/NAD//CPD-12996/NADH/PROTON.36. (reverse),3.6714908168952274,3.170492657563998,3.6584626377532263,9.000000000000043,False,Old Reactions
1.5.1.20-RXN-CPD-1302/NADP//CPD-12996/NADPH/PROTON.38.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
1.5.1.20-RXN-CPD-1302/NADP//CPD-12996/NADPH/PROTON.38. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
1.7.2.2-RXN-A-REDUCED-TORY-PROTEIN/NITRITE/PROTON//AMMONIUM/an-oxidized-TorY-protein/WATER.79.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.2-RXN-Cytochromes-C-Reduced/NITRITE/PROTON//AMMONIUM/Cytochromes-C-Oxidized/WATER.76.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.2-RXN-Cytochromes-C550-Red/NITRITE/PROTON//AMMONIUM/Cytochromes-C550-Ox/WATER.72.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.2-RXN-Cytochromes-C552-Red/NITRITE/PROTON//AMMONIUM/Cytochromes-C552-Ox/WATER.72.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.2-RXN-Cytochromes-C554-Red/NITRITE/PROTON//AMMONIUM/Cytochromes-C554-Ox/WATER.72.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.2-RXN-Cytochromes-CL-Red/NITRITE/PROTON//AMMONIUM/Cytochromes-CL-Ox/WATER.68.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.2-RXN-Reduced-NapC-proteins/NITRITE/PROTON//AMMONIUM/Oxidized-NapC-proteins/WATER.76.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.2-RXN-Reduced-cytochromes-c2/NITRITE/PROTON//AMMONIUM/Oxidized-cytochromes-c2/WATER.78.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.2-RXN-Reduced-cytochromes-c553/NITRITE/PROTON//AMMONIUM/Oxidized-cytochromes-c553/WATER.82.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.2-RXN-a-reduced-NrfB-protein/NITRITE/PROTON//AMMONIUM/an-oxidized-NrfB-protein/WATER.79.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.2-RXN-a-reduced-TorC-protein/NITRITE/PROTON//AMMONIUM/an-oxidized-TorC-protein/WATER.79.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.3-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.3-RXN-TRIMETHYLAMINE/Cytochromes-C550-Ox/WATER//TRIMETHYLAMINE-N-O/Cytochromes-C550-Red/PROTON.89. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.3-RXN-TRIMETHYLAMINE/Cytochromes-C552-Ox/WATER//TRIMETHYLAMINE-N-O/Cytochromes-C552-Red/PROTON.89. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
