Gene ID (EcoCyc),Gene locus ID,Gene name,Enzyme encoded,Description by Cyrus,primary_level1,primary_level2,all_level1_categories
EG10022,b4015,aceA,ISOCIT-LYASE,acetate transport + metabolism,metabolism,central intermediary metabolism,metabolism
EG10023,b4014,aceB,MALATE-SYNTHASE,acetate transport + metabolism,metabolism,central intermediary metabolism,metabolism
EG11942,b4067,actP,CPLX0-7955,acetate transport + metabolism,transport,Electrochemical potential driven transporters,cell structure | transport
EG11724,b3714,adeP,EG11724-MONOMER,adenine transport,transport,Electrochemical potential driven transporters,transport
EG12462,b4115,adiC,CPLX0-7535,"transport, acid resistance",transport,Electrochemical potential driven transporters,cell structure | transport
EG11101,b0476,aes,CPLX0-8033,general fatty acid degradation,metabolism,carbon utilization,metabolism
G7634,b3136,agaS,G7634-MONOMER,"enzyme, only in some strains",metabolism,carbon utilization,metabolism
EG10033,b1002,agp,GLUCOSE-1-PHOSPHAT-CPLX,periplasmic phosphatase to import g6p,metabolism,central intermediary metabolism,metabolism
EG11384,b0605,ahpC,CPLX0-245,general peroxidase,cell processes,protection,cell processes
G6275,b0505,allA,G6275-MONOMER,allantoin purine utilization nitrogen source,metabolism,central intermediary metabolism,metabolism
G6286,b0517,allD,CPLX0-7993,allantoin purine utilization nitrogen source,metabolism,central intermediary metabolism,metabolism
EG10041,b0110,ampD,EG10041-MONOMER,cell wall recycling,metabolism,central intermediary metabolism,cell structure | metabolism
G6880,b1640,anmK,G6880-MONOMER,cell wall recycling,metabolism,central intermediary metabolism,metabolism
EG11159,b2923,argO,YGGA-MONOMER,arg transport,transport,Electrochemical potential driven transporters,transport
EG10086,b2715,ascF,CPLX-153,pts rare carbon,metabolism,carbon utilization,cell structure | metabolism | transport
EG11671,b2223,atoE,EG11671-MONOMER,acetoacetate trans,transport,Putative uncharacterized transport protein,transport
EG11665,b3057,bacA,EG11665-MONOMER,cell wall synthesis,cell processes,protection,cell processes | cell structure
EG10108,b2480,bcp,EG10108-MONOMER,"thio redox, oxidative stress",cell processes,protection,cell processes
G495,b2901,bglA,G495-MONOMER,"glucosidase, more evidence needed",metabolism,carbon utilization,metabolism
EG10114,b3721,bglB,EG10114-MONOMER,"glucosidase, more evidence needed",metabolism,carbon utilization,metabolism
EG12013,b2132,bglX,EG12013-MONOMER,"glucosidase, more evidence needed",metabolism,carbon utilization,metabolism
EG10126,b3966,btuB,CPLX0-1924,vit b uptake,transport,Channel-type Transporters,extrachromosomal | transport
EG10127,b1711,btuC,ABC-5-CPLX,vit b uptake,metabolism,biosynthesis of building blocks,cell structure | metabolism | transport
EG10128,b1709,btuD,ABC-5-CPLX,vit b uptake,metabolism,biosynthesis of building blocks,metabolism | transport
EG10130,b1270,btuR,COBALADENOSYLTRANS-MONOMER,vit b uptake,metabolism,biosynthesis of building blocks,metabolism
EG11560,b0039,caiA,CROBETREDUCT-MONOMER,carnitine metabolism,metabolism,energy production/transport,metabolism
EG11559,b0038,caiB,CARNDEHYDRA-CPLX,carnitine metabolism,metabolism,central intermediary metabolism,metabolism
EG11558,b0037,caiC,CAIC-MONOMER,carnitine metabolism,metabolism,carbon utilization,metabolism
EG11557,b0036,caiD,CARNRACE-MONOMER,carnitine metabolism,metabolism,central intermediary metabolism,metabolism
EG11561,b0040,caiT,CPLX0-7906,carnitine metabolism,metabolism,carbon utilization,cell structure | metabolism | transport
EG12059,b2201,ccmA,CPLX-9493,t1 cyt c gen,metabolism,biosynthesis of macromolecules (cellular constituents),metabolism
EG12058,b2200,ccmB,CPLX-9493,t1 cyt c gen,metabolism,biosynthesis of macromolecules (cellular constituents),cell structure | metabolism
EG12057,b2199,ccmC,ABC-35-CPLX,t1 cyt c gen,metabolism,biosynthesis of macromolecules (cellular constituents),cell structure | metabolism
EG12169,b2198,ccmD,ABC-35-CPLX,t1 cyt c gen,metabolism,biosynthesis of macromolecules (cellular constituents),cell structure | information transfer | metabolism
EG12055,b2197,ccmE,ABC-35-CPLX,t1 cyt c gen,metabolism,biosynthesis of macromolecules (cellular constituents),information transfer | metabolism
EG12054,b2196,ccmF,EG12054-MONOMER,t1 cyt c gen,metabolism,biosynthesis of macromolecules (cellular constituents),cell structure | metabolism
EG12053,b2195,ccmG,EG12053-MONOMER,t1 cyt c gen,metabolism,biosynthesis of macromolecules (cellular constituents),cell structure | information transfer | metabolism
EG12052,b2194,ccmH,EG12052-MONOMER,t1 cyt c gen,metabolism,biosynthesis of macromolecules (cellular constituents),cell structure | information transfer | metabolism
EG11531,b1661,cfa,CFA-CPLX,unsat fatty acid methyl,metabolism,biosynthesis of building blocks,metabolism
EG10142,b1736,chbA,CPLX-155,cellobiose transport,metabolism,carbon utilization,metabolism | transport
EG10140,b1738,chbB,CPLX-155,cellobiose transport,metabolism,carbon utilization,metabolism | transport
EG10141,b1737,chbC,CPLX-155,cellobiose transport,metabolism,carbon utilization,cell structure | metabolism | transport
EG10144,b1734,chbF,CPLX0-7979,cellobiose metabolism,metabolism,carbon utilization,metabolism
G6339,b0613,citG,G6339-MONOMER,citrate lyase prosthetic group syn,information transfer,protein related,information transfer
G6338,b0612,citT,B0612-MONOMER,"citrate transport, anaerobic",metabolism,carbon utilization,cell structure | metabolism | transport
G6340,b0614,citX,G6340-MONOMER,citrate lyase prosthetic group syn,information transfer,protein related,information transfer
G6850,b1592,clcB,YNFJ-MONOMER,"chloride transport, acid resistance",transport,unclassified,transport
G6349,b0638,cobC,RIBAZOLEPHOSPHAT-MONOMER,"vit b12 biosynthesis, putative",metabolism,biosynthesis of building blocks,metabolism
EG11327,b0336,codB,CODB-MONOMER,cytosine transport,metabolism,central intermediary metabolism,cell structure | metabolism | transport
EG10160,b4213,cpdB,CPDB-MONOMER,"cyclic phosphadiesterase, broad",metabolism,central intermediary metabolism,metabolism
G6760,b1449,curA,CPLX0-7927,"curcumin met, unknown further path",unclassified,unclassified,unclassified
G6322,b0574,cusB,CPLX0-1721,copper/silver efflux,transport,Accessory Factors Involved in Transport,cell processes | transport
G6320,b0572,cusC,CPLX0-1721,copper/silver efflux,cell structure,membrane,cell structure | extrachromosomal
G6321,b0573,cusF,CPLX0-1721,copper/silver efflux,transport,unclassified,cell processes | transport
EG10172,b1418,cybB,CYTOCHROME-B561-MONOMER,aux respiratory chain ,metabolism,energy production/transport,metabolism
EG10175,b0340,cynS,CYANLY-CPLX,cyanate/cyanide utilization,metabolism,central intermediary metabolism,cell processes | metabolism
EG10177,b0341,cynX,CYNX-MONOMER,cyanate transport,metabolism,central intermediary metabolism,cell processes | cell structure | metabolism | transport
EG10201,b0632,dacA,CPLX0-8252,antibiotic resistance,metabolism,biosynthesis of macromolecules (cellular constituents),cell processes | metabolism
EG10202,b3182,dacB,CPLX0-8545,antibiotic resistance,metabolism,biosynthesis of macromolecules (cellular constituents),cell processes | cell structure | metabolism
EG10203,b0839,dacC,CPLX0-8254,antibiotic resistance,metabolism,biosynthesis of macromolecules (cellular constituents),metabolism
EG11893,b2010,dacD,RPOA-MONOMER,antibiotic resistance,metabolism,biosynthesis of macromolecules (cellular constituents),metabolism
G6347,b0621,dcuC,DCUC-MONOMER,succinate/fumarate transport,metabolism,carbon utilization,cell structure | metabolism | transport
G6980,b1794,dgcP,G6980-MONOMER,"prod of reg for biofilm formation, lifestyle",unclassified,unclassified,unclassified
GB4478,b3692,dgoD,GALACTONATE-DEHYDRATASE-MONOMER,galactonate metabolism (carbon source),metabolism,carbon utilization,metabolism
EG20051,b3693,dgoK,DEHYDDEOXGALACTKIN-MONOMER,galactonate metabolism (carbon source),metabolism,carbon utilization,metabolism
EG20053,b3691,dgoT,YIDT-MONOMER,galactonate metabolism (carbon source),transport,Electrochemical potential driven transporters,cell structure | transport
G6784,b1490,dosC,CPLX0-8218,"cdGMP, stress response (oxygen)",regulation,unclassified,cell processes | regulation
G6783,b1489,dosP,CPLX0-8199,"cdGMP, stress response (oxygen)",cell processes,adaptations,cell processes
EG10250,b2365,dsdX,DSDX-MONOMER,Serine transport,transport,Electrochemical potential driven transporters,cell structure | transport
EG11105,b0597,entH,CPLX0-7766,enterobactin gen,metabolism,biosynthesis of building blocks,cell processes | metabolism
EG11104,b0591,entS,YBDA-MONOMER,enterobactin gen,transport,Electrochemical potential driven transporters,cell structure | transport
G7285,b2455,eutE,G7285-MONOMER,transport,metabolism,carbon utilization,metabolism
EG10271,b3006,exbB,"['CPLX0-1924', 'CPLX0-1941', 'CPLX0-1942', 'CPLX0-1943', 'CPLX0-7952', 'CPLX0-8541', 'CPLX0-9372']",metal transport,transport,Electrochemical potential driven transporters,cell processes | cell structure | transport
EG10272,b3005,exbD,"['CPLX0-1924', 'CPLX0-1941', 'CPLX0-1942', 'CPLX0-1943', 'CPLX0-7952', 'CPLX0-8541', 'CPLX0-9372']",metal transport,transport,Electrochemical potential driven transporters,cell processes | cell structure | transport
G36,b3081,fadH,DIENOYLCOAREDUCT-MONOMER,fatty acid chain modification,metabolism,carbon utilization,metabolism
EG11788,b2052,fcl,CPLX0-3881,cell wall component biosynthesis,metabolism,biosynthesis of macromolecules (cellular constituents),cell processes | cell structure | metabolism
EG10286,b4291,fecA,CPLX0-1943,metal transport,transport,Channel-type Transporters,cell processes | transport
EG10287,b4290,fecB,ABC-9-CPLX,metal transport,transport,Primary Active Transporters,cell processes | transport
EG10288,b4289,fecC,ABC-9-CPLX,metal transport,transport,Primary Active Transporters,cell processes | cell structure | transport
EG10289,b4288,fecD,ABC-9-CPLX,metal transport,transport,Primary Active Transporters,cell structure | transport
EG10290,b4287,fecE,ABC-9-CPLX,metal transport,transport,Primary Active Transporters,cell processes | transport
EG10293,b0584,fepA,CPLX0-1941,metal transport,transport,Channel-type Transporters,cell processes | extrachromosomal | transport
EG10294,b0592,fepB,ABC-10-CPLX,metal transport,transport,Primary Active Transporters,cell processes | transport
EG10295,b0588,fepC,ABC-10-CPLX,metal transport,transport,Primary Active Transporters,cell processes | transport
EG10296,b0590,fepD,ABC-10-CPLX,metal transport,transport,Primary Active Transporters,cell processes | cell structure | transport
EG10298,b0589,fepG,ABC-10-CPLX,metal transport,transport,Primary Active Transporters,cell processes | cell structure | transport
EG10302,b0150,fhuA,CPLX0-1942,metal transport,transport,Channel-type Transporters,extrachromosomal | transport
EG10303,b0153,fhuB,ABC-11-CPLX,metal transport,transport,Primary Active Transporters,cell processes | cell structure | transport
EG10304,b0151,fhuC,ABC-11-CPLX,metal transport,transport,Primary Active Transporters,cell processes | transport
EG10305,b0152,fhuD,ABC-11-CPLX,metal transport,transport,Primary Active Transporters,cell processes | transport
EG10306,b1102,fhuE,CPLX0-7952,metal transport,metabolism,central intermediary metabolism,cell processes | metabolism | transport
G6414,b0805,fiu,CPLX0-8541,metal transport,transport,Channel-type Transporters,cell processes | transport
G7309,b2492,focB,FOCB-MONOMER,formate transport,transport,Electrochemical potential driven transporters,cell structure | transport
EG12908,b3370,frlA,YHFM-MONOMER,psicoselysine transport? carbon source,transport,Electrochemical potential driven transporters,cell structure | transport
EG10336,b2167,fruA,CPLX-158,fructose transport (pts),metabolism,carbon utilization,cell structure | metabolism | transport
G7990,b2169,fruB,CPLX-158,fructose transport (pts),metabolism,carbon utilization,metabolism | transport
EG10337,b2168,fruK,1-PFK,fructose met,metabolism,"energy metabolism, carbon",metabolism
G6428,b0825,fsaA,CPLX0-201,galactarate metabolism,metabolism,unclassified,metabolism
EG11905,b3946,fsaB,CPLX0-8584,galactarate metabolism,metabolism,unclassified,metabolism
EG10341,b0084,ftsI,EG10341-MONOMER,"peptidoglycan syn, antibiotic target",metabolism,biosynthesis of macromolecules (cellular constituents),cell processes | cell structure | metabolism
EG11319,b1236,galU,CPLX0-8205,"galactose deg, cell envelope biosyn",metabolism,carbon utilization,cell processes | cell structure | metabolism
EG12522,b3128,garD,CPLX0-8537,"glycol met, glyoxylate shuttle",metabolism,carbon utilization,metabolism
EG12760,b3127,garP,YHAU-MONOMER,"phosphate utilization, glycerol-phosphate uptake",metabolism,carbon utilization,cell structure | metabolism | transport
EG10369,b0124,gcd,GLUCDEHYDROG-MONOMER,unknown glucose-related function,metabolism,carbon utilization,cell structure | metabolism
EG20080,b2976,glcB,MALSYNG-MONOMER,glutamate transport,metabolism,carbon utilization,metabolism
EG10401,b2240,glpT,GLPT-MONOMER,gluconate transport,metabolism,"energy metabolism, carbon",cell structure | metabolism | transport
EG10406,b3653,gltS,GLTS-MONOMER,gluconate transport,metabolism,biosynthesis of building blocks,cell structure | metabolism | transport
EG11787,b2053,gmd,GDPMANDEHYDRA-CPLX,cell wall biosyn,metabolism,biosynthesis of building blocks,cell processes | cell structure | metabolism
EG11789,b2051,gmm,CPLX0-7712,cell wall biosyn,metabolism,biosynthesis of macromolecules (cellular constituents),metabolism
EG12380,b3415,gntT,GNTT-MONOMER,putative sugar transport,transport,Electrochemical potential driven transporters,cell structure | transport
EG12631,b3435,gntU,GNTU-MONOMER,putative sugar transport,transport,Electrochemical potential driven transporters,cell structure | transport
EG11871,b3385,gph,GPH-MONOMER,dsb repair byproduct recovery,information transfer,DNA related,information transfer
EG10417,b0849,grxA,RED-GLUTAREDOXIN,disulfide reduction,metabolism,biosynthesis of macromolecules (cellular constituents),metabolism
EG12294,b3610,grxC,GRXC-MONOMER,mysterious disulfide reduction,metabolism,biosynthesis of macromolecules (cellular constituents),metabolism
G7445,b2787,gudD,GLUCARDEHYDRA-MONOMER,3-phenylpropanoate metabolism,metabolism,carbon utilization,metabolism
G7447,b2789,gudP,B2789-MONOMER,3-phenylpropanoate metabolism,metabolism,carbon utilization,cell structure | metabolism | transport
G7335,b2541,hcaB,PHENPRODIOLDEHYDROG-MONOMER,3-phenylpropanoate metabolism,metabolism,carbon utilization,metabolism
G7334,b2540,hcaC,HCAMULTI-CPLX,3-phenylpropanoate metabolism,metabolism,carbon utilization,metabolism
G7336,b2542,hcaD,HCAMULTI-CPLX,3-phenylpropanoate metabolism,metabolism,carbon utilization,metabolism
M009,b2538,hcaE,HCAMULTI-CPLX,3-phenylpropanoate metabolism,metabolism,carbon utilization,metabolism
M015,b2539,hcaF,HCAMULTI-CPLX,"Hydrogen cycling/oxidation for energy, important for low-O2 conditions",metabolism,carbon utilization,metabolism
G7330,b2536,hcaT,HCAT-MONOMER,"Hydrogen cycling/oxidation for energy, important for low-O2 conditions",transport,Electrochemical potential driven transporters,cell structure | transport
G6457,b0873,hcp,G6457-MONOMER,nitric oxide toxicity (pathogen resistance?),metabolism,metabolism of other compounds,metabolism
G6456,b0872,hcr,G6456-MONOMER,nitric oxide toxicity (pathogen resistance?),metabolism,unclassified,metabolism
