Index,lambda_sec,lambda_eff,lambda_kin,lambda_div,norm_sec,norm_eff,norm_kin,norm_div,norm
1,1.62E-05,1.90E-05,0.000675622,0.007915997,0.086380062,1,0.271061099,0.793757382,1.308046794
2,0.000106769,3.27E-06,0.000937757,0.009972817,0.569677486,0.172500479,0.376230226,1,1.223044576
3,0.00018742,5.71E-06,0.001134487,0.003834375,1,0.300999119,0.455158592,0.384482634,1.202329701
4,0.000164999,1.24E-05,0.001143086,0.000109638,0.880370687,0.655407281,0.458608364,0.010993652,1.189560315
5,3.82E-05,6.15E-06,0.000684678,0.009401175,0.203713116,0.324271377,0.274694369,0.942680017,1.053922943
6,1.96E-05,1.23E-06,0.002492509,0.00014409,0.104599547,0.064609412,1,0.014448273,1.007632966
7,1.20E-05,2.58E-06,0.002480546,0.000141872,0.06419274,0.136014486,0.995200322,0.014225871,1.006601562
8,4.35E-05,4.38E-06,0.000634765,0.008051144,0.231978798,0.231017951,0.254668866,0.807308882,0.907627301
9,1.15E-05,1.41E-06,0.002242275,0.000472034,0.061624065,0.074141428,0.899605549,0.047332058,0.905993899
10,0.000131345,6.30E-06,0.001011174,0.000659785,0.700805719,0.332122157,0.405685207,0.066158295,0.877719312
11,0.000120702,6.17E-06,0.001052659,0.000579189,0.6440159,0.32519904,0.422328812,0.05807679,0.838000856
12,2.92E-05,1.44E-05,0.000587986,0.001236255,0.155712399,0.758404025,0.235901189,0.123962488,0.818803447
13,2.92E-05,5.27E-06,0.00054671,0.006891596,0.155763178,0.277627801,0.219341064,0.691038028,0.791822847
14,0.000129401,3.03E-06,0.000748133,0.00122517,0.690434003,0.159753993,0.300152359,0.122850897,0.779361426
15,9.49E-05,2.66E-06,0.000803342,0.004204751,0.506234112,0.140119912,0.322302485,0.421621215,0.746692646
16,0.000108153,3.36E-06,0.000823749,0.000145507,0.577061751,0.176883875,0.330489696,0.014590397,0.688276463
17,6.57E-05,6.97E-06,0.001024016,0.000766121,0.350549647,0.367686517,0.410837402,0.076820878,0.657850476
18,1.78E-05,2.03E-06,0.001528824,0.000352937,0.0951724,0.106931372,0.613367374,0.035389863,0.630843944
19,2.54E-05,9.84E-06,0.000566853,0.000354766,0.135516602,0.51895122,0.227422663,0.035573279,0.583662269
20,1.11E-05,7.58E-06,0.000823134,0.000255493,0.059355847,0.399543127,0.330242952,0.025618922,0.522373969
21,1.65E-05,6.66E-06,0.000719757,0.00013293,0.088256743,0.351263044,0.288767971,0.013329261,0.463400031
22,1.21E-05,7.03E-06,0.000571797,0.000240347,0.064626653,0.370626415,0.229406141,0.024100228,0.441303232
23,7.49E-05,1.53E-06,0.000371206,0.000574697,0.399472745,0.080425346,0.148928687,0.057626309,0.437661119
24,1.14E-05,1.79E-06,0.00094239,0.000397214,0.060979284,0.094583655,0.378088984,0.039829709,0.39648736
25,1.12E-05,2.19E-06,0.000637884,0.000384759,0.059817682,0.115224684,0.255920426,0.038580809,0.289549005
26,1.90E-05,3.11E-06,0.000470513,0.000314304,0.101551954,0.164174739,0.188770813,0.031516028,0.271834184
27,1.69E-05,3.38E-06,0.000291813,0.000311137,0.090238415,0.178295668,0.117075955,0.03119851,0.233693053
28,1.23E-05,2.96E-06,0.000371914,0.000384535,0.065536236,0.156293208,0.149212551,0.038558272,0.229071366
29,1.89E-05,1.51E-06,0.000428084,0.000314326,0.100830996,0.079789981,0.171748179,0.031518309,0.216850574
30,1.75E-05,3.31E-06,0.000205392,0.000165567,0.093507905,0.174708844,0.082403532,0.016601862,0.21525072
31,1.01E-05,3.10E-06,0.000153539,0.000264477,0.053765629,0.163434999,0.061600161,0.02651976,0.184660822
32,1.24E-05,2.65E-06,0.000158871,0.000150238,0.066363817,0.139794442,0.063739285,0.015064774,0.168036562
33,2.04E-05,1.25E-06,0.000209305,0.000237529,0.10904589,0.066096866,0.083973418,0.023817668,0.154527079
34,1.03E-05,1.81E-06,0.000107761,0.000156707,0.055196032,0.095646963,0.043233868,0.015713451,0.11962869
35,1.59E-05,1.22E-06,0.000105287,0.000153616,0.084717788,0.064128224,0.042241243,0.01540347,0.115373837
