Index,lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,fraction_kinetic_target,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,toya_pearson_r_squared,toya_r_squared,kin_hom_ratio,wc_hom_met
397,0.023748941,5.02061E-05,2.33E-07,3.1497E-05,0.008770645,1,0.000914506,1.52E-12,23.02245718,155.0585906,2.734067534,0.001827994,3.60E-14,0.000725138,3.60683E-05,0.000137267,1.60327E-05,0.738260309,0.541614549,0.001326248,FALSE
8168,0.015086116,2.39736E-05,1.69E-07,1.77893E-05,8.44716E-05,1,0.00050147,1.36E-12,23.02242673,155.05817,2.73403939,0.00183742,2.05E-14,0.000409553,2.62175E-05,6.55446E-05,1.55E-07,0.738259864,0.541620121,0.001179183,TRUE
3540,0.0428839,8.57135E-05,7.54E-07,5.04793E-05,0.001594363,1,0.001516354,2.43E-12,23.02245718,155.0585906,2.734067534,0.001827994,1.04E-13,0.001162159,0.000116935,0.000234346,2.91E-06,0.738260309,0.541614549,0.001177117,"EH, Close to TRUE"
1538,0.02211678,2.64322E-05,1.32E-07,1.9731E-05,0.00831256,1,0.000562139,8.98E-13,23.02245718,155.0585906,2.734067534,0.001827994,1.99E-14,0.000454255,2.04211E-05,7.22675E-05,1.51953E-05,0.738260309,0.541614549,0.000892126,TRUE
2301,0.025996841,4.32125E-05,2.24E-07,2.1778E-05,0.003626529,1,0.000660927,2.39E-12,23.02250858,155.0587394,2.734038624,0.001827994,6.22E-14,0.000501385,3.47686E-05,0.000118145,6.63E-06,0.739218171,0.541948761,0.000837718,TRUE
343,0.060401262,7.18971E-05,5.44E-07,3.86994E-05,0.000586698,1,0.001172971,9.57E-13,23.02249988,155.0586157,2.734031033,0.001829444,5.78E-14,0.000890957,8.43723E-05,0.000196569,1.07E-06,0.738260625,0.54161101,0.000640705,TRUE
7407,0.058542968,6.20176E-05,8.61E-07,3.3792E-05,0.000133349,1,0.001081222,1.16E-12,23.02335963,155.0442744,2.733649003,0.001859173,6.76E-14,0.000778006,0.000133433,0.000169534,2.48E-07,0.739194553,0.542120423,0.000577218,TRUE
4968,0.073063342,7.66395E-05,6.50E-07,3.87173E-05,1.76425E-05,1,0.001201768,4.57E-12,23.02214564,155.0552873,2.733829197,0.002294642,3.34E-13,0.000891355,0.000100854,0.000209519,4.05E-08,0.738258791,0.541649293,0.000529914,TRUE
9072,0.107305678,9.79468E-05,1.51E-07,5.49898E-05,0.000207336,1,0.00155759,7.48E-13,23.02240316,155.0578054,2.734019835,0.001851197,8.02E-14,0.001265998,2.34202E-05,0.000267788,3.84E-07,0.738261965,0.541625382,0.00051246,TRUE
1135,0.024189487,3.84742E-05,2.81E-07,1.12251E-05,1.11192E-05,1,0.000400163,2.70E-12,24.82287636,150.5049891,2.058601598,0.002244526,6.53E-14,0.000278639,4.22961E-05,7.92031E-05,2.50E-08,0.71521444,0.598766975,0.000464047,
9310,0.047933508,2.90546E-05,1.22E-07,2.15733E-05,0.001716776,1,0.000598149,2.12E-12,23.02245718,155.0585906,2.734067534,0.001827994,1.02E-13,0.00049667,1.89035E-05,7.94372E-05,3.14E-06,0.739217731,0.541954338,0.000450067,
299,0.084615481,9.16462E-05,2.70E-07,3.65827E-05,5.79278E-05,1,0.001134715,2.81E-12,23.02335017,155.0411917,2.733465322,0.002063284,2.37E-13,0.000842256,4.18281E-05,0.000250512,1.20E-07,0.739190333,0.542155387,0.00043234,TRUE
6457,0.03398699,4.5419E-05,7.34E-07,1.46013E-05,5.55051E-05,1,0.000566242,3.77E-13,24.89226096,149.2477645,2.048831769,0.001878764,1.28E-14,0.00036346,0.000109622,9.3056E-05,1.04E-07,0.698856833,0.591406206,0.000429615,TRUE
4005,0.030612715,4.13941E-05,2.57E-07,1.2483E-05,2.27669E-05,1,0.000433816,1.52E-12,24.82269546,150.506682,2.058706268,0.002078511,4.64E-14,0.000309862,3.86883E-05,8.52183E-05,4.73E-08,0.715219829,0.598767657,0.000407772,TRUE
9904,0.133544931,9.4114E-05,1.12E-07,5.32254E-05,0.003689904,1,0.001506823,1.42E-12,23.02245718,155.0585906,2.734067534,0.001827994,1.90E-13,0.00122538,1.73835E-05,0.000257314,6.75E-06,0.739219928,0.541954908,0.000398558,
1034,0.087340444,5.40968E-05,1.86E-07,3.07038E-05,0.001281435,1,0.000885956,1.41E-12,23.02245718,155.0585906,2.734067534,0.001827994,1.23E-13,0.000706878,2.88315E-05,0.000147904,2.34E-06,0.738262717,0.541615614,0.000351542,
2230,0.092550374,5.9965E-05,1.62E-06,3.16635E-05,0.005860669,1,0.001153761,2.52E-12,23.04162707,153.9246242,2.742905642,0.001827994,2.34E-13,0.000729579,0.00024899,0.000164478,1.07133E-05,0.734597811,0.5652246,0.000342122,
5766,0.070618955,3.66994E-05,8.65E-07,2.24096E-05,0.000133522,1,0.000750354,9.44E-13,23.02355254,154.0441314,2.749643758,0.00183742,6.67E-14,0.000515948,0.000133251,0.00010091,2.45E-07,0.731029035,0.557585851,0.000317331,
2238,0.040880664,1.97715E-05,2.23E-07,1.27489E-05,3.18111E-05,1,0.000382205,3.24E-12,23.0223332,155.0573323,2.733999543,0.001884914,1.33E-13,0.00029351,3.45798E-05,5.40552E-05,6.00E-08,0.738259082,0.541629804,0.000311857,
1301,0.184764541,7.54214E-05,4.14E-06,5.64174E-05,0.004120166,1,0.002152199,1.11E-12,23.0242612,154.0396731,2.749417844,0.001827994,2.06E-13,0.001298968,0.000638335,0.000207365,7.53E-06,0.73223067,0.558574115,0.000305347,
