Index,lambda_hom,lambda_kin,lambda_eff,lambda_sec,obj_homeo_1.0,obj_homeo_0.5,obj_homeo_0.1,obj_kin_1.0,obj_kin_0.5,obj_kin_0.1,toya_r_squared_1.0,toya_r_squared_0.5,toya_r_squared_0.1,delta_homeo,delta_kin,delta_toya_r2,wc_kd_results
3540,0.0428839,5.04793E-05,7.54E-07,8.57135E-05,1.70E-12,9.94E-13,0.000568122,23.02245718,13.66461572,6.649741584,0.541954338,0.598933733,0.576749715,0.000568122,-16.3727156,0.034795376,"Good. 1.0 well met. 0.8=0.6, home~8E4, 0.4 better home~1E4, 0.1 bad. "
8168,0.015086116,1.77893E-05,1.69E-07,2.39736E-05,3.82E-12,1.29E-12,0.000535366,23.02242673,13.66458056,6.637101973,0.541621185,0.598939991,0.572855868,0.000535366,-16.38532476,0.031234682,No. Bad Kd=1.0 homeo. Good kd=0.8=0.6=0.6 homeo. Worse homeo for kd=0.1
397,0.023748941,3.1497E-05,2.33E-07,5.02061E-05,9.24E-13,0.000147866,0.000535237,23.02245718,13.60810543,6.637330231,0.541954338,0.608809948,0.572843526,0.000535237,-16.38512695,0.030889187,
299,0.084615481,3.65827E-05,2.70E-07,9.16462E-05,2.71E-12,3.97E-12,0.00025124,23.02335017,13.66549504,6.831909264,0.541814647,0.599140397,0.562473827,0.00025124,-16.1914409,0.020659181,"Okay, 1.0=0.8=0.6=0.4 well met, 0.1 not met home~1E5"
4968,0.073063342,3.87173E-05,6.50E-07,7.66395E-05,5.34E-12,5.34E-12,0.00025124,23.02214564,13.66429414,6.831812569,0.541650491,0.598970295,0.56247883,0.00025124,-16.19033307,0.02082834,"Okay, 1.0=0.8=0.6=0.4 well met, 0.1 not met home~2E5"
1538,0.02211678,1.9731E-05,1.32E-07,2.64322E-05,2.01E-12,2.15E-12,0.000251253,23.02245718,13.66461572,6.783358191,0.541614549,0.59893402,0.56152283,0.000251253,-16.23909899,0.019908281,"No. 1.0=0.8=0.6 not met homeo, 0.4 met. 1.0 bad home~5E5"
343,0.060401262,3.86994E-05,5.44E-07,7.18971E-05,1.05E-12,1.74E-12,0.000251253,23.02249988,13.66465552,6.832405806,0.541612074,0.598929785,0.562123527,0.000251253,-16.19009407,0.020511452,"Okay, 1.0=0.8=0.6=0.4 well met, 0.1 not met home~3E5"
7407,0.058542968,3.3792E-05,8.61E-07,6.20176E-05,8.18E-13,2.09E-12,0.00025125,23.02335963,13.66558723,6.832163052,0.542120423,0.599115955,0.562139268,0.00025125,-16.19119658,0.020018845,"Okay, 1.0=0.8=0.6=0.4 well met, 0.1 not met home~3E5"
4005,0.030612715,1.2483E-05,2.57E-07,4.13941E-05,3.74E-13,2.03E-12,0.00025124,24.82269546,15.4608378,8.618252523,0.598767657,0.65960872,0.597260483,0.00025124,-16.20444294,-0.001507173,"Okay, 1.0=0.8=0.6=0.4 well met, 0.1 not met home~3E5"
6457,0.03398699,1.46013E-05,7.34E-07,4.5419E-05,1.26E-12,1.82E-12,0.00025125,24.89226096,15.56026995,8.657876698,0.591406206,0.647245561,0.592259257,0.00025125,-16.23438426,0.000853051,"Okay, 1.0=0.8=0.6=0.4 well met, 0.1 not met home~4E5"
1135,0.024189487,1.12251E-05,2.81E-07,3.84742E-05,3.02E-12,2.90E-12,0.00025124,24.82287636,15.4608884,8.618154791,0.598766975,0.658004658,0.597261087,0.00025124,-16.20472157,-0.001505888,"Okay, 1.0=0.8=0.6=0.4 well met, 0.1 not met home~5E5"
2301,0.025996841,2.1778E-05,2.24E-07,4.32125E-05,1.78E-12,1.31E-12,0.000454482,23.02250858,13.66466712,6.689981771,0.541948761,0.598927474,0.570465925,0.000454482,-16.33252681,0.028517164,"Okay, 1.0=0.8=0.6=0.4 well met, 0.1 not met home~7E5"
2238,0.040880664,1.27489E-05,2.23E-07,1.97715E-05,1.79E-12,9.31E-13,3.37E-12,23.0223332,13.66448392,7.032224205,0.541970443,0.598950691,0.503570742,1.58E-12,-15.990109,-0.038399702,
2230,0.092550374,3.16635E-05,1.62E-06,5.9965E-05,1.69E-12,1.34E-12,1.85E-12,23.04162707,13.67651679,7.03761477,0.5652246,0.626405024,0.524998953,1.64E-13,-16.0040123,-0.040225647,
1301,0.184764541,5.64174E-05,4.14E-06,7.54214E-05,1.39E-12,1.34E-12,1.04E-12,23.0242612,13.66603873,6.988475657,0.558574115,0.623256499,0.548214947,-3.57E-13,-16.03578554,-0.010359168,
1034,0.087340444,3.07038E-05,1.86E-07,5.40968E-05,1.36E-12,1.12E-12,9.81E-13,23.02245718,13.66461572,7.032600316,0.541615614,0.59893402,0.505081967,-3.82E-13,-15.98985687,-0.036533646,
5766,0.070618955,2.24096E-05,8.65E-07,3.66994E-05,1.58E-12,1.66E-12,1.14E-12,23.02355254,13.66570818,7.032445337,0.558544145,0.620999212,0.505093422,-4.48E-13,-15.9911072,-0.053450724,
9072,0.107305678,5.49898E-05,1.51E-07,9.79468E-05,1.67E-12,1.45E-12,8.60E-13,23.02240316,13.66454446,7.032359169,0.54196478,0.598946584,0.505098704,-8.09E-13,-15.99004399,-0.036866076,
9310,0.047933508,2.15733E-05,1.22E-07,2.90546E-05,2.16E-12,1.04E-12,5.54E-13,23.02245718,13.66461572,7.032600325,0.541954908,0.598933733,0.503546905,-1.61E-12,-15.98985686,-0.038408002,
9904,0.133544931,5.32254E-05,1.12E-07,9.4114E-05,2.78E-12,1.16E-12,7.73E-13,23.02245718,13.66461572,7.032600316,0.541954908,0.598933733,0.503546905,-2.01E-12,-15.98985687,-0.038408003,
