lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,fraction_kinetic_target,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,toya_pearson_r_squared,toya_r_squared
0.209830273,1.45273E-05,1.66847E-05,0.000109996,7.48616E-05,1,0.004958771,0.000158347,18.56301869,166.0672661,7.760495319,0.002248631,3.3226E-05,0.002041856,0.002770782,0.000112739,1.68E-07,0.750907802,-0.915548556
0.020731719,1.36055E-05,9.71448E-05,0.000183252,2.30414E-05,1,0.016224454,0.023425827,72.99420335,24.06312735,1.81503199,0.006471327,0.000485658,0.013376346,0.002337607,2.46943E-05,1.49E-07,0.765013344,0.363767909
0.37652495,4.06E-07,1.33E-07,0.008997009,2.09951E-05,1,0.094817989,0.005021068,10.32350573,280.0192918,23.55862931,0.001899404,0.001890557,0.092880673,3.71638E-05,9.56E-06,3.99E-08,0.697250654,-42.73124742
0.123624369,1.29E-07,5.43E-07,1.78888E-05,1.06667E-05,1,0.000347916,1.06E-11,10.96496309,273.9420579,23.36060669,0.00190593,1.31E-12,0.000196151,0.000148736,3.01E-06,2.03E-08,0.680223456,-36.7853047
0.001916602,8.15E-07,6.21E-06,2.16249E-05,0.008611307,1,0.001334281,0.017846163,21.58993679,131.2311273,2.77884063,0.001827994,3.4204E-05,0.000466879,0.00081519,2.27E-06,1.57414E-05,0.618401572,0.531335465
0.84502013,2.96E-07,1.76E-06,0.000202354,0.000923087,1,0.002671826,7.49E-12,10.66341388,286.8458088,25.08639031,0.001827994,6.33E-12,0.002157781,0.000504931,7.43E-06,1.69E-06,0.687823018,-44.85945394
0.19205212,1.54E-06,8.18E-06,3.21907E-05,9.19838E-05,1,0.001966831,0.000185431,22.18652968,148.0069324,4.143963571,0.001934161,3.56123E-05,0.000714201,0.001210461,6.38E-06,1.78E-07,0.746000953,0.53959938
0.228135524,8.67038E-05,5.74E-06,0.00113368,0.000546054,1,0.015860995,8.64616E-05,10.66334827,284.8752658,24.39444902,0.001895053,1.9725E-05,0.012088825,0.001636318,0.002115093,1.03E-06,0.69729403,-49.28855862
0.00242293,3.49E-07,2.3119E-05,0.00012079,0.000719817,1,0.005511847,0.104431199,18.07719982,132.8589446,6.807978776,0.001841046,0.00025303,0.002183553,0.003071561,2.38E-06,1.33E-06,0.347313913,0.181214182
0.022446975,9.05E-07,1.63E-07,0.003456387,3.53824E-05,1,0.035362188,0.014759434,10.1158619,277.6373349,23.39476637,0.001887802,0.000331305,0.034964336,4.53092E-05,2.1171E-05,6.68E-08,0.694104029,-40.48615278
0.012953707,1.49742E-05,2.10E-06,0.001761293,7.35537E-05,1,0.018932394,0.014903219,10.1158619,273.158329,23.3108865,0.001902304,0.000193052,0.017816998,0.000573143,0.000349061,1.40E-07,0.692189364,-40.56060197
0.602968975,3.37E-06,3.80331E-05,0.000258476,0.000438362,1,0.011231424,0.000157933,18.25620996,167.9900948,8.113327554,0.002021222,9.52286E-05,0.004718794,0.006389179,2.73368E-05,8.86E-07,0.73751696,-1.3496289
0.08542704,1.35E-07,1.23E-06,0.00342719,0.003306614,1,0.036134128,0.011353591,10.15918557,275.2859656,23.98947548,0.001867499,0.000969904,0.034817459,0.000337342,3.25E-06,6.18E-06,0.614351799,-35.5404606
0.293957699,3.06E-07,3.25E-06,2.00658E-05,2.44774E-05,1,0.000935926,1.49E-12,18.45206932,173.5001201,7.902110155,0.002095968,4.37E-13,0.000370256,0.000563205,2.41E-06,5.13E-08,0.738312624,-1.199027441
0.021391567,6.39365E-05,1.16E-07,0.000553729,0.003758437,1,0.007346195,0.006316839,10.29405645,277.88362,23.02016804,0.001827994,0.000135127,0.005700114,3.22551E-05,0.001471828,6.87E-06,0.696354272,-41.55999236
0.004805252,2.04E-07,4.70E-07,0.000653731,0.000671364,1,0.006819114,0.014628137,10.11750875,273.5524221,23.39381618,0.001831619,7.02919E-05,0.006614126,0.000128695,4.77E-06,1.23E-06,0.692142484,-40.822702
0.046105672,8.04E-06,2.46E-06,5.47096E-05,0.000294427,1,0.001441652,0.000102848,14.24193014,216.0075948,15.64423343,0.001829444,4.74E-06,0.00077917,0.000531416,0.000125786,5.39E-07,0.636325981,-13.55728169
0.001554003,2.38219E-05,1.57E-06,1.40885E-05,2.70285E-05,1,0.000584038,0.016315329,22.28902259,130.6582047,1.637195569,0.002057755,2.53541E-05,0.000314018,0.000205609,3.90012E-05,5.56E-08,0.529951589,0.426397412
0.304013953,6.26E-07,1.39304E-05,0.000403271,0.000446387,1,0.008250215,8.83654E-05,10.96710422,271.4682909,28.98957314,0.001857348,2.68643E-05,0.004422714,0.003781671,1.81367E-05,8.29E-07,0.610738789,-35.71080849
0.078522334,1.49704E-05,6.85E-06,0.000347561,0.000115052,1,0.006011535,8.90082E-05,10.78537645,278.019884,23.48078393,0.002064728,6.99E-06,0.003748577,0.001904214,0.000351517,2.38E-07,0.69374213,-45.13598907
0.188045619,3.23E-07,4.37369E-05,0.000913767,3.68894E-05,1,0.021883502,0.000364649,11.08734875,266.9579909,23.34734684,0.006234339,6.85706E-05,0.010131249,0.011675903,7.55E-06,2.30E-07,0.696807723,-37.84728096
0.011576517,7.15E-07,3.66701E-05,4.35298E-05,0.004364358,1,0.004301003,0.016744835,73.87557924,24.06644568,1.217740796,0.001828719,0.000193847,0.003215786,0.000882519,8.71E-07,7.98E-06,0.850314524,0.31412649
0.816759272,8.62E-07,5.29E-07,3.45884E-05,0.000240834,1,0.000542453,8.97E-12,10.73041571,282.910711,24.52148359,0.001827994,7.33E-12,0.000371148,0.00014973,2.11355E-05,4.40E-07,0.688139811,-42.27164624
0.477928978,9.75675E-05,1.13E-07,0.008585146,1.73487E-05,1,0.093326163,0.004390925,10.35378362,280.875851,23.64627399,0.002224977,0.00209855,0.088888741,3.17271E-05,0.002307107,3.86E-08,0.697133931,-43.49302543
0.216346808,4.40E-07,3.65942E-05,2.19314E-05,8.0615E-05,1,0.00295632,0.000505105,79.60035406,30.06633384,1.942898714,0.002343936,0.000109278,0.001745744,0.001100254,8.55E-07,1.89E-07,0.770657462,0.610478589
0.003836331,2.44E-07,9.71E-07,0.00995923,3.5036E-05,1,0.073346198,3.883962855,5.835847036,327.3083328,30.71486695,0.001900854,0.014900169,0.058120542,0.000317921,7.50E-06,6.66E-08,0.650135605,-73.16263484
0.025128294,5.98514E-05,1.10E-06,0.001445208,0.006572574,1,0.016668011,0.012172282,10.15190081,272.4857217,23.03756574,0.001827994,0.000305869,0.014671607,0.00029969,0.001378831,1.20146E-05,0.691867697,-40.35037182
