Uniprot Protein IDs,-,"Half-life (hrs) in minimal media batch, doubling time 42 mins, replicate 1","Half-life (hrs) in minimal media batch, doubling time 42 mins, replicate 2","Average of half-lives (hrs) in minimal media batch, doubling time 42 mins","Half-life (hrs) in C-lim chemostat, doubling time 3 hrs, replicate 1","Half-life (hrs) in C-lim chemostat, doubling time 3 hrs, replicate 2","Average of half-lives (hrs) in C-lim chemostat, doubling time 3 hrs","Half-life (hrs) in C-lim chemostat, doubling time 6 hrs, replicate 1","Half-life (hrs) in C-lim chemostat, doubling time 6 hrs, replicate 2","Average of half-lives (hrs) in C-lim chemostat, doubling time 6 hrs","Half-life (hrs) in C-lim chemostat, doubling time 12 hrs, replicate 1","Half-life (hrs) in C-lim chemostat, doubling time 12 hrs, replicate 2","Average of half-lives (hrs) in C-lim chemostat, doubling time 12 hrs","Half-life (hrs) in P-lim chemostat, doubling time 6 hrs, replicate 1","Half-life (hrs) in P-lim chemostat, doubling time 6 hrs, replicate 2","Average of half-lives (hrs) in P-lim chemostat, doubling time 6 hrs","Half-life (hrs) in P-lim chemostat, doubling time 12 hrs, replicate 1","Half-life (hrs) in P-lim chemostat, doubling time 12 hrs, replicate 2","Average of half-lives (hrs) in P-lim chemostat, doubling time 12 hrs","Half-life (hrs) in N-lim chemostat, doubling time 6 hrs, replicate 1","Half-life (hrs) in N-lim chemostat, doubling time 6 hrs, replicate 2","Average of half-lives (hrs) in N-lim chemostat, doubling time 6 hrs","Half-life (hrs) in N-lim chemostat, doubling time 12 hrs, replicate 1","Half-life (hrs) in N-lim chemostat, doubling time 12 hrs, replicate 2","Average of half-lives (hrs) in N-lim chemostat, doubling time 12 hrs","Half-life (hrs) in ∆clpP N-lim chemostat, doubling time 6 hrs, replicate 1","Half-life (hrs) in ∆clpP N-lim chemostat, doubling time 6 hrs, replicate 2","Average of half-lives (hrs) in ∆clpP N-lim chemostat, doubling time 6 hrs","Half-life (hrs) in ∆lon N-lim chemostat, doubling time 6 hrs, replicate 1","Half-life (hrs) in ∆lon N-lim chemostat, doubling time 6 hrs, replicate 2","Average of half-lives (hrs) in ∆lon N-lim chemostat, doubling time 6 hrs","Half-life (hrs) in ∆hslV N-lim chemostat, doubling time 6 hrs, replicate 1","Half-life (hrs) in ∆hslV N-lim chemostat, doubling time 6 hrs, replicate 2","Average of half-lives (hrs) in ∆hslV N-lim chemostat, doubling time 6 hrs","Half-life (hrs) in ∆clpP∆lon∆hslV N-lim chemostat, doubling time 6 hrs, replicate 1","Half-life (hrs) in ∆clpP∆lon∆hslV N-lim chemostat, doubling time 6 hrs, replicate 2","Average of half-lives (hrs) in ∆clpP∆lon∆hslV  N-lim chemostat, doubling time 6 hrs","Half-life (hrs) in ∆smpB N-lim chemostat, doubling time 6 hrs, replicate 1","Half-life (hrs) in ∆smpB N-lim chemostat, doubling time 6 hrs, replicate 2","Average of half-lives (hrs) in ∆smpB  N-lim chemostat, doubling time 6 hrs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ID,Gene names ,MinimalMedia_1,MinimalMedia_2,MinimalMedia_mean,C-lim3_1,C-lim3_2,C-lim3_mean,C-lim6_1,C-lim6_2,C-lim6_mean,C-lim12_1,C-lim12_2,C-lim12_mean,P-lim6_1,P-lim6_2,P-lim6_mean,P-lim12_1,P-lim12_2,P-lim12_mean,N-lim6_1,N-lim6_2,N-lim6_mean,N-lim12_1,N-lim12_2,N-lim12_mean,clpPN-lim6_1,clpPN-lim6_2,clpPN-lim6_mean,lonN-lim6_1,lonN-lim6_2,lonN-lim6_mean,hslVN-lim6_1,hslVN-lim6_2,hslVN-lim6_mean,TripleN-lim6_1,TripleN-lim6_2,TripleN-lim6_mean,smpBN-lim6_1,smpBN-lim6_2,smpBN-lim6_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A5A614|YCIZ_ECOLI,yciZ,0.448,,0.448,,,,3.933,3.601,3.767,,,,,3.579,3.579,16.000*,6.851,11.425,,,,,,,,,,,,,,,,,8.000*,8.000,2.710,,2.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|O32583|THIS_ECOLI,thiS,0.430,0.674,0.552,,,,,,,,4.470,4.470,3.239,,3.239,5.781,4.693,5.237,1.304,,1.304,,,,,,,,,,,,,,2.754,2.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|P00350|6PGD_ECOLI,gnd,0.915,0.799,0.857,3.248,3.163,3.206,5.572,6.131,5.852,10.201,9.866,10.034,6.084,6.025,6.054,14.099,11.630,12.864,4.569,4.892,4.730,8.478,8.142,8.310,4.580,5.217,4.898,5.756,5.404,5.580,4.878,5.126,5.002,5.096,5.349,5.222,4.618,4.736,4.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|P00363|FRDA_ECOLI,frdA,0.780,0.780,0.780,2.993,2.946,2.970,6.080,6.670,6.375,13.519,10.761,12.140,6.078,5.987,6.032,13.158,13.694,13.426,6.401,6.007,6.204,10.109,12.528,11.318,5.620,5.738,5.679,5.774,6.705,6.240,6.949,6.238,6.593,6.128,5.857,5.992,5.371,5.523,5.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|P00370|DHE4_ECOLI,gdhA,0.770,0.671,0.720,3.077,2.810,2.944,4.462,4.856,4.659,7.653,6.919,7.286,5.453,5.256,5.354,9.048,9.903,9.475,1.931,1.827,1.879,2.887,2.329,2.608,1.901,2.048,1.975,2.034,2.227,2.130,1.880,1.721,1.801,3.275,3.779,3.527,2.088,2.201,2.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|P00393|DHNA_ECOLI,ndh,1.322,0.723,1.022,3.188,3.108,3.148,4.989,8.000*,6.495,11.849,11.713,11.781,6.143,6.007,6.075,14.468,13.934,14.201,5.919,6.317,6.118,12.427,13.053,12.740,6.040,7.705,6.872,6.288,6.375,6.332,6.019,6.140,6.080,6.136,6.878,6.507,6.077,5.560,5.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|P00448|SODM_ECOLI,sodA,0.802,0.823,0.812,4.000*,3.293,3.646,4.472,5.757,5.115,12.448,10.072,11.260,4.920,5.695,5.308,11.199,11.407,11.303,4.116,5.616,4.866,9.417,9.581,9.499,5.392,5.819,5.606,7.883,6.208,7.046,5.383,5.611,5.497,5.842,6.949,6.396,4.093,5.824,4.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|P00452|RIR1_ECOLI,nrdA,0.739,0.988,0.863,2.960,3.176,3.068,5.219,4.610,4.914,10.420,8.054,9.237,5.982,5.868,5.925,10.716,11.397,11.057,4.011,3.691,3.851,6.043,5.730,5.887,3.877,3.981,3.929,4.340,4.148,4.244,4.102,3.962,4.032,3.607,4.492,4.049,3.301,4.036,3.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|P00490|PHSM_ECOLI,malP,0.712,0.926,0.819,3.245,3.256,3.250,7.155,6.312,6.734,16.000*,15.223,15.611,6.298,6.489,6.393,12.611,13.725,13.168,6.174,6.190,6.182,13.118,13.389,13.253,6.148,6.046,6.097,5.583,6.257,5.920,6.024,6.592,6.308,6.340,5.776,6.058,6.430,5.839,6.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|P00509|AAT_ECOLI,aspC,0.846,0.739,0.793,3.323,3.003,3.163,5.584,5.526,5.555,10.275,10.309,10.292,5.557,5.819,5.688,11.862,11.820,11.841,3.761,3.952,3.857,5.872,6.065,5.968,3.779,4.254,4.017,4.599,4.288,4.444,3.926,3.843,3.885,4.181,5.005,4.593,3.765,3.814,3.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
