,pubmedID,reactionID,enzymeID,substrateIDs,kcat (1/s),kM (uM),vmax,ph,temperature
0,['3516689'],RXN0-5256,['CPLX0-8167'],['HYDROGEN-MOLECULE'],[-1],[2.0],[-1],[],[]
1,['26560897'],UNDECAPRENYL-DIPHOSPHATASE-RXN,['EG11665-MONOMER'],['UNDECAPRENYL-DIPHOSPHATE'],[-1],[680.0],[-1],[],[]
2,"['o', 'o']",UNDECAPRENYL-DIPHOSPHATASE-RXN,['EG11665-MONOMER'],['UNDECAPRENYL-DIPHOSPHATE'],[27.0],[-1],[-1],[],[]
3,['None'],UNDECAPRENYL-DIPHOSPHATASE-RXN,['EG11665-MONOMER'],['UNDECAPRENYL-DIPHOSPHATE'],[-1],[-1],[53.0],[],['65']
4,['9119199'],TRANS-RXN0-209,['YJGT-MONOMER'],['GLUCONATE'],[-1],[60.0],[-1],[],[]
5,['15211520'],GLUTCYSLIG-RXN,['CPLX0-7827'],['CYS'],[0.004],[-1],[-1],[],[]
6,['10572139'],6-PHOSPHO-BETA-GLUCOSIDASE-RXN,['CPLX0-7979'],['CPD-15978'],[-1],[1300.0],[-1],[],[]
7,['None'],6-PHOSPHO-BETA-GLUCOSIDASE-RXN,['CPLX0-7979'],['CPD-15978'],[-1],[-1],[1.74],[],[]
8,['None'],RXN0-7024,['CPLX0-7993'],"['NAD', 'CPD-1091']","[-1, 57.06]","[560.0, 1060.0]","[-1, -1]",[],[]
9,"['23284870', 'None']",RXN0-7024,['CPLX0-7993'],['NAD'],[62.39],[-1],[-1],[],[]
10,['None'],GLUCOSAMINE-6-P-DEAMIN-RXN,['GLUCOSAMINE-6-P-DEAMIN-CPLX'],['CPD-13469'],[-1],[850.0],[-1],[],[]
11,['322702'],GLUCOSAMINE-6-P-DEAMIN-RXN,['GLUCOSAMINE-6-P-DEAMIN-CPLX'],['CPD-13469'],[-1],[400.0],[-1],[],[]
12,['27002132'],GLUCOSAMINE-6-P-DEAMIN-RXN,['GLUCOSAMINE-6-P-DEAMIN-CPLX'],['CPD-13469'],[220.0],[-1],[-1],[],[]
13,['None'],GLUCOSAMINE-6-P-DEAMIN-RXN,['GLUCOSAMINE-6-P-DEAMIN-CPLX'],['CPD-13469'],[-1],[-1],[15.0],[],[]
14,['None'],GLUCOSAMINE-6-P-DEAMIN-RXN,['GLUCOSAMINE-6-P-DEAMIN-CPLX'],[],[],[],[],['7.0'],[]
15,['None'],GLUCOSE-1-PHOSPHAT-RXN,['GLUCOSE-1-PHOSPHAT-CPLX'],['GLC-1-P'],[-1],[390.0],[-1],[],['55']
16,['12455612'],GLUCOSE-1-PHOSPHAT-RXN,['GLUCOSE-1-PHOSPHAT-CPLX'],['GLC-1-P'],[117.0],[-1],[-1],[],[]
17,['413544'],TRANS-RXN0-447,['EG11724-MONOMER'],['ADENINE'],[-1],[0.2],[-1],[],[]
18,['None'],THIAZOLSYN3-RXN,['CPLX0-8211'],[],[],[],[],[],['70']
19,['2160944'],TRANS-RXN-168,['CPLX-168'],['TREHALOSE'],[-1],[16.0],[-1],[],[]
20,"['7012451', 'None']",TRANS-RXN-168,['CPLX-168'],[],[],[],[],['6'],[]
21,"['6350293', 'None']",TRANS-RXN-168,['CPLX-168'],[],[],[],[],['6.5'],[]
22,"['368051', 'None']",TRANS-RXN-168,['CPLX-168'],[],[],[],[],['7'],[]
23,"['3102473', 'None']",TRANS-RXN-168,['CPLX-168'],[],[],[],[],['7.5'],[]
24,"['None', 'None']",TRANS-RXN-168,['CPLX-168'],[],[],[],[],['8.5'],[]
25,"['None', 'None']",TRANS-RXN-168,['CPLX-168'],[],[],[],[],['9'],[]
26,"['None', 'None']",TRANS-RXN-168,['CPLX-168'],[],[],[],[],['9.5'],[]
27,['None'],RXN0-5507,['CPLX0-8123'],['CPD-374'],[-1],[1800.0],[-1],[],[]
28,['24816091'],RXN0-5507,['CPLX0-8123'],['CPD-374'],[0.07216667],[-1],[-1],[],[]
29,['None'],RXN-11776,['EG11665-MONOMER'],['FARNESYL-PP'],[-1],[10.8],[-1],[],[]
30,['24855653'],RXN-11776,['EG11665-MONOMER'],['FARNESYL-PP'],[2.1],[-1],[-1],[],[]
31,['11551212'],CARNDETRU-RXN,['CARNRACE-MONOMER'],['CROTONOBETAINYL-COA'],[-1],[12.0],[-1],[],[]
32,['None'],RXN0-6733,['EG10722-MONOMER'],['CPD0-2479'],[-1],[56.0],[-1],[],[]
33,['22089136'],RXN0-6733,['EG10722-MONOMER'],['CPD0-2479'],[6.4],[-1],[-1],[],[]
34,['None'],1PFRUCTPHOSN-RXN,['1-PFK'],"['ATP', 'FRU1P']","[-1, -1]","[120.0, 250.0]","[-1, -1]",['7.8'],[]
35,['10833389'],1PFRUCTPHOSN-RXN,['1-PFK'],['FRU1P'],[-1],[360.0],[-1],[],[]
36,"['None', 'None']",1PFRUCTPHOSN-RXN,['1-PFK'],['ATP'],[-1],[350.0],[-1],[],[]
37,['None'],SORBITOL-6-PHOSPHATASE-RXN,['G6932-MONOMER'],['D-SORBITOL-6-P'],[-1],[1820.0],[51.8],[],[]
38,['29743459'],SORBITOL-6-PHOSPHATASE-RXN,['G6932-MONOMER'],['D-SORBITOL-6-P'],[21.0],[-1],[-1],[],[]
39,['8195141'],R524-RXN,['CYANLY-CPLX'],['CPD-69'],[-1],[400.0],[-1],[],[]
40,['None'],R524-RXN,['CYANLY-CPLX'],['HCO3'],[-1],[950.0],[-1],[],[]
41,['11053429'],RXN0-6957,['G6954-MONOMER'],['CTP'],[-1],[551.0],[-1],[],[]
42,['None'],RXN0-6957,['G6954-MONOMER'],"['DCTP', 'CPD-1094']","[-1, -1]","[767.0, 172.0]","[-1, -1]",[],[]
43,['14750949'],RXN0-6957,['G6954-MONOMER'],['8-hydroxy-dGTP'],[-1],[410.0],[-1],[],[]
44,['12509230'],RXN0-6957,['G6954-MONOMER'],['5-HYDROXY-CTP'],[-1],[55.7],[-1],[],[]
45,['None'],RXN0-6957,['G6954-MONOMER'],[],[],[],[],['8.5'],[]
46,"['None', 'None']",ABC-5-RXN,['ABC-5-CPLX'],['ATP'],[1.39],[77.0],[-1],[],[]
47,"['21345797', 'None']",ABC-5-RXN,['ABC-5-CPLX'],['ATP'],[0.3],[-1],[-1],[],[]
48,['None'],MHPHYDROXY-RXN,['MHPHYDROXY-MONOMER'],"['NADPH', 'NADH']","[-1, 0.6916667]","[437.0, 381.0]","[-1, -1]",[],[]
49,['31811039'],MHPHYDROXY-RXN,['MHPHYDROXY-MONOMER'],['NADPH'],[0.73333335],[-1],[-1],[],[]
50,['10978324'],RXN0-5226,['G6567-MONOMER'],['CPD0-1081'],[-1],[35.0],[-1],[],[]
51,['None'],RXN0-5226,['G6567-MONOMER'],[],[],[],[],[],['38']
52,['None'],RXN0-1001,['GLUCOSE-1-PHOSPHAT-CPLX'],['MI-HEXAKISPHOSPHATE'],[-1],[540.0],[-1],[],['60']
53,['12455612'],RXN0-1001,['GLUCOSE-1-PHOSPHAT-CPLX'],['MI-HEXAKISPHOSPHATE'],[12.0],[-1],[-1],[],[]
54,['None'],2.9.1.1-RXN,['CPLX0-1141'],['SEPO3'],[0.021666666],[0.3],[-1],[],[]
55,"['9688279', 'None']",2.9.1.1-RXN,['CPLX0-1141'],['SEPO3'],[0.0217],[-1],[-1],[],[]
56,['10651802'],RXN0-307,['G6456-MONOMER'],['NADPH'],[-1],[300.0],[-1],[],[]
57,['None'],RXN0-307,['G6456-MONOMER'],['NADH'],[-1],[10.0],[-1],[],[]
58,"['None', 'None']",GALACTARDEHYDRA-RXN,['CPLX0-8537'],['D-GALACTARATE'],[-1],[800.0],[-1],[],[]
59,"['9772162', 'None']",GALACTARDEHYDRA-RXN,['CPLX0-8537'],['D-GALACTARATE'],[22.0],[-1],[-1],[],[]
60,['None'],GALACTARDEHYDRA-RXN,['CPLX0-8537'],[],[],[],[],['7.5'],[]
61,"['4550803', 'None']",THIKIN-RXN,['THIKIN-MONOMER'],['THIAMINE'],[-1],[2.8],[-1],[],[]
62,"['9325422', 'None']",ABC-19-RXN,['ABC-19-CPLX'],['CPD-3'],[-1],[0.045],[-1],[],[]
63,['6992959'],2.7.3.9-RXN,['CPLX0-7938'],['PHOSPHO-ENOL-PYRUVATE'],[-1],[180.0],[-1],[],[]
64,['None'],2.7.3.9-RXN,['CPLX0-7938'],['Hpr-Histidine'],[-1],[9.0],[-1],['7.2'],[]
65,['15850400'],RXN-11396,['EG10626-MONOMER'],['8-Oxo-dGTP'],[-1],[0.081],[-1],[],[]
66,['None'],RXN-11396,['EG10626-MONOMER'],['8-Oxo-dGTP'],[-1],[-1],[20.0],[],[]
67,['None'],3.1.3.68-RXN,['G6932-MONOMER'],['2-DEOXY-D-GLUCOSE-6-PHOSPHATE'],[-1],[610.0],[-1],[],[]
68,['16990279'],3.1.3.68-RXN,['G6932-MONOMER'],['2-DEOXY-D-GLUCOSE-6-PHOSPHATE'],[33.0],[-1],[-1],[],[]
69,['4284510'],GLUC1PURIDYLTRANS-RXN,['CPLX0-8205'],['PPI'],[-1],[130.0],[-1],[],[]
70,['None'],GLUC1PURIDYLTRANS-RXN,['CPLX0-8205'],"['CPD-12575', 'UTP', 'GLC-1-P']","[-1, -1, -1]","[130.0, 29.0, 48.0]","[-1, -1, -1]",['7:9.5'],[]
71,['8169209'],GLUC1PURIDYLTRANS-RXN,['CPLX0-8205'],['UTP'],[-1],[70.0],[-1],[],[]
