gene,ica__wt_glc__1,ica__wt_glc__2,ica__wt_glc__3,ica__wt_glc__4,ica__arg_sbt__1,ica__arg_sbt__2,ica__cytd_rib__1,ica__cytd_rib__2,ica__gth__1,ica__gth__2,ica__leu_glcr__1,ica__leu_glcr__2,ica__met_glc__1,ica__met_glc__2,ica__no3_anaero__1,ica__no3_anaero__2,ica__phe_acgam__1,ica__phe_acgam__2,ica__thm_gal__1,ica__thm_gal__2,ica__tyr_glcn__1,ica__tyr_glcn__2,ica__ura_pyr__1,ica__ura_pyr__2,ica__wt_glc__5,ica__wt_glc__6,ica__bw_delpurR_cytd__1,ica__bw_delpurR_cytd__2,ica__ade_glc__1,ica__ade_glc__2
b0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b0002,2834.42129615345,2800.63757602122,2086.8655180561,1941.37187344223,4123.26998767825,4064.8760493924,141.907459533364,142.521703897865,325.261119407484,311.094504018903,5194.75669237278,5325.4699211838,2013.1478410429,2089.36001430126,2041.40624489611,1990.53093405306,1520.50362170285,1652.37309678321,2182.11698721783,2175.29990972694,1997.3858416334,2190.93479854534,2863.44982876155,2913.81404173316,2122.27010967269,2207.85093916337,2553.96819474569,2683.79807185811,1093.82421363698,1139.82083165688
b0003,1639.36924063053,1631.31696582421,1484.50492338038,1235.78909845819,2948.66259986292,2695.5886721392,230.297868508269,215.246622195654,205.048742833509,211.893867303858,2691.83275932266,2722.10473159136,1240.70826640884,1297.67411333299,1421.22562609896,1391.25020466143,928.482749241089,997.44320388052,1344.11915010507,1360.23719589845,1329.32333607093,1359.90235147312,1760.05575191269,1886.73786765722,1413.84744288624,1465.97785126402,1692.73193290266,1608.8618342454,768.682328489703,857.483018311216
b0004,2165.67848651025,2185.66852867076,1592.50516433712,1544.13972503442,3062.182417676,3068.66078869272,250.224422052452,251.771595996621,203.809302961112,172.024392126395,3643.72724232951,3707.38976972051,1636.43357180182,1701.33348118052,1534.49023573758,1553.28283719307,1220.72088982533,1299.69903414833,1552.61166049898,1622.06359936796,1671.94905185616,1775.73788184137,2149.53060991359,2403.30713585189,1820.04361813766,1780.22306747232,2038.29151420376,2024.86899992636,1244.20263033108,1309.28620305103
b0005,51.9742617942081,67.1436775727079,79.7618944450972,56.4899401486105,54.5818528989118,62.3440285889918,8.17501879323023,7.72111050804084,28.3418037406325,33.8275081661122,75.949952152035,69.9199223664295,63.0728994664991,73.5911523233074,44.3990091571311,36.8271866255585,34.7432473279132,35.1687261786829,21.8231441995165,28.013429234605,55.1147614697158,47.3856920844566,77.8009207645501,48.2905916351374,59.9492952465844,60.1361860900409,79.2947798199625,63.0509742499998,49.7270704523554,45.1553126350385
b0006,103.381267405031,101.41389678633,111.434532544819,133.901846506279,64.2623168006805,76.1170104832501,67.9677466007246,76.5238468507402,86.5534623372126,63.7276108670543,108.431469431358,109.374080296209,112.90159774186,96.6724860790787,141.914677084286,133.55721759053,121.791865051385,113.045475737766,104.661564905875,96.2354012178193,121.779630380365,109.847150226524,123.956786162608,126.758239059207,117.329365141368,122.751710560742,136.395250492469,156.095536915245,149.267303027227,156.590515166577
b0007,4.55405175380007,5.25212589436659,7.02244010504482,8.85928378818383,11.3585140809188,10.2371605079842,19.0137021061738,20.687130406233,12.752313928293,14.3663741784024,4.86314691476288,5.69804891418416,4.9383090433558,6.25516109034958,14.6556929668164,15.4905749044568,8.69441103752585,7.31863156511696,15.0434156549914,16.1225159131512,7.39350567663601,6.47127402811909,7.75073062115637,6.65027146141958,8.71574758128864,10.7718661598242,10.2369101353027,7.68055197976561,8.02515884452275,8.05443924495699
b0008,2160.28558163705,2128.15165837514,2144.92572733338,2205.19169409084,2586.46399982942,2759.26897931837,1370.45944553707,1244.40855085458,1521.85580291917,1213.46309099078,3073.6514345423,2855.8621157891,2389.04750135156,2256.40859680995,1329.53991190901,1332.05045773289,2860.46918545034,2790.98453589186,2545.56408287158,2506.58591438833,1969.39725851297,2062.07563696289,2924.62128514932,3125.86620742784,2556.15402116093,2576.26944331778,3427.63333201634,3567.81075411894,2239.82117008727,2314.33980093289
b0009,61.1266114718467,68.4235056452626,80.4511433261799,67.5166052208018,98.0115617879455,91.4239058884465,75.9093725476255,84.4766831773212,98.4374711483483,98.4972272702748,68.7911233900584,62.3399443174919,73.6170334273042,73.679140023065,115.027770752914,128.841275320064,66.7521934004308,71.8947331705823,82.5793581194352,79.0597591933545,72.5928897439592,67.6778035044663,74.9567733884086,84.4349878210495,70.2180711958621,56.9995562381028,103.268200015799,84.8077247748765,75.990531001375,59.5627377554346
b0010,26.7897974061572,34.4772824455603,35.408923346564,30.9259072215908,20.1862117018776,30.4088350272726,26.7432159942581,31.1410194280071,86.0017847424636,74.6120678104805,26.1931209948144,23.087416500882,52.0938523658078,35.074775312594,39.7601860172924,37.820428098828,34.3793382923428,31.666245026609,41.9813771631543,40.6469063162543,28.1989214340747,24.8608032414931,29.0937440812295,24.9629751601894,65.920513396507,61.5031612596754,56.6247249086019,64.5454837736171,76.1378765542064,77.8406722335398
