Element,Atoms/cell (experiment),"Atoms/cell (experiment), stddev",Atoms/cell (simulation),"Atoms/cell (simulation), stddev",Medium
"""CU""",87576.66829,29368.575624,15211.081627,1051.768662,"""Rich"""
"""MO""",10797.032626,1000.0,3444.940736,394.060051,"""Rich"""
"""NI""",3240.269333,1000.0,1284.841822,176.78077,"""Rich"""
"""ZN""",399640.415582,88105.726872,357249.636639,22782.838522,"""Rich"""
"""CO""",443.558908,100.0,0.0,0.0,"""Rich"""
"""MN""",46743.626407,12922.173275,69398.444095,3754.98889,"""Rich"""
"""FE""",607143.184501,128046.989721,494684.179294,34074.181705,"""Rich"""
"""V""",249.432594,1000.0,0.0,0.0,"""Rich"""
"""CR""",3414.351358,1000.0,0.0,0.0,"""Rich"""
"""FE""",179978.374255,24669.603524,267598.232091,16974.659764,"""Minimal"""
"""CU""",7850.676467,1000.0,8494.231262,862.443333,"""Minimal"""
"""CO""",520.075813,1000.0,0.0,0.0,"""Minimal"""
"""NI""",3780.077086,1000.0,684.082189,125.737464,"""Minimal"""
"""ZN""",199808.236064,55212.922173,215018.559173,14304.788166,"""Minimal"""
"""MO""",3983.324414,1000.0,2190.045015,274.20151,"""Minimal"""
"""V""",923.335846,1000.0,0.0,0.0,"""Minimal"""
"""CR""",1556.247155,1000.0,0.0,0.0,"""Minimal"""
