Below LOD,Cell,Element,Distance
0,1,MO,138.2258168443176
0,0,MO,49.938610662358656
0,1,SE,118.6042003231018
0,0,SE,57.0796643567335
0,1,ZN,205.1069466790452
0,0,ZN,78.48002627203796
0,1,CU,149.8158319870759
0,0,CU,70.44911147011311
1,1,NI,137.33117932148625
0,0,NI,50.83037156704364
1,1,CO,103.44810866904857
1,0,CO,25.861066235864257
0,1,FE,203.32148626817445
1,0,FE,97.20193861066241
0,1,MN,131.08885298869143
0,0,MN,51.72213247172863
0,1,CR,122.17124394184168
0,0,CR,90.95961227786756
0,1,V,113.25363489499193
0,0,V,50.838193429299224
0,1,CA,206.88852988691437
0,0,CA,140.00646203554123
0,1,K,325.49395179800416
0,0,K,321.92692171481366
0,1,MG,298.7412340529268
0,0,MG,234.53311793214866
0,0,Scale,353.1373182552504
