Proteins	Genes	Accession-1 of Gene	Common-Name
LYSU-CPLX	EG10553	b4129	lysU
EG11817-MONOMER	EG11817	b2744	umpG
MONOMER0-4534	G6577	b1120	cobB
FDOI-MONOMER	EG11856	b3892	fdoI
G6991-MONOMER	G6991	b1807	tsaB
ADENODEAMIN-MONOMER	EG10030	b1623	add
EG10875-MONOMER	EG10875	b3310	rplN
G7586-MONOMER	G7586	b3047	yqiH
G6284-MONOMER	G6284	b0515	allE
MONOMER0-2842	G0-10617	b4662	sgrT
G7466-MONOMER	G7466	b2846	yqeH
EG11763-MONOMER	EG11763	b3596	yibG
G6605-MONOMER	G6605	b1165	ymgA
EG11186-MONOMER	EG11186	b3562	yiaA
G7516-MONOMER	G7516	b2919	scpB
HCAC-MONOMER	G7334	b2540	hcaC
NARG-MONOMER	EG10638	b1224	narG
MONOMER0-2877	G0-10650	b4683	yqeL
EG12704-MONOMER	EG12704	b2956	yggM
EG10426-MONOMER	EG10426	b0962	helD
G7292-MONOMER	G7292	b2462	eutS
G7009-MONOMER	G7009	b1836	yebV
MONOMER0-4431	G0-16747	b4753	yqfH
EG10829-MONOMER	EG10829	b3652	recG
EG10996-MONOMER	EG10996	b0406	tgt
YBBP-MONOMER	G6270	b0496	ybbP
MONOMER0-4227	G6146	b0275	insA3
EG10867-MONOMER	EG10867	b3319	rplD
EG11153-MONOMER	EG11153	b2608	rimM
EG10438-MONOMER	EG10438	b4172	hfq
DALADALALIGB-MONOMER	EG10214	b0092	ddlB
YGJU-MONOMER	EG12732	b3089	sstT
EG12394-MONOMER	EG12394	b1778	msrB
TORS-MONOMER	G6514	b0993	torS
IMP-DEHYDROG-MONOMER	EG10421	b2508	guaB
G7539-MONOMER	G7539	b2972	pppA
EG10760-MONOMER	EG10760	b1830	prc
G7323-MONOMER	G7323	b2520	yfhM
EG12242-MONOMER	EG12242	b3515	gadW
EG11462-MONOMER	EG11462	b4482	yigE
EG10342-MONOMER	EG10342	b0093	ftsQ
ADENYLYLSULFKIN-MONOMER	EG10185	b2750	cysC
EG10776-MONOMER	EG10776	b1304	pspA
PROW-MONOMER	EG10772	b2678	proW
EG12444-MONOMER	EG12444	b1110	ycfJ
EG11877-MONOMER	EG11877	b3923	uspD
GNTT-MONOMER	EG12380	b3415	gntT
B2372-MONOMER	G7235	b2372	yfdV
ERYTH4PDEHYDROG-MONOMER	EG10368	b2927	epd
TRYPSYN-APROTEIN	EG11024	b1260	trpA
RHAMNULOKIN-MONOMER	EG11868	b3904	rhaB
EG11300-MONOMER	EG11300	b1571	ydfA
MONOMER0-4224	G0-10716	b4706	iroK
GLND-MONOMER	EG11411	b0167	glnD
G7511-MONOMER	G7511	b2898	ygfZ
EG11507-MONOMER	EG11507	b3179	rlmE
YEEF-MONOMER	EG11896	b2014	plaP
G6908-MONOMER	G6908	b1682	sufC
EG11488-MONOMER	EG11488	b1639	mliC
G7543-MONOMER	G7543	b2977	glcG
G7871-MONOMER	G7871	b4216	ytfJ
RIBOFLAVIN-SYN-MONOMER	EG11406	b1662	ribC
G7952-MONOMER	G7952	b4378	yjjV
MONOMER0-4242	G6224	b0373	insE2
G7279-MONOMER	G7279	b2449	yffR
YJGT-MONOMER	EG12539	b4265	idnT
EG12410-MONOMER	EG12410	b2467	nudK
EG11551-MONOMER	EG11551	b2712	hypF
MONOMER0-2875	G0-10648	b4675	yoaJ
G6181-MONOMER	G6181	b0316	yahB
EG11298-MONOMER	EG11298	b3248	yhdE
CYDD-MONOMER	EG11405	b0887	cydD
MONOMER0-2870	G0-10643	b4678	yoeI
EG11725-MONOMER	EG11725	b3715	yieH
G7642-MONOMER	G7642	b3147	lpoA
MONOMER0-4506	G0-17040	b4794	baxL
YHJX-MONOMER	EG12268	b3547	yhjX
G7473-MONOMER	G7473	b2853	ygeI
MONOMER0-4239	G7548	b2982	insH9
G6811-MONOMER	G6811	b1525	sad
G7068-MONOMER	G7068	b1983	yeeN
EG10228-MONOMER	EG10228	b1569	dicC
ILES-MONOMER	EG10492	b0026	ileS
FRWC-MONOMER	EG11908	b3949	frwC
G6540-MONOMER	G6540	b1034	ycdX
MONOMER0-4421	G0-16738	b4744	ynaM
EG12330-MONOMER	EG12330	b0147	thpR
G6677-MONOMER	G6677	b1346	xisR
SDH-MEMB2	EG10934	b0722	sdhD
EG10596-MONOMER	EG10596	b1176	minC
G6947-MONOMER	G6947	b1752	ydjZ
EG20249-MONOMER	EG20249	b4324	uxuR
EG10580-MONOMER	EG10580	b2328	mepA
MONOMER0-4216	G0-10715	b4705	mntS
EG11301-MONOMER	EG11301	b1572	ydfB
G6498-MONOMER	G6498	b0964	csgI
EG11009-MONOMER	EG11009	b3035	tolC
EG10912-MONOMER	EG10912	b3298	rpsM
GLU-UHPC	EG11053	b3667	uhpC
G6889-MONOMER	G6889	b1649	nemR
ARSF-MONOMER	EG12236	b3502	arsB
EG10436-MONOMER	EG10436	b4174	hflK
G7531-MONOMER	G7531	b2955	hemW
MONOMER0-4412	G0-16730	b4735	ybgU
EG10116-MONOMER	EG10116	b3723	bglG
G7634-MONOMER	G7634	b3136	agaS
EG10216-MONOMER	EG10216	b2317	dedA
EG12202-MONOMER	EG12202	b4241	treR
G7134-MONOMER	G7134	b2102	yegX
EG12205-MONOMER	EG12205	b1558	cspF
EG12605-MONOMER	EG12605	b0119	yacL
COBU-MONOMER	EG13238	b1993	cobU
PD03270	EG12739	b3094	exuR
EG10507-MONOMER	EG10507	b0537	intD
BIOTINLIG-MONOMER	EG10123	b3973	birA
MONOMER0-2869	G0-10642	b4670	yjeV
MONOMER0-4521	EG10605	b0149	mrcB
TRANSKETOI-MONOMER	EG11427	b2935	tktA
N-ACETYLTRANSFER-MONOMER	EG10063	b2818	argA
EG12251-MONOMER	EG12251	b3524	yhjG
G6536-MONOMER	G6536	b1029	ycdU
CADB-MONOMER	EG10132	b4132	cadB
G7356-MONOMER	EG12442	b4461	yfjD
PD00230	EG10029	b2213	ada
G6325-MONOMER	G6325	b0580	ybdJ
G7108-MONOMER	G7108	b2063	yegH
G7838-MONOMER	G7838	b4157	yjeN
FUCP-MONOMER	EG10352	b2801	fucP
G7088-MONOMER	G7088	b2015	yeeY
G6901-MONOMER	G6901	b1673	ydhV
G6464-MONOMER	G6464	b0890	ftsK
EG12214-MONOMER	EG12214	b3468	yhhN
G7931-MONOMER	G7931	b4334	yjiL
EG11311-MONOMER	EG11311	b3260	dusB
KDPD-MONOMER	EG10516	b0695	kdpD
EG12310-MONOMER	EG12310	b2523	pepB
G6499-MONOMER	G6499	b0965	yccU
G6544-MONOMER	G6544	b1038	csgF
G6639-MONOMER	G6639	b1285	pdeR
MONOMER0-4448	G7480	b2860	insD4
YLIA-MONOMER	G6429	b0829	gsiA
G7245-MONOMER	G7245	b2382	ypdC
G7575-MONOMER	G7575	b3025	qseB
MONOMER0-144	G7305	b2488	hyfH
KETOBUTFORMLY-INACT-MONOMER	G7627	b3114	tdcE
G6551-MONOMER	G6551	b1046	clsC
EG10833-MONOMER	EG10833	b3822	recQ
EG11691-MONOMER	EG11691	b3664	adeQ
KGTP-MONOMER	EG10522	b2587	kgtP
MONOMER0-1001	G0-9081	b4526	ydaE
MONOMER0-2677	G0-10455	b4537	yecJ
EG11389-MONOMER	EG11389	b1926	fliT
G7456-MONOMER	G7456	b2812	tcdA
ERYTHRON4PDEHYDROG-MONOMER	G0-9461	b2320	pdxB
NANE-MONOMER	G7677	b3223	nanE
DPPA-MONOMER	EG10248	b3544	dppA
EG10490-MONOMER	EG10490	b2916	argP
HEMEOSYN-MONOMER	EG10182	b0428	cyoE
EG12342-MONOMER	EG12342	b4385	hipH
YHES-MONOMER	EG12903	b3352	yheS
G7864-MONOMER	G7864	b4206	ytfB
G6720-MONOMER	G6720	b1399	paaX
G6456-MONOMER	G6456	b0872	hcr
G7099-MONOMER	G7099	b2054	wcaF
CYOD-MONOMER	EG10181	b0429	cyoD
NHAB-MONOMER	EG11392	b1186	nhaB
MONOMER0-2814	G0-10585	b4589	ylcI
EG12044-MONOMER	EG12044	b2183	rsuA
G7704-MONOMER	G7704	b3326	gspE
G6920-MONOMER	G6920	b1697	ydiQ
EG11649-MONOMER	EG11649	b0208	yafC
MONOMER0-4536	EG10125	b0435	bolA
EG12210-MONOMER	EG12210	b3620	waaF
NUOH-MONOMER	EG12088	b2282	nuoH
UROGENIIISYN-MONOMER	EG10430	b3804	hemD
AROP-MONOMER	EG10084	b0112	aroP
G6591-MONOMER	G6591	b1147	ymfL
G6860-MONOMER	G6860	b1604	ydgH
EG11436-MONOMER	EG11436	b4269	ahr
G7281-MONOMER	G7281	b2451	eutA
G6374-MONOMER	G6374	b0689	ybfP
G7031-MONOMER	G7031	b1895	uspC
KUP-MONOMER	EG11541	b3747	kup
EG12267-MONOMER	EG12267	b3546	eptB
EG11414-MONOMER	EG11414	b4372	holD
G7039-MONOMER	G7039	b1920	tcyJ
G7197-MONOMER	G7197	b2305	rpnB
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	EG11377	b3018	plsC
