Experiment,27Al,47Ti,48Ti,51V,52Cr,55Mn,56Fe,57Fe,59Co,60Ni,63Cu,66Zn,75As,77Se,95Mo,111Cd,115In,118Sn,121Sb,182W,202Hg,208Pb,209Bi,,,,,,
0to0_1,86.974396296590300,4.004967674497320,5.167747057501130,0.179795563291665,0.876812995446901,10.836836783837100,10.552461316373200,10.337697231235300,0.057026061297217,1.173599277581690,0.500181504017169,0.602304440478834,0.022200359415144,0.119778929296019,0.117428350748757,0.001040359357923,-13.836556477343700,0.095279606857484,0.007664590717721,40.403295820534000,3.449360788291590,0.016147879297047,9.993648532263580,,,,,,
0to0_2,1.353012589626930,0.095871290277623,0.377730857784986,0.108823440402580,0.728477888122806,6.006003550059530,2.958433630277320,2.696670161829240,0.048106167076095,1.077893286033920,0.339913563175937,0.524030603083404,0.013566886309255,0.299447323240047,0.117187640651216,0.000208071871585,-13.536125939774500,0.056936570263312,0.007508168060070,35.564532232765300,2.891376847076750,0.010285992362935,10.862664848612600,,,,,,
0to0_3,1.516521614700050,0.100229107892552,0.403265543492494,0.116907751787503,0.722591246471848,5.784571387546040,3.121332828039720,2.888219464672680,0.056345264682863,1.111940950686560,0.300745141372327,0.542167496553883,0.013566886309255,0.059889464648010,0.114161521758802,0.001040359357923,-13.595515378733900,0.044945852063788,0.007038906344070,37.500017151456600,2.536293999044610,0.008580207512628,9.993648532242720,,,,,,
0to0_4,1.600319338550790,0.082797872295377,0.414613964464056,0.112476942398944,0.746018201036918,5.556133067608710,3.373253052374530,3.177695700953650,0.080347340608773,1.251426111754510,0.300579855902781,0.603577201720755,0.025900429184573,0.029944732324005,0.126953668197808,0.001872650173439,-13.555307359907700,0.037981219813101,0.006804276424546,39.193624278663600,2.587020033233840,0.007825540796892,8.907374226183520,,,,,,
0to0_5,1.671855358166850,0.069724593763294,0.442580821341189,0.117995936244104,0.789341693125555,5.538769737071310,3.598385260966690,3.239035629557100,0.105449956957551,1.430548283839830,0.480731971817462,0.702852911840169,0.024667085750637,0.239557858592038,0.118150455661456,0.002288790587432,-13.657827488088600,0.037335010327807,0.009228804154641,43.548492926877200,3.347909328630410,0.011981479029183,8.255622851730880,,,,,,
0to0_6,1.745434740338140,0.152522605509252,0.420288844578453,0.115275340931717,0.789340152817053,5.361224360858410,3.439233387290000,3.459775741458470,0.082878524621505,1.280609742003740,0.612150607118794,0.693943770298899,0.014800239610096,0.239558337711588,0.110413311777760,0.001664576637266,-13.779797013672200,0.031519231824898,0.005709324703693,46.693697774703200,2.130486334252930,0.014462691557856,10.428169725854900,,,,,,
0to0_7,1.510390439653350,0.117660378352269,0.444201828835733,0.113953827348588,0.721767912873683,5.168152325595010,2.979302679251710,2.739715189006340,0.059766594336384,1.124244997638950,0.531642659459355,0.635714280448625,0.020967015981208,0.209613126268033,0.092704012714758,0.001248432894096,-13.735623626348700,0.035827188968086,0.005318278383462,33.629024088231700,1.927582400403800,0.010875268129159,8.255610685394690,,,,,,
0to0_8,7.953101785449580,0.108944673397329,0.439337830262874,0.116052605414448,0.671032650646862,4.825667056996150,2.847893633975690,2.557851698214430,0.055804120811737,1.099638475319730,0.302783877458335,0.698397845297987,0.023433722582891,0.239557858592038,0.088646398417392,0.001040359357923,-13.656584900282400,0.035970824263994,0.006413221970426,34.354833593637600,1.471049715944790,0.010658168894791,97.982983179867200,,,,,,
0to0_9,1.412285572363140,0.135091509362240,0.491218576100321,0.122426859440696,0.650786162990857,4.989726106403180,2.971466687191240,2.577222101954250,0.197889595616644,1.663476834177160,0.268464123202024,1.339266579374380,0.017266975812495,0.059889464648010,0.095970767906145,0.001664576637266,-13.776569910338600,0.028719186227709,0.005709329709188,31.451583957583100,2.384116302292500,0.023943460671678,6.300339181446260,,,,,,
0to0_10,1.406154070269780,0.152522640371793,0.593359965020166,0.114109337707941,0.719297186822046,4.918422408848170,3.255220744934650,2.920502798669160,0.339686544140127,4.478587948319380,0.312038551787777,1.853531143602510,0.018500319246431,0.179668633503803,0.140158533942827,0.001872648508851,-13.796278443945900,0.024913761337117,0.008055651428776,48.629153660604000,2.637746676135480,0.033848985683009,8.690131878902580,,,,,,
