Time	T° 600	A2	A3	A4	A5	A6	A7	A8	A9	B2	B3	B4	B5	B6	B7	B8	B9	C2	C3	C4	C5	C6	C7	C8	C9	D2	D3	D4	D5	D6	D7	D8	D9	E2	E3	E4	E5	E6	E7	E8	E9	F2	F3	F4	F5	F6	F7	F8	F9	G2	G3	G4	G5	G6	G7	G8	G9	H2	H3	H4	H5	H6	H7	H8	H9
0:04:10	36.9	0.924	0.844	0.944	0.963	1.081	0.823	0.942	1.072	0.928	0.939	1.040	0.863	0.742	0.710	0.998	0.749	0.916	0.917	0.810	0.801	0.842	0.968	0.850	1.086	0.836	0.896	0.934	0.848	0.966	1.031	1.074	0.894	0.859	0.810	0.927	1.080	0.833	0.924	0.873	0.783	0.641	0.742	0.962	0.663	0.772	0.930	0.882	0.894	0.834	0.818	0.704	0.911	0.743	0.864	0.841	0.774	0.951	0.848	0.932	0.916	0.786	0.768	0.883	0.938
0:09:10	37.1	0.923	0.842	0.944	0.964	1.080	0.823	0.943	1.067	0.930	0.942	1.041	0.862	0.737	0.710	0.998	0.748	0.917	0.916	0.812	0.797	0.837	0.970	0.850	1.087	0.837	0.896	0.932	0.851	0.965	1.028	1.074	0.893	0.858	0.808	0.928	1.079	0.836	0.926	0.875	0.782	0.645	0.738	0.960	0.664	0.772	0.930	0.882	0.894	0.843	0.819	0.704	0.911	0.744	0.863	0.841	0.770	0.947	0.847	0.931	0.914	0.784	0.768	0.881	0.936
0:14:10	37.0	0.924	0.842	0.941	0.962	1.079	0.829	0.945	1.065	0.932	0.946	1.042	0.860	0.737	0.712	0.999	0.747	0.917	0.919	0.811	0.793	0.838	0.966	0.850	1.087	0.835	0.897	0.930	0.852	0.963	1.025	1.076	0.894	0.858	0.808	0.928	1.077	0.834	0.929	0.878	0.783	0.646	0.736	0.959	0.663	0.771	0.929	0.881	0.892	0.843	0.823	0.703	0.909	0.743	0.864	0.842	0.767	0.938	0.847	0.931	0.914	0.786	0.768	0.882	0.935
0:19:10	37.0	0.925	0.840	0.941	0.962	1.082	0.831	0.946	1.065	0.930	0.951	1.042	0.859	0.739	0.713	0.998	0.747	0.917	0.920	0.812	0.791	0.832	0.967	0.850	1.087	0.836	0.899	0.928	0.852	0.961	1.025	1.076	0.894	0.858	0.808	0.927	1.078	0.832	0.932	0.877	0.782	0.650	0.736	0.959	0.667	0.770	0.929	0.881	0.892	0.845	0.821	0.703	0.910	0.742	0.862	0.842	0.767	0.937	0.847	0.931	0.915	0.785	0.768	0.882	0.934
0:24:10	37.1	0.924	0.841	0.942	0.961	1.083	0.845	0.946	1.064	0.932	0.953	1.042	0.859	0.747	0.716	0.999	0.747	0.918	0.919	0.811	0.792	0.833	0.968	0.848	1.087	0.836	0.900	0.928	0.854	0.960	1.026	1.075	0.894	0.858	0.808	0.926	1.076	0.832	0.935	0.879	0.784	0.652	0.735	0.957	0.669	0.771	0.928	0.881	0.890	0.846	0.822	0.704	0.909	0.743	0.861	0.841	0.768	0.936	0.847	0.931	0.915	0.786	0.768	0.883	0.936
0:29:10	37.0	0.923	0.838	0.942	0.960	1.082	0.851	0.950	1.064	0.930	0.955	1.041	0.857	0.750	0.718	0.998	0.747	0.916	0.924	0.810	0.791	0.826	0.970	0.848	1.086	0.835	0.902	0.927	0.855	0.960	1.026	1.076	0.895	0.857	0.809	0.926	1.074	0.832	0.937	0.880	0.785	0.656	0.735	0.957	0.670	0.770	0.927	0.882	0.890	0.847	0.822	0.704	0.909	0.742	0.861	0.841	0.772	0.937	0.846	0.931	0.915	0.786	0.768	0.884	0.937
0:34:10	37.0	0.923	0.842	0.942	0.960	1.082	0.862	0.947	1.064	0.931	0.957	1.042	0.859	0.748	0.722	0.999	0.749	0.915	0.923	0.811	0.790	0.823	0.968	0.848	1.085	0.835	0.903	0.926	0.855	0.958	1.026	1.076	0.893	0.858	0.810	0.925	1.073	0.832	0.940	0.880	0.786	0.657	0.734	0.956	0.673	0.771	0.928	0.881	0.889	0.848	0.823	0.705	0.909	0.742	0.859	0.842	0.773	0.932	0.847	0.931	0.916	0.786	0.769	0.883	0.935
0:39:10	37.0	0.921	0.841	0.940	0.960	1.081	0.860	0.947	1.064	0.931	0.959	1.041	0.859	0.745	0.720	0.999	0.749	0.915	0.920	0.810	0.791	0.819	0.969	0.846	1.085	0.834	0.905	0.926	0.855	0.958	1.026	1.078	0.893	0.860	0.811	0.925	1.073	0.830	0.942	0.883	0.787	0.661	0.736	0.957	0.676	0.771	0.927	0.882	0.890	0.849	0.823	0.704	0.912	0.745	0.858	0.843	0.775	0.936	0.847	0.932	0.918	0.787	0.769	0.886	0.935
0:44:10	37.0	0.919	0.840	0.940	0.959	1.081	0.865	0.948	1.063	0.931	0.959	1.040	0.860	0.746	0.726	1.000	0.751	0.916	0.919	0.809	0.791	0.811	0.969	0.847	1.085	0.834	0.906	0.926	0.854	0.958	1.028	1.078	0.894	0.863	0.811	0.925	1.072	0.829	0.944	0.880	0.789	0.663	0.726	0.956	0.676	0.771	0.927	0.882	0.889	0.849	0.822	0.706	0.908	0.741	0.857	0.843	0.772	0.941	0.847	0.930	0.918	0.787	0.774	0.886	0.938
0:49:10	37.0	0.921	0.839	0.940	0.960	1.082	0.870	0.948	1.064	0.928	0.960	1.039	0.858	0.748	0.726	1.000	0.750	0.917	0.921	0.810	0.791	0.810	0.970	0.848	1.085	0.835	0.908	0.925	0.854	0.958	1.027	1.077	0.893	0.863	0.813	0.925	1.072	0.828	0.946	0.884	0.791	0.664	0.727	0.957	0.679	0.772	0.928	0.883	0.890	0.854	0.824	0.707	0.912	0.742	0.857	0.844	0.774	0.946	0.851	0.934	0.920	0.790	0.772	0.891	0.940
0:54:10	37.1	0.920	0.842	0.943	0.960	1.082	0.871	0.950	1.065	0.928	0.963	1.039	0.862	0.748	0.726	1.000	0.753	0.916	0.918	0.810	0.791	0.810	0.976	0.848	1.085	0.836	0.910	0.926	0.857	0.958	1.028	1.077	0.893	0.863	0.814	0.926	1.074	0.830	0.946	0.882	0.792	0.668	0.733	0.959	0.682	0.773	0.928	0.884	0.890	0.854	0.827	0.718	0.913	0.742	0.856	0.845	0.774	0.935	0.853	0.932	0.920	0.793	0.774	0.887	0.934
0:59:10	37.0	0.920	0.842	0.942	0.960	1.081	0.876	0.952	1.065	0.929	0.963	1.039	0.862	0.749	0.731	1.001	0.753	0.917	0.917	0.809	0.791	0.808	0.977	0.848	1.086	0.837	0.911	0.927	0.857	0.958	1.030	1.076	0.897	0.865	0.816	0.927	1.074	0.830	0.947	0.885	0.796	0.669	0.732	0.961	0.683	0.775	0.929	0.884	0.890	0.855	0.825	0.710	0.916	0.742	0.863	0.846	0.776	0.939	0.850	0.932	0.925	0.800	0.781	0.899	0.945
1:04:10	37.0	0.922	0.843	0.946	0.959	1.082	0.877	0.950	1.067	0.929	0.965	1.040	0.862	0.748	0.731	1.002	0.756	0.919	0.918	0.812	0.791	0.807	0.977	0.849	1.086	0.838	0.911	0.928	0.856	0.959	1.032	1.078	0.898	0.866	0.818	0.927	1.075	0.831	0.949	0.885	0.797	0.672	0.735	0.961	0.685	0.774	0.930	0.885	0.891	0.855	0.825	0.713	0.917	0.745	0.856	0.849	0.777	0.947	0.851	0.933	0.927	0.795	0.776	0.891	0.938
1:09:10	37.0	0.923	0.845	0.947	0.961	1.085	0.878	0.951	1.068	0.928	0.966	1.038	0.862	0.747	0.732	1.002	0.755	0.919	0.920	0.809	0.794	0.807	0.978	0.848	1.086	0.838	0.914	0.928	0.856	0.960	1.031	1.079	0.898	0.869	0.820	0.929	1.075	0.832	0.951	0.886	0.798	0.675	0.741	0.964	0.693	0.779	0.931	0.886	0.891	0.858	0.830	0.720	0.919	0.755	0.856	0.850	0.778	0.941	0.852	0.934	0.926	0.805	0.780	0.903	0.947
1:14:10	37.0	0.922	0.842	0.945	0.960	1.084	0.880	0.952	1.070	0.928	0.968	1.038	0.863	0.738	0.734	1.004	0.757	0.921	0.922	0.809	0.799	0.807	0.978	0.850	1.086	0.840	0.915	0.930	0.859	0.960	1.033	1.080	0.899	0.873	0.822	0.930	1.077	0.834	0.954	0.890	0.799	0.677	0.745	0.964	0.698	0.779	0.932	0.887	0.892	0.859	0.828	0.724	0.923	0.754	0.854	0.854	0.780	0.947	0.854	0.935	0.927	0.807	0.781	0.901	0.949
1:19:10	37.0	0.922	0.847	0.948	0.962	1.084	0.880	0.954	1.071	0.926	0.970	1.039	0.867	0.742	0.735	1.005	0.759	0.921	0.928	0.812	0.798	0.805	0.976	0.851	1.086	0.843	0.918	0.929	0.858	0.961	1.034	1.080	0.901	0.875	0.824	0.932	1.078	0.836	0.954	0.892	0.802	0.681	0.741	0.966	0.706	0.781	0.937	0.894	0.894	0.860	0.832	0.726	0.921	0.747	0.858	0.850	0.781	0.947	0.856	0.936	0.930	0.810	0.786	0.911	0.947
1:24:10	37.1	0.925	0.850	0.951	0.966	1.085	0.884	0.954	1.074	0.927	0.973	1.038	0.867	0.747	0.736	1.005	0.760	0.921	0.926	0.812	0.796	0.803	0.977	0.854	1.086	0.843	0.919	0.930	0.861	0.962	1.035	1.079	0.900	0.877	0.826	0.932	1.079	0.837	0.956	0.892	0.805	0.690	0.743	0.965	0.696	0.781	0.936	0.891	0.896	0.862	0.831	0.722	0.923	0.748	0.854	0.852	0.784	0.950	0.869	0.948	0.933	0.814	0.796	0.915	0.952
1:29:10	37.0	0.927	0.851	0.951	0.966	1.087	0.885	0.953	1.076	0.923	0.975	1.038	0.867	0.753	0.737	1.008	0.761	0.921	0.922	0.816	0.795	0.808	0.979	0.854	1.088	0.845	0.920	0.932	0.862	0.963	1.036	1.078	0.899	0.879	0.828	0.934	1.077	0.840	0.958	0.896	0.807	0.695	0.748	0.967	0.699	0.785	0.937	0.895	0.895	0.865	0.834	0.729	0.929	0.757	0.861	0.858	0.785	0.955	0.863	0.945	0.937	0.814	0.797	0.917	0.953
1:34:10	37.1	0.928	0.854	0.955	0.968	1.089	0.892	0.956	1.080	0.924	0.976	1.038	0.871	0.759	0.739	1.008	0.764	0.925	0.922	0.816	0.795	0.809	0.980	0.857	1.088	0.846	0.921	0.933	0.861	0.965	1.037	1.077	0.901	0.882	0.829	0.935	1.078	0.841	0.959	0.898	0.809	0.706	0.750	0.968	0.702	0.791	0.938	0.894	0.897	0.872	0.840	0.728	0.933	0.761	0.859	0.858	0.792	0.952	0.874	0.950	0.943	0.820	0.802	0.923	0.950
1:39:10	37.0	0.930	0.859	0.954	0.971	1.093	0.898	0.957	1.083	0.922	0.979	1.038	0.872	0.763	0.742	1.010	0.766	0.925	0.924	0.819	0.799	0.810	0.982	0.859	1.088	0.846	0.927	0.935	0.864	0.968	1.039	1.079	0.904	0.887	0.832	0.938	1.082	0.844	0.963	0.897	0.818	0.711	0.758	0.973	0.706	0.796	0.941	0.896	0.899	0.880	0.844	0.732	0.936	0.765	0.862	0.859	0.801	0.954	0.877	0.949	0.948	0.825	0.802	0.926	0.955
1:44:10	37.1	0.933	0.863	0.958	0.976	1.097	0.901	0.958	1.087	0.924	0.979	1.038	0.877	0.767	0.742	1.011	0.770	0.925	0.926	0.816	0.803	0.816	0.984	0.861	1.091	0.849	0.929	0.937	0.866	0.970	1.041	1.079	0.904	0.889	0.835	0.941	1.083	0.851	0.968	0.900	0.816	0.709	0.759	0.971	0.709	0.794	0.946	0.901	0.899	0.879	0.846	0.742	0.935	0.758	0.862	0.856	0.803	0.957	0.879	0.959	0.950	0.830	0.810	0.925	0.957
1:49:10	37.0	0.937	0.867	0.958	0.979	1.100	0.906	0.959	1.091	0.929	0.985	1.039	0.879	0.770	0.743	1.013	0.771	0.927	0.927	0.818	0.805	0.814	0.986	0.865	1.092	0.854	0.933	0.939	0.870	0.973	1.045	1.080	0.908	0.889	0.838	0.946	1.089	0.849	0.970	0.907	0.822	0.716	0.765	0.983	0.724	0.802	0.944	0.901	0.908	0.881	0.848	0.738	0.941	0.766	0.865	0.866	0.803	0.970	0.881	0.959	0.957	0.831	0.807	0.929	0.953
1:54:10	37.1	0.942	0.872	0.962	0.983	1.107	0.914	0.963	1.095	0.930	0.987	1.040	0.882	0.774	0.748	1.016	0.774	0.929	0.929	0.819	0.809	0.815	0.990	0.869	1.096	0.859	0.937	0.941	0.876	0.976	1.046	1.081	0.909	0.891	0.840	0.948	1.089	0.853	0.972	0.909	0.834	0.719	0.770	0.985	0.725	0.808	0.947	0.905	0.914	0.885	0.851	0.742	0.944	0.764	0.865	0.868	0.804	0.969	0.881	0.959	0.960	0.829	0.814	0.930	0.957
1:59:10	37.0	0.953	0.883	0.972	0.991	1.116	0.924	0.969	1.103	0.931	0.991	1.043	0.887	0.779	0.752	1.019	0.779	0.931	0.931	0.822	0.813	0.816	0.993	0.873	1.098	0.858	0.941	0.943	0.876	0.978	1.050	1.083	0.913	0.896	0.843	0.952	1.091	0.857	0.977	0.918	0.833	0.719	0.769	0.988	0.735	0.807	0.953	0.911	0.918	0.884	0.853	0.751	0.951	0.770	0.867	0.867	0.809	0.967	0.879	0.959	0.963	0.835	0.814	0.932	0.948
2:04:10	37.1	0.964	0.894	0.982	1.000	1.124	0.932	0.976	1.116	0.934	0.997	1.047	0.894	0.784	0.758	1.023	0.783	0.933	0.935	0.824	0.817	0.818	0.996	0.877	1.104	0.861	0.943	0.945	0.879	0.981	1.053	1.085	0.916	0.901	0.848	0.957	1.096	0.862	0.983	0.924	0.841	0.725	0.778	0.992	0.735	0.816	0.957	0.909	0.911	0.893	0.855	0.750	0.956	0.776	0.875	0.877	0.808	0.960	0.881	0.958	0.961	0.834	0.811	0.925	0.952
2:09:10	37.0	0.983	0.908	0.994	1.011	1.131	0.944	0.987	1.127	0.937	1.001	1.050	0.900	0.790	0.763	1.026	0.789	0.938	0.940	0.830	0.823	0.820	1.001	0.888	1.110	0.866	0.949	0.949	0.885	0.987	1.056	1.088	0.925	0.908	0.855	0.963	1.098	0.868	0.989	0.932	0.843	0.726	0.760	0.982	0.735	0.806	0.955	0.911	0.921	0.884	0.862	0.753	0.951	0.773	0.869	0.868	0.815	0.955	0.885	0.962	0.964	0.836	0.820	0.935	0.951
2:14:10	37.0	0.991	0.910	1.003	1.018	1.142	0.963	1.007	1.142	0.940	1.007	1.056	0.909	0.800	0.772	1.032	0.798	0.941	0.947	0.838	0.830	0.821	1.006	0.895	1.115	0.872	0.955	0.955	0.891	0.998	1.061	1.095	0.931	0.916	0.868	0.972	1.103	0.876	0.997	0.944	0.862	0.727	0.774	0.991	0.737	0.815	0.959	0.917	0.918	0.891	0.864	0.762	0.964	0.776	0.872	0.881	0.807	0.958	0.885	0.962	0.970	0.838	0.824	0.941	0.959
2:19:10	37.0	1.007	0.928	1.011	1.026	1.147	0.972	1.015	1.157	0.947	1.015	1.063	0.919	0.810	0.788	1.041	0.810	0.945	0.959	0.848	0.841	0.829	1.012	0.911	1.120	0.885	0.966	0.967	0.903	1.003	1.068	1.104	0.942	0.923	0.882	0.975	1.104	0.882	1.002	0.957	0.874	0.736	0.776	0.992	0.749	0.820	0.965	0.927	0.921	0.896	0.866	0.760	0.966	0.782	0.876	0.887	0.816	0.972	0.896	0.972	0.970	0.849	0.833	0.954	0.969
2:24:10	37.1	1.018	0.943	1.026	1.036	1.156	0.986	1.025	1.164	0.958	1.029	1.071	0.927	0.822	0.806	1.053	0.824	0.959	0.977	0.868	0.861	0.848	1.024	0.916	1.129	0.899	0.988	0.991	0.928	1.007	1.081	1.113	0.956	0.932	0.892	0.979	1.110	0.885	1.003	0.967	0.883	0.738	0.785	0.994	0.757	0.824	0.967	0.928	0.924	0.901	0.873	0.768	0.974	0.789	0.878	0.893	0.829	0.982	0.903	0.978	0.982	0.854	0.842	0.967	0.978
2:29:10	37.0	1.025	0.952	1.042	1.051	1.166	0.998	1.031	1.171	0.968	1.042	1.085	0.944	0.833	0.817	1.060	0.839	0.967	0.982	0.878	0.862	0.855	1.033	0.922	1.137	0.907	1.004	1.002	0.938	1.006	1.091	1.119	0.972	0.940	0.903	0.989	1.117	0.893	1.007	0.976	0.898	0.746	0.796	1.006	0.769	0.837	0.984	0.943	0.931	0.913	0.879	0.777	0.979	0.798	0.893	0.899	0.835	0.994	0.912	0.987	0.994	0.866	0.853	0.978	0.982
2:34:10	37.0	1.037	0.959	1.049	1.058	1.174	1.003	1.040	1.179	0.973	1.050	1.092	0.948	0.839	0.822	1.062	0.850	0.973	0.988	0.878	0.875	0.852	1.040	0.934	1.146	0.923	0.997	1.004	0.942	1.011	1.102	1.131	0.985	0.963	0.908	1.003	1.129	0.910	1.031	0.990	0.909	0.754	0.802	1.015	0.782	0.847	0.991	0.949	0.938	0.922	0.887	0.791	0.985	0.809	0.899	0.907	0.849	1.004	0.923	0.997	1.004	0.880	0.871	0.996	0.997
2:39:10	37.0	1.055	0.975	1.062	1.074	1.186	1.019	1.057	1.187	0.986	1.062	1.098	0.952	0.848	0.832	1.073	0.868	0.982	1.003	0.896	0.884	0.861	1.049	0.947	1.152	0.933	1.009	1.009	0.945	1.018	1.106	1.139	1.000	0.977	0.933	1.031	1.149	0.940	1.054	1.006	0.926	0.770	0.811	1.021	0.792	0.858	0.995	0.959	0.954	0.934	0.889	0.802	0.989	0.815	0.913	0.910	0.858	1.011	0.933	1.008	1.017	0.895	0.884	1.009	1.004
2:44:10	37.0	1.076	0.998	1.093	1.102	1.215	1.051	1.084	1.199	1.001	1.074	1.104	0.958	0.862	0.846	1.083	0.880	0.993	1.018	0.909	0.895	0.872	1.054	0.955	1.160	0.947	1.028	1.024	0.957	1.028	1.112	1.144	1.009	0.993	0.951	1.048	1.164	0.959	1.071	1.024	0.939	0.788	0.815	1.028	0.802	0.869	1.002	0.966	0.964	0.950	0.901	0.805	0.995	0.831	0.918	0.917	0.868	1.026	0.943	1.016	1.024	0.905	0.904	1.028	1.024
2:49:10	37.0	1.106	1.009	1.097	1.111	1.223	1.056	1.093	1.228	1.013	1.089	1.117	0.977	0.878	0.857	1.090	0.888	1.005	1.035	0.928	0.918	0.902	1.076	0.975	1.167	0.964	1.054	1.050	0.990	1.050	1.121	1.163	1.025	1.002	0.966	1.059	1.173	0.972	1.081	1.040	0.954	0.808	0.820	1.034	0.813	0.876	1.005	0.969	0.974	0.962	0.908	0.825	1.001	0.843	0.931	0.931	0.889	1.037	0.959	1.031	1.042	0.921	0.925	1.047	1.035
2:54:10	37.0	1.168	1.051	1.133	1.152	1.264	1.103	1.145	1.270	1.024	1.107	1.137	0.992	0.908	0.890	1.117	0.904	1.014	1.053	0.947	0.930	0.915	1.086	0.997	1.182	0.983	1.067	1.062	1.005	1.063	1.140	1.173	1.035	1.014	0.974	1.069	1.179	0.986	1.092	1.055	0.971	0.820	0.826	1.037	0.816	0.885	1.011	0.974	0.984	0.975	0.922	0.827	1.014	0.849	0.935	0.942	0.908	1.049	0.971	1.046	1.057	0.936	0.942	1.060	1.053
