Time	T° 600	A2	A3	A4	A5	A6	A7	A8	A9	B2	B3	B4	B5	B6	B7	B8	B9	C2	C3	C4	C5	C6	C7	C8	C9	D2	D3	D4	D5	D6	D7	D8	D9	E2	E3	E4	E5	E6	E7	E8	E9	F2	F3	F4	F5	F6	F7	F8	F9	G2	G3	G4	G5	G6	G7	G8	G9	H2	H3	H4	H5	H6	H7	H8	H9
0:02:10	37.0	0.758	0.698	0.767	0.682	0.810	0.616	0.844	0.661	1.003	0.909	0.839	0.921	0.843	0.918	0.825	0.760	0.949	0.942	0.571	0.852	0.806	0.834	0.761	0.741	0.900	0.909	0.937	1.018	0.653	0.728	0.780	0.592	1.028	0.901	0.879	0.959	0.843	0.818	0.571	0.864	0.859	0.837	0.808	0.783	0.803	0.906	1.058	0.981	0.822	1.000	0.717	0.831	0.929	0.861	0.895	0.922	0.943	0.692	0.964	0.830	0.846	0.673	0.779	0.957
0:05:10	37.1	0.759	0.714	0.774	0.686	0.807	0.627	0.843	0.660	1.002	0.902	0.840	0.916	0.844	0.918	0.826	0.755	0.941	0.941	0.573	0.849	0.806	0.844	0.779	0.736	0.896	0.907	0.934	1.017	0.652	0.733	0.780	0.601	1.028	0.909	0.878	0.956	0.843	0.820	0.579	0.866	0.859	0.832	0.803	0.785	0.812	0.906	1.054	0.979	0.814	0.996	0.724	0.830	0.928	0.866	0.895	0.919	0.943	0.699	0.963	0.822	0.841	0.672	0.783	0.955
0:08:10	37.0	0.758	0.727	0.778	0.688	0.804	0.635	0.841	0.659	1.001	0.897	0.840	0.914	0.844	0.917	0.827	0.752	0.937	0.938	0.573	0.849	0.805	0.851	0.784	0.734	0.894	0.905	0.932	1.016	0.651	0.735	0.781	0.605	1.027	0.912	0.877	0.954	0.843	0.821	0.587	0.859	0.859	0.830	0.801	0.787	0.818	0.906	1.052	0.976	0.812	0.996	0.733	0.830	0.927	0.868	0.895	0.917	0.942	0.702	0.962	0.820	0.841	0.673	0.785	0.954
0:11:10	37.0	0.759	0.733	0.781	0.689	0.802	0.641	0.840	0.659	1.001	0.894	0.841	0.913	0.844	0.916	0.827	0.748	0.936	0.937	0.575	0.847	0.805	0.853	0.790	0.732	0.893	0.904	0.930	1.016	0.651	0.735	0.782	0.610	1.028	0.917	0.874	0.952	0.842	0.822	0.592	0.857	0.859	0.830	0.798	0.788	0.824	0.905	1.054	0.975	0.812	0.996	0.738	0.828	0.926	0.870	0.894	0.915	0.941	0.709	0.962	0.818	0.839	0.673	0.787	0.954
0:14:10	37.0	0.759	0.741	0.783	0.692	0.798	0.645	0.839	0.659	1.000	0.892	0.841	0.910	0.844	0.914	0.828	0.744	0.934	0.935	0.575	0.849	0.805	0.857	0.793	0.730	0.891	0.903	0.929	1.014	0.650	0.736	0.782	0.614	1.027	0.920	0.872	0.950	0.839	0.823	0.611	0.855	0.859	0.833	0.790	0.790	0.827	0.905	1.049	0.972	0.811	0.995	0.742	0.818	0.924	0.872	0.894	0.914	0.940	0.714	0.964	0.816	0.835	0.672	0.787	0.953
0:17:10	37.1	0.759	0.746	0.786	0.693	0.796	0.650	0.839	0.657	1.000	0.890	0.841	0.909	0.843	0.914	0.828	0.743	0.933	0.935	0.575	0.848	0.804	0.859	0.796	0.729	0.890	0.902	0.928	1.014	0.650	0.736	0.782	0.617	1.027	0.923	0.872	0.949	0.839	0.824	0.606	0.852	0.864	0.833	0.792	0.790	0.831	0.904	1.047	0.972	0.812	0.993	0.746	0.817	0.923	0.873	0.894	0.913	0.940	0.719	0.962	0.817	0.835	0.672	0.788	0.953
0:20:10	37.1	0.760	0.750	0.786	0.694	0.795	0.654	0.837	0.657	1.000	0.888	0.842	0.907	0.843	0.913	0.829	0.739	0.932	0.934	0.576	0.848	0.804	0.862	0.797	0.728	0.888	0.900	0.925	1.012	0.650	0.736	0.782	0.619	1.027	0.925	0.871	0.947	0.838	0.824	0.614	0.849	0.860	0.834	0.792	0.790	0.835	0.902	1.045	0.968	0.811	0.993	0.749	0.815	0.922	0.875	0.894	0.912	0.940	0.722	0.960	0.815	0.835	0.672	0.788	0.953
0:23:10	37.1	0.761	0.755	0.787	0.696	0.797	0.662	0.838	0.658	1.000	0.886	0.841	0.905	0.843	0.912	0.828	0.738	0.931	0.933	0.576	0.847	0.803	0.863	0.798	0.727	0.888	0.899	0.925	1.012	0.650	0.736	0.782	0.622	1.027	0.928	0.869	0.946	0.840	0.825	0.624	0.848	0.861	0.834	0.792	0.790	0.838	0.902	1.044	0.968	0.811	0.992	0.754	0.815	0.921	0.876	0.894	0.911	0.939	0.725	0.960	0.815	0.834	0.673	0.788	0.953
0:26:10	36.9	0.760	0.759	0.790	0.695	0.791	0.659	0.835	0.656	0.999	0.886	0.840	0.904	0.842	0.912	0.828	0.733	0.933	0.932	0.577	0.845	0.803	0.865	0.798	0.726	0.887	0.899	0.925	1.012	0.648	0.736	0.782	0.624	1.026	0.930	0.869	0.945	0.837	0.825	0.633	0.847	0.861	0.834	0.791	0.790	0.840	0.902	1.043	0.967	0.811	0.993	0.759	0.815	0.919	0.877	0.893	0.910	0.938	0.726	0.960	0.814	0.833	0.673	0.789	0.953
0:29:10	37.0	0.760	0.761	0.790	0.695	0.790	0.663	0.834	0.657	0.999	0.885	0.840	0.903	0.842	0.912	0.830	0.734	0.938	0.930	0.575	0.845	0.803	0.867	0.797	0.726	0.886	0.898	0.923	1.010	0.648	0.736	0.781	0.625	1.026	0.931	0.868	0.944	0.834	0.824	0.637	0.844	0.861	0.834	0.788	0.790	0.842	0.902	1.041	0.963	0.811	0.992	0.760	0.814	0.918	0.878	0.895	0.909	0.938	0.728	0.960	0.815	0.831	0.673	0.789	0.952
0:32:10	37.0	0.761	0.767	0.790	0.696	0.790	0.665	0.834	0.654	0.999	0.884	0.839	0.902	0.842	0.910	0.828	0.733	0.931	0.930	0.575	0.844	0.803	0.869	0.797	0.725	0.886	0.898	0.923	1.010	0.648	0.737	0.781	0.627	1.026	0.933	0.868	0.943	0.836	0.825	0.643	0.844	0.861	0.836	0.787	0.790	0.845	0.902	1.040	0.964	0.812	0.993	0.762	0.814	0.918	0.880	0.895	0.909	0.938	0.730	0.960	0.812	0.832	0.674	0.789	0.954

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A		0.500	5.167	2.233	1.167	-2.067	3.600	-0.967	-0.800				Max V [600]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000				R-Squared [600]
		0:30:40	0:03:40	0:03:40	0:03:40	0:24:40	0:03:40	0:24:40	0:30:40				t at Max V [600]
		0:25:46	0:02:10	0:02:10	0:02:10	0:16:41	0:02:10	0:17:16	0:23:25				Lagtime [600]
B		-0.400	-2.467	0.467	-1.500	0.433	-0.833	-0.600	-1.700				Max V [600]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000				R-Squared [600]
		0:24:40	0:03:40	0:18:40	0:03:40	0:03:40	0:12:40	0:30:40	0:03:40				t at Max V [600]
		0:16:25	0:02:10	0:12:53	0:02:10	0:02:10	0:08:46	?????	0:02:10				Lagtime [600]
C		-2.467	-0.933	0.733	-0.867	-0.267	3.467	5.933	-1.700				Max V [600]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000				R-Squared [600]
		0:03:40	0:06:40	0:03:40	0:03:40	0:06:40	0:03:40	0:03:40	0:03:40				t at Max V [600]
		0:02:10	0:03:53	0:02:10	0:02:10	0:03:40	0:02:10	0:02:10	0:02:10				Lagtime [600]
D		-1.333	-0.633	-0.900	-0.600	-0.533	1.900	-0.267	3.067				Max V [600]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000				R-Squared [600]
		0:03:40	0:06:40	0:18:40	0:27:40	0:03:40	0:03:40	0:27:40	0:03:40				t at Max V [600]
		0:02:10	0:02:29	0:07:37	0:16:00	0:02:10	0:02:10	?????	0:02:10				Lagtime [600]
E		-0.133	2.500	-0.800	-1.000	-0.933	0.500	6.233	-2.333				Max V [600]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000				R-Squared [600]
		0:15:40	0:03:40	0:09:40	0:03:40	0:24:40	0:03:40	0:12:40	0:06:40				t at Max V [600]
		0:13:25	0:02:10	0:04:55	0:02:10	0:19:25	0:02:10	0:07:49	0:06:14				Lagtime [600]
F		1.633	-1.733	-2.833	0.833	3.233	-0.500	-1.667	-1.333				Max V [600]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000				R-Squared [600]
		0:15:40	0:03:40	0:12:40	0:12:40	0:03:40	0:18:40	0:12:40	0:27:40				t at Max V [600]
		0:14:06	0:02:10	0:07:36	0:05:46	0:02:10	0:12:46	0:08:50	0:16:12				Lagtime [600]
G		-2.533	-1.300	3.100	-3.367	-0.767	1.500	0.467	-0.900				Max V [600]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000				R-Squared [600]
		0:03:40	0:03:40	0:06:40	0:12:40	0:12:40	0:03:40	0:27:40	0:03:40				t at Max V [600]
		0:02:10	0:02:10	0:02:49	0:10:31	0:07:39	0:02:10	0:29:36	0:02:10				Lagtime [600]
H		-0.400	2.167	-0.833	-2.667	-1.600	-0.333	1.333	-0.800				Max V [600]
		1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000				R-Squared [600]
		0:06:40	0:09:40	0:15:40	0:03:40	0:03:40	0:12:40	0:03:40	0:03:40				t at Max V [600]
		0:04:25	0:03:25	0:14:46	0:02:10	0:02:10	0:10:34	0:02:10	0:02:10				Lagtime [600]

