Additive,Growth rate,Nitrate,Molybdenum
+/-,1.5822071186390825,+,-
+/-,1.5525094572206593,+,-
+/-,1.5642733379036866,+,-
+/-,1.515119503959898,+,-
+/-,1.5790221989771982,+,-
+/-,1.5269891173187375,+,-
+/1,1.7059514260410535,+,1
+/1,1.657082847361899,+,1
+/1,1.6441864845681196,+,1
+/1,1.6537041281163503,+,1
+/1,1.6458581281579785,+,1
+/1,1.6242239571981112,+,1
+/2,1.649253331537501,+,2
+/2,1.582337560317237,+,2
+/2,1.631298593371771,+,2
+/2,1.578739049347553,+,2
+/2,1.5816903042014683,+,2
+/2,1.6571306518205078,+,2
+/3,1.4886768379956092,+,3
+/3,1.4972209005593906,+,3
+/3,1.5691353968775434,+,3
+/3,1.527569194762883,+,3
+/3,1.5127565452721612,+,3
+/3,1.5755060666634564,+,3
-/-,1.215563241856961,-,-
-/-,1.1380649742868978,-,-
-/-,1.185643143008324,-,-
-/-,1.2132038893816683,-,-
-/-,1.2158144145556158,-,-
-/-,1.184421483254097,-,-
-/2,1.2918822430670474,-,2
-/2,1.3459536905097138,-,2
-/2,1.3075479998668076,-,2
-/2,1.5607718987944335,-,2
-/2,1.281692772719697,-,2
-/2,1.2518349583736217,-,2
TSB+MO,1.7572835923500032,TSB+MO,
TSB+MO,1.6924053599610946,TSB+MO,
TSB+MO,1.7666647826014112,TSB+MO,
TSB+MO,1.965317066143644,TSB+MO,
TSB+MO,1.949246199859326,TSB+MO,
TSB+MO,1.9836672805526496,TSB+MO,
TSB+NO3 Mo,2.1178886057190596,TSB+NO3 Mo,
TSB+NO3 Mo,2.0478193804441482,TSB+NO3 Mo,
TSB+NO3 Mo,2.095890180844085,TSB+NO3 Mo,
TSB+NO3 Mo,2.011368184223488,TSB+NO3 Mo,
TSB+NO3 Mo,1.9153685418790878,TSB+NO3 Mo,
TSB+NO3 Mo,2.089730798284036,TSB+NO3 Mo,
