Additive,Well,Initial_corrected_OD,Replicate
-/2,B6,0.3537,6
-/2,B8,0.2947,8
-/2,B4,0.26670000000000005,4
-/2,B1,0.24160000000000004,1
-/2,B7,0.2353,7
-/-,A3,0.2697,3
-/-,A5,0.2692,5
-/-,A2,0.2688,2
-/-,A4,0.2591,4
-/-,A1,0.25770000000000004,1
TSB+MO,G8,0.4176,8
TSB+MO,G3,0.38270000000000004,3
TSB+MO,G6,0.3791,6
TSB+MO,G2,0.3609,2
TSB+MO,G12,0.3604,12
+/-,F2,0.39449999999999996,2
+/-,F3,0.3877,3
+/-,F10,0.3873,10
+/-,F1,0.38480000000000003,1
+/-,F6,0.3833,6
TSB+NO3 Mo,H2,0.6275999999999999,2
TSB+NO3 Mo,H3,0.5757,3
TSB+NO3 Mo,H4,0.49079999999999996,4
TSB+NO3 Mo,H12,0.4644,12
TSB+NO3 Mo,H8,0.4013,8
+/1,C3,0.4176,3
+/1,C1,0.41619999999999996,1
+/1,C2,0.4095,2
+/1,C4,0.3994,4
+/1,C6,0.3958,6
+/3,E9,0.19509999999999997,9
+/3,E12,0.1916,12
+/3,E1,0.19060000000000002,1
+/3,E11,0.19,11
+/3,E10,0.18379999999999996,10
+/2,D1,0.37960000000000005,1
+/2,D3,0.3795,3
+/2,D7,0.3708,7
+/2,D5,0.365,5
+/2,D6,0.3609,6
