Media,Condition,Biological,Technical,2‐/3‐PG,6PG,ADP,aKG,Ala,AMP,Arg,Asn,Asp,ATP,cAMP,CDP,cGMP,Cit,CMP,CTP,dADP,dAMP,dATP,dCDP,dCMP,dCTP,dGDP,dGTP,dTDP,dTMP,dTTP,dUMP,"F1,6BP",F1P,F6p,FAD,Fum,G‐/M‐1P,G6P,GA6P,GAL1P,GDP,GL3P,Gln,Glu,GMP,GTP,His,ICit,PEP,Phe,Pro,PRPP,R5P,S7P,Ser,Thr,Trp,Tyr,UDP,UDP‐,UMP,UTP,Val
Mineral,Bioreactor,A,1,"3,8E‐04","1,0E‐04","9,9E‐04","8,8E‐05","4,7E‐04","5,8E‐04","2,4E‐04","1,5E‐04","2,3E‐04","3,2E‐03","1,3E‐05","1,2E‐04","2,4E‐05","3,5E‐04","1,1E‐04","2,5E‐04","4,7E‐05","4,1E‐06","1,2E‐04","2,5E‐05","4,3E‐06","9,6E‐05","1,1E‐05","4,1E‐05","4,6E‐05","1,3E‐03","1,3E‐04","2,9E‐06","2,5E‐03","3,8E‐05","4,4E‐04","9,2E‐05","2,2E‐04","3,2E‐05","4,8E‐04","2,0E‐04","1,0E‐05","1,7E‐04","1,2E‐04","7,1E‐04","2,4E‐03","2,1E‐05","1,1E‐03","7,9E‐05","3,9E‐06","8,3E‐05","1,2E‐04","1,6E‐04","1,2E‐04","2,2E‐04","7,0E‐05","2,8E‐04","2,6E‐04","3,7E‐05","1,7E‐04","2,6E‐04",GlcNac,,,
Mineral,Bioreactor,A,2,"2,3E‐04","5,8E‐05","8,9E‐04","1,5E‐04","3,3E‐04","5,8E‐04","1,7E‐04","8,6E‐05","1,5E‐04","2,5E‐03","1,5E‐05","1,2E‐04","2,7E‐05","3,2E‐04","1,0E‐04","1,9E‐04","4,8E‐05","4,9E‐06","9,7E‐05","2,6E‐05","5,1E‐06","7,4E‐05","1,0E‐05","3,1E‐05","4,6E‐05","1,0E‐03","1,0E‐04","1,8E‐06","1,0E‐03","2,5E‐05","3,9E‐04","8,7E‐05","2,2E‐04","2,5E‐05","4,5E‐04","1,3E‐04","6,5E‐06","1,8E‐04","1,3E‐04","3,2E‐04","1,6E‐03","2,8E‐05","9,1E‐04","6,3E‐05","4,3E‐06","7,1E‐05","9,2E‐05","1,2E‐04","5,0E‐05","1,7E‐04","5,6E‐05","2,5E‐04","1,9E‐04","2,5E‐05","1,2E‐04","2,7E‐04","7,6E‐04","3,2E‐03","1,2E‐03","2,3E‐04"
Mineral,Bioreactor,A,3,"2,8E‐04","7,1E‐05","9,7E‐04","1,8E‐04","9,8E‐04","5,9E‐04","4,6E‐04","1,8E‐04","1,6E‐04","2,8E‐03","1,2E‐05","1,1E‐04","2,4E‐05","3,8E‐04","1,0E‐04","2,3E‐04","4,8E‐05","4,1E‐06","1,1E‐04","2,4E‐05","4,3E‐06","8,9E‐05","9,0E‐06","3,3E‐05","4,6E‐05","1,2E‐03","1,2E‐04","2,4E‐06","1,2E‐03","2,5E‐05","3,1E‐04","7,9E‐05","2,3E‐04","3,2E‐05","3,6E‐04","1,3E‐04","1,1E‐05","1,8E‐04","8,3E‐05","3,6E‐04","2,1E‐03","2,2E‐05","1,1E‐03","1,7E‐04","5,7E‐06","1,1E‐04","4,3E‐04","2,0E‐04","8,0E‐05","1,5E‐04","6,1E‐05","2,6E‐04","3,7E‐04","6,5E‐05","1,5E‐04","2,8E‐04",,,,
Mineral,Bioreactor,A,4,"2,5E‐04","5,1E‐05","1,0E‐03","1,7E‐04","8,0E‐04","6,6E‐04","3,5E‐04","1,4E‐04","1,6E‐04","2,5E‐03","1,1E‐05","1,4E‐04","2,0E‐05","3,6E‐04","1,3E‐04","1,9E‐04","5,8E‐05","7,1E‐06","9,1E‐05","3,2E‐05","6,7E‐06","7,1E‐05","1,3E‐05","2,8E‐05","5,6E‐05","1,1E‐03","1,0E‐04","2,6E‐06","7,9E‐04","2,4E‐05","3,3E‐04","8,6E‐05","2,5E‐04","2,8E‐05","4,6E‐04","1,3E‐04","9,4E‐06","2,2E‐04","2,0E‐04","3,0E‐04","2,1E‐03","4,6E‐05","9,2E‐04","1,3E‐04","3,9E‐06","8,8E‐05","2,6E‐04","1,6E‐04","5,5E‐05","1,7E‐04","5,4E‐05","2,4E‐04","2,9E‐04","4,7E‐05","1,3E‐04","3,6E‐04","7,9E‐04","2,9E‐03","1,2E‐03","4,6E‐04"
Mineral,Bioreactor,B,1,"3,3E‐04","9,4E‐05","1,0E‐03","1,2E‐04","3,0E‐04","6,2E‐04","1,6E‐04","1,0E‐04","1,6E‐04","3,1E‐03","1,5E‐05","1,3E‐04","2,7E‐05","3,7E‐04","1,0E‐04","2,3E‐04","5,0E‐05","4,2E‐06","1,2E‐04","2,6E‐05","4,2E‐06","8,6E‐05","1,1E‐05","3,9E‐05","4,6E‐05","1,3E‐03","1,2E‐04","3,3E‐06","1,4E‐03","3,5E‐05","3,9E‐04","8,0E‐05","2,9E‐04","3,7E‐05","4,4E‐04","1,9E‐04","1,0E‐05","2,1E‐04","1,2E‐04","3,7E‐04","2,0E‐03","2,4E‐05","1,1E‐03","8,7E‐05","3,9E‐06","1,1E‐04","7,9E‐05","1,2E‐04","1,1E‐04","2,2E‐04","8,2E‐05","2,6E‐04","2,2E‐04","2,8E‐05","1,3E‐04","2,8E‐04","7,2E‐04","2,5E‐03","1,0E‐03","3,6E‐04"
Mineral,Bioreactor,B,2,"2,5E‐04","7,6E‐05","8,2E‐04","1,2E‐04","2,6E‐04","5,2E‐04","1,3E‐04","7,3E‐05","1,2E‐04","2,8E‐03","1,1E‐05","9,7E‐05","2,0E‐05","3,2E‐04","9,7E‐05","2,1E‐04","4,0E‐05","4,6E‐06","1,1E‐04","2,0E‐05","3,7E‐06","7,9E‐05","7,2E‐06","3,3E‐05","3,7E‐05","1,2E‐03","1,1E‐04","2,0E‐06","1,0E‐03","2,6E‐05","3,1E‐04","8,6E‐05","2,5E‐04","3,1E‐05","3,3E‐04","1,3E‐04","6,8E‐06","1,7E‐04","9,2E‐05","2,2E‐04","1,5E‐03","2,1E‐05","1,0E‐03","6,4E‐05","3,7E‐06","8,2E‐05","7,7E‐05","1,0E‐04","7,9E‐05","1,8E‐04","7,1E‐05","2,7E‐04","1,6E‐04","2,4E‐05","9,9E‐05","2,2E‐04","7,9E‐04","3,1E‐03","1,2E‐03","1,6E‐04"
Mineral,Bioreactor,B,3,"2,2E‐04","5,6E‐05","9,3E‐04","1,1E‐04","3,7E‐04","6,0E‐04","1,3E‐04","8,9E‐05","1,6E‐04","2,3E‐03","1,2E‐05","1,3E‐04","2,2E‐05","2,8E‐04","9,2E‐05","1,7E‐04","5,0E‐05","4,8E‐06","8,1E‐05","2,5E‐05","3,9E‐06","5,9E‐05","9,4E‐06","2,5E‐05","4,4E‐05","8,3E‐04","8,2E‐05","1,3E‐06","6,9E‐04","2,0E‐05","4,8E‐04","8,5E‐05","2,5E‐04","2,7E‐05","5,6E‐04","1,3E‐04","4,8E‐06","2,0E‐04","2,0E‐04","3,8E‐04","1,9E‐03","3,1E‐05","8,2E‐04","6,7E‐05","2,2E‐06","5,5E‐05","9,3E‐05","1,2E‐04","6,0E‐05","1,7E‐04","6,0E‐05","2,5E‐04","2,0E‐04","2,9E‐05","1,3E‐04","3,0E‐04",,,,
Mineral,Bioreactor,B,4,"2,5E‐04","5,1E‐05","1,0E‐03","1,0E‐04","3,5E‐04","6,8E‐04","1,4E‐04","8,3E‐05","1,6E‐04","2,3E‐03","9,1E‐06","1,6E‐04","1,5E‐05","2,6E‐04","1,2E‐04","1,6E‐04","6,2E‐05","5,9E‐06","8,4E‐05","3,3E‐05","6,4E‐06","6,1E‐05","1,3E‐05","2,7E‐05","5,5E‐05","8,8E‐04","8,6E‐05","1,5E‐06","7,3E‐04","2,2E‐05","4,8E‐04","8,5E‐05","2,4E‐04","2,7E‐05","5,8E‐04","1,3E‐04","4,6E‐06","2,4E‐04","2,0E‐04","3,3E‐04","1,9E‐03","4,6E‐05","8,3E‐04","7,1E‐05","1,5E‐06","5,3E‐05","8,9E‐05","1,2E‐04","5,2E‐05","1,9E‐04","6,3E‐05","3,0E‐04","2,2E‐04","2,6E‐05","1,3E‐04","3,4E‐04","5,3E‐04","1,9E‐03","9,0E‐04","1,7E‐04"
Mineral,Bioreactor,C,1,"1,9E‐04","5,8E‐05","5,9E‐04","1,4E‐04","2,2E‐04","3,2E‐04","1,1E‐04","6,8E‐05","9,6E‐05","2,5E‐03","8,1E‐06","7,3E‐05","1,9E‐05","2,7E‐04","8,2E‐05","2,0E‐04","2,8E‐05","2,7E‐06","9,0E‐05","1,6E‐05","3,3E‐06","6,6E‐05","9,8E‐06","3,0E‐05","2,8E‐05","1,1E‐03","1,0E‐04","3,0E‐06","6,6E‐04","2,2E‐05","2,6E‐04","5,9E‐05","2,5E‐04","3,2E‐05","2,9E‐04","1,1E‐04","7,4E‐06","1,8E‐04","9,9E‐05","2,3E‐04","1,3E‐03","1,6E‐05","8,3E‐04","4,8E‐05","4,1E‐06","1,5E‐04","6,8E‐05","8,6E‐05","9,1E‐05","1,1E‐04","5,7E‐05","1,7E‐04","1,4E‐04","2,1E‐05","9,4E‐05","1,8E‐04","5,7E‐04","2,2E‐03","8,2E‐04","1,5E‐04"
Mineral,Bioreactor,C,2,"2,4E‐04","7,5E‐05","6,9E‐04","1,1E‐04","2,5E‐04","4,3E‐04","1,4E‐04","9,7E‐05","1,3E‐04","2,4E‐03","6,4E‐06","8,4E‐05","1,8E‐05","3,1E‐04","9,5E‐05","2,1E‐04","3,3E‐05","3,5E‐06","9,7E‐05","1,7E‐05","3,8E‐06","8,2E‐05","1,1E‐05","3,6E‐05","3,0E‐05","1,2E‐03","1,1E‐04","2,4E‐06","1,5E‐03","2,9E‐05","3,0E‐04","6,1E‐05","2,6E‐04","2,7E‐05","2,9E‐04","1,5E‐04","8,5E‐06","2,0E‐04","1,1E‐04","3,0E‐04","1,2E‐03","1,4E‐05","8,6E‐04","5,0E‐05","4,8E‐06","1,4E‐04","5,5E‐05","9,0E‐05","4,4E‐05","1,5E‐04","5,5E‐05","1,8E‐04","1,7E‐04","2,2E‐05","9,4E‐05","1,8E‐04","8,1E‐04","2,3E‐03","9,9E‐04","1,3E‐04"
