,reactionID,stoichiometry,reversible,protein_complexes,protein_monomers,monomer_counts,genes
0,ISOCIT-CLEAV-RXN,"{'THREO-DS-ISO-CITRATE': -1, 'GLYOX': 1, 'SUC': 1}",True,['ISOCIT-LYASE'],['ISOCIT-LYASE-MONOMER'],[4],['EG10022']
1,MALSYN-RXN,"{'ACETYL-COA': -1, 'WATER': -1, 'GLYOX': -1, 'PROTON': 1, 'MAL': 1, 'CO-A': 1}",False,"['MALSYNG-MONOMER', 'MALATE-SYNTHASE']",[],[],"['EG20080', 'EG10023']"
2,TRANS-RXN-360,"{'Gentamycins': [-1, 1], 'PROTON': [-1, 1]}",False,['CPLX0-3932'],"['CPLX0-7964', 'ACRD-MONOMER', 'EG11703-MONOMER']","[1, 3, 6]","['EG11009', 'EG10014', 'EG11703']"
3,TRANS-RXN-352,"{'DEOXYCHOLATE': [-1, 1], 'PROTON': [-1, 1]}",False,"['CPLX0-2141', 'TRANS-CPLX-204', 'TRANS-CPLX-202']","['CPLX0-7964', 'EG10266-MONOMER', 'ACRF-MONOMER', 'CPLX0-7964', 'EG12240-MONOMER', 'YHIV-MONOMER', 'CPLX0-7964', 'B2076-MONOMER', 'B2075-MONOMER', 'MDTA']","[1, 6, 3, 1, 1, 1, 1, 1, 2, 1]","['EG11009', 'EG10266', 'EG10267', 'EG11009', 'EG12240', 'EG12241', 'EG11009', 'G7115', 'G7114', 'G7113']"
4,TRANS-RXN-367,"{'Erythromycins': [-1, 1], 'PROTON': [-1, 1]}",False,"['CPLX0-2141', 'TRANS-CPLX-204']","['CPLX0-7964', 'EG10266-MONOMER', 'ACRF-MONOMER', 'CPLX0-7964', 'EG12240-MONOMER', 'YHIV-MONOMER']","[1, 6, 3, 1, 1, 1]","['EG11009', 'EG10266', 'EG10267', 'EG11009', 'EG12240', 'EG12241']"
5,TRANS-RXN-354,"{'CPD-21070': [-1, 1], 'PROTON': [-1, 1]}",False,"['CPLX0-2141', 'TRANS-CPLX-201']","['CPLX0-7964', 'EG10266-MONOMER', 'ACRF-MONOMER', 'CPLX0-7964', 'EG11703-MONOMER', 'ACRB-MONOMER']","[1, 6, 3, 1, 6, 3]","['EG11009', 'EG10266', 'EG10267', 'EG11009', 'EG11703', 'EG11704']"
6,TRANS-RXN-355,"{'CPD-9288': [-1, 1], 'PROTON': [-1, 1]}",False,"['CPLX0-2141', 'TRANS-CPLX-201']","['CPLX0-7964', 'EG10266-MONOMER', 'ACRF-MONOMER', 'CPLX0-7964', 'EG11703-MONOMER', 'ACRB-MONOMER']","[1, 6, 3, 1, 6, 3]","['EG11009', 'EG10266', 'EG10267', 'EG11009', 'EG11703', 'EG11704']"
7,RXN0-1981,"{'ACET': [-1, 1], 'NA+': [-1, 1]}",True,['CPLX0-7955'],['YJCG-MONOMER'],[2],['EG11942']
8,RXN0-5111,"{'GLYCOLLATE': [-1, 1], 'NA+': [-1, 1]}",True,['CPLX0-7955'],['YJCG-MONOMER'],[2],['EG11942']
9,TRANS-RXN0-576,"{'CPD-4544': [-1, 1], 'NA+': [-1, 1]}",True,['CPLX0-7955'],['YJCG-MONOMER'],[2],['EG11942']
