Time (s)  Dry mass     Dry mass      Protein          RNA    Small mol     Expected
              (fg)  fold change  fold change  fold change  fold change  fold change
========  ========  ===========  ===========  ===========  ===========  ===========
    0.00    351.18        1.000        1.000        1.000        1.000        1.000
    2.00    351.15        1.000        1.001        1.001        0.999        1.001
    4.00    351.26        1.000        1.001        1.001        0.999        1.001
    6.00    351.37        1.001        1.002        1.002        0.999        1.002
    8.00    351.50        1.001        1.002        1.002        0.999        1.002
   10.00    351.64        1.001        1.003        1.003        0.999        1.003
   12.00    351.79        1.002        1.003        1.003        0.999        1.003
   14.00    351.94        1.002        1.004        1.004        0.999        1.004
   16.00    352.09        1.003        1.004        1.004        1.000        1.004
   18.00    352.24        1.003        1.005        1.005        1.000        1.005
   20.00    352.39        1.003        1.005        1.005        1.000        1.005
   22.00    352.56        1.004        1.006        1.006        1.001        1.006
   24.00    352.72        1.004        1.006        1.006        1.001        1.006
   26.00    352.89        1.005        1.007        1.007        1.001        1.007
   28.00    353.06        1.005        1.007        1.007        1.002        1.007
   30.00    353.23        1.006        1.008        1.008        1.002        1.008
   32.00    353.39        1.006        1.008        1.008        1.003        1.008
   34.00    353.56        1.007        1.009        1.009        1.003        1.009
   36.00    353.74        1.007        1.009        1.009        1.004        1.009
   38.00    353.92        1.008        1.010        1.010        1.004        1.010
   40.00    354.10        1.008        1.010        1.011        1.004        1.011
   42.00    354.27        1.009        1.011        1.011        1.005        1.011
   44.00    354.45        1.009        1.012        1.012        1.005        1.012
   46.00    354.63        1.010        1.012        1.012        1.006        1.012
   48.00    354.81        1.010        1.013        1.013        1.006        1.013
   50.00    354.99        1.011        1.013        1.014        1.007        1.013
   52.00    355.17        1.011        1.014        1.014        1.007        1.014
   54.00    355.35        1.012        1.014        1.015        1.008        1.014
   56.00    355.53        1.012        1.015        1.015        1.008        1.015
   58.00    355.71        1.013        1.015        1.016        1.009        1.015
   60.00    355.88        1.013        1.016        1.016        1.009        1.016
   62.00    356.06        1.014        1.016        1.017        1.010        1.016
   64.00    356.24        1.014        1.017        1.018        1.010        1.017
   66.00    356.42        1.015        1.017        1.018        1.011        1.017
   68.00    356.60        1.015        1.018        1.019        1.011        1.018
   70.00    356.78        1.016        1.018        1.019        1.012        1.019
   72.00    356.96        1.016        1.019        1.020        1.012        1.019
   74.00    357.14        1.017        1.019        1.021        1.013        1.020
   76.00    357.32        1.017        1.020        1.021        1.013        1.020
   78.00    357.50        1.018        1.020        1.022        1.014        1.021
   80.00    357.68        1.018        1.021        1.022        1.014        1.021
   82.00    357.86        1.019        1.021        1.023        1.015        1.022
   84.00    358.03        1.020        1.022        1.023        1.015        1.022
   86.00    358.21        1.020        1.022        1.024        1.016        1.023
   88.00    358.39        1.021        1.023        1.024        1.016        1.023
   90.00    358.57        1.021        1.023        1.025        1.017        1.024
