gene_id	tpm_mean
EG10001	81.3633333333
EG10002	213.696666667
EG10003	37.3333333333
EG10004	110.883333333
EG10006	12.14
EG10007	24.13
EG10008	10.9866666667
EG10010	1.86666666667
EG10011	76.2633333333
EG10012	72.75
EG10013	32.5733333333
EG10014	4.86666666667
EG10015	254.086666667
EG10016	2.71666666667
EG10017	260.41
EG10018	34.94
EG10020	215.723333333
EG10021	140.9
EG10022	250.453333333
EG10023	221.44
EG10024	2404.18
EG10025	1824.36
EG10026	43.4766666667
EG10027	1023.19
EG10028	81.9166666667
EG10029	15.4133333333
EG10030	48.4933333333
EG10031	1992.64666667
EG10032	706.213333333
EG10033	18.29
EG10034	457.566666667
EG10035	27.2533333333
EG10036	5.82
EG10037	4.91666666667
EG10039	192.836666667
EG10040	20.19
EG10041	125.09
EG10042	44.62
EG10043	79.45
EG10044	151.35
EG10045	76.92
EG10046	48.4733333333
EG10047	196.34
EG10048	41.6533333333
EG10049	7.65
EG10050	14.7133333333
EG10051	196.27
EG10052	3.52333333333
EG10053	1.70333333333
EG10054	18.0733333333
EG10055	1.82
EG10056	8.19666666667
EG10057	4.09333333333
EG10058	10.4433333333
EG10059	10.7433333333
EG10060	10.9133333333
EG10061	633.503333333
EG10062	103.32
EG10063	10.33
EG10064	21.8666666667
EG10065	11.5433333333
EG10066	17.1833333333
EG10067	15.58
EG10068	46.93
EG10069	7.58666666667
EG10070	122.14
EG10071	80.6933333333
EG10072	38.9733333333
EG10073	175.203333333
EG10074	193.26
EG10075	185.846666667
EG10076	36.7566666667
EG10077	39.7933333333
EG10078	31.8066666667
EG10079	447.556666667
EG10080	52.1566666667
EG10081	250.186666667
EG10082	166.83
EG10083	16.79
EG10084	54.92
EG10085	9.09333333333
EG10086	6.94666666667
EG10087	12.5533333333
EG10088	665.24
EG10089	4.18333333333
EG10090	1.49
EG10091	492.756666667
EG10092	300.356666667
EG10093	26.9133333333
EG10094	355.696666667
EG10095	786.326666667
EG10096	469.383333333
EG10097	192.243333333
EG10098	1936.62
EG10099	582.543333333
EG10100	1310.42333333
EG10101	1589.95666667
EG10102	2319.05
EG10103	2001.94666667
EG10104	1973.66333333
EG10105	841.846666667
EG10106	268.486666667
EG10107	204.226666667
EG10108	839.973333333
EG10109	29.4266666667
EG10110	34.6466666667
EG10111	79.2533333333
EG10112	11.6833333333
EG10113	170.97
EG10114	3.24
EG10115	27.6833333333
EG10116	0.37
EG10117	80.1033333333
EG10118	180.6
EG10119	66.6966666667
EG10120	106.833333333
EG10121	78.06
EG10122	32.9
EG10123	43.21
EG10124	36.57
EG10125	181.063333333
EG10126	112.583333333
EG10127	26.38
EG10128	45.9533333333
EG10129	54.6766666667
EG10130	61.13
EG10131	3.45333333333
EG10132	1.12333333333
EG10133	15.1066666667
EG10134	578.23
EG10135	1051.99
EG10136	72.51
EG10137	37.0766666667
EG10138	28.1766666667
EG10139	82.2833333333
EG10140	29.71
EG10141	2.49
EG10142	15.0266666667
EG10143	15.24
EG10144	4.03333333333
EG10145	4.25
EG10146	515.01
EG10147	129.513333333
EG10148	231.426666667
EG10149	1183.03333333
EG10150	1075.17666667
EG10151	495.043333333
EG10152	116.786666667
EG10153	61.2666666667
EG10154	77.2233333333
EG10155	2115.09
EG10156	361.893333333
EG10157	153.443333333
EG10158	588.943333333
EG10159	485.796666667
