gene_id	tpm_mean	tpm_std
EG10001	58.6866666667	6.4847693354
EG10002	115.996666667	17.5681141086
EG10003	48.1066666667	7.57823418306
EG10004	133.0	28.1621252749
EG10006	1.55333333333	0.161967074843
EG10007	72.05	5.62533554555
EG10008	4.09	1.86515414913
EG10010	2.10666666667	0.92872672694
EG10011	80.1733333333	7.92732195217
EG10012	66.55	3.94097703622
EG10013	50.0133333333	2.93002275304
EG10014	5.27333333333	0.292973263854
EG10015	206.22	22.8900677151
EG10016	2.6	0.285832118559
EG10017	252.546666667	7.88114416397
EG10018	38.63	5.57325757524
EG10020	215.666666667	51.303056764
EG10021	95.1033333333	23.2066290817
EG10022	1603.62	260.594474232
EG10023	1516.11666667	217.629564704
EG10024	875.196666667	99.0469122857
EG10025	600.183333333	99.7553819768
EG10026	211.526666667	13.2612002976
EG10027	270.356666667	54.6389168389
EG10028	37.8666666667	3.12810379197
EG10029	15.4566666667	1.75525876535
EG10030	36.8966666667	7.40156965335
EG10031	852.036666667	275.972890214
EG10032	722.493333333	41.7660164887
EG10033	40.4333333333	14.0632653866
EG10034	454.813333333	40.3480387793
EG10035	220.816666667	101.516158976
EG10036	32.6966666667	6.92404746758
EG10037	7.76	2.10409125277
EG10039	287.38	120.190681419
EG10040	19.6233333333	2.80093436791
EG10041	60.55	33.7100296648
EG10042	39.2466666667	14.0119460937
EG10043	66.32	13.4396019286
EG10044	498.883333333	228.692021141
EG10045	119.103333333	15.8188189614
EG10046	7.34	1.05740247777
EG10047	197.323333333	25.465330026
EG10048	53.1733333333	6.06017601505
EG10049	10.7266666667	2.01505169495
EG10050	10.5666666667	4.1763780161
EG10051	314.363333333	25.4495605725
EG10052	3.79666666667	0.312143129563
EG10053	1.84333333333	0.405010287935
EG10054	28.1466666667	6.30755367265
EG10055	1.23	0.62449979984
EG10056	10.5766666667	1.78911523758
EG10057	5.49333333333	0.630661028868
EG10058	13.06	4.65152663112
EG10059	23.1933333333	13.3608432868
EG10060	11.3833333333	1.97241814363
EG10061	660.793333333	64.7124920965
EG10062	51.3566666667	15.9792406995
EG10063	170.473333333	119.960311076
EG10064	186.683333333	101.453514643
EG10065	151.346666667	109.153865865
EG10066	145.65	56.401478704
EG10067	220.03	153.44097269
EG10068	427.863333333	206.97768052
EG10069	141.38	80.9003609386
EG10070	197.376666667	36.1596603045
EG10071	144.3	11.0674116215
EG10072	259.503333333	27.7100096235
EG10073	552.903333333	179.798359651
EG10074	276.883333333	13.0226968533
EG10075	269.993333333	26.6591528998
EG10076	75.3033333333	20.9634928705
EG10077	42.2233333333	13.6010747124
EG10078	1076.65666667	710.548743531
EG10079	1087.80666667	166.070939461
EG10080	206.76	27.8777402241
EG10081	403.69	38.4235331535
EG10082	437.023333333	155.099720932
EG10083	40.74	1.61024842804
EG10084	472.926666667	45.2175644339
EG10085	8.22666666667	2.1261545883
EG10086	6.85666666667	0.423359579239
EG10087	15.6666666667	6.62551381655
EG10088	1259.62	236.851762712
EG10089	4.56	0.622655603042
EG10090	2.55666666667	0.583980593285
EG10091	51.1833333333	18.2061537216
EG10092	150.353333333	38.2226638702
EG10093	19.3266666667	4.10690069679
EG10094	706.336666667	35.7339479114
EG10095	46.29	5.36181872129
EG10096	1120.4	239.970630703
EG10097	241.27	24.6257243548
EG10098	1935.18333333	327.385329899
EG10099	875.71	94.3569536388
EG10100	1187.99	353.175500849
EG10101	1399.91666667	433.589040721
EG10102	2564.33	224.104879688
EG10103	2147.32666667	159.756046625
EG10104	1736.61666667	110.450040441
EG10105	1002.32333333	334.054350718
EG10106	511.47	130.87281001
EG10107	314.95	39.7539293655
EG10108	1324.88666667	364.450572277
EG10109	24.76	3.4446915682
EG10110	44.1733333333	7.62147842176
EG10111	97.5766666667	23.6833218391
EG10112	21.2666666667	3.45563790541
EG10113	128.74	50.9924121806
EG10114	1.59666666667	0.675746500793
EG10115	26.4066666667	0.917405762644
EG10116	0.55	0.232594066992
EG10117	92.18	46.6568783782
EG10118	172.3	143.446794666
EG10119	66.31	27.603680914
EG10120	98.5	50.2974402927
EG10121	84.0433333333	41.1136915557
EG10122	27.59	1.57343573113
EG10123	42.2933333333	13.1994103404
EG10124	44.4666666667	8.73353498495
EG10125	292.183333333	94.6689127081
EG10126	100.57	35.9942675992
EG10127	23.2833333333	2.38214888983
EG10128	81.81	11.8251807597
EG10129	81.8833333333	15.9670953318
EG10130	62.6233333333	17.0689113107
EG10131	3.15333333333	0.832005608955
EG10132	1.04	0.165227116419
EG10133	4.88666666667	1.74052674019
EG10134	658.756666667	235.83098192
EG10135	462.046666667	178.758474018
EG10136	79.4333333333	9.52009628803
EG10137	21.9033333333	5.51126422278
EG10138	25.4066666667	5.11992512966
EG10139	117.103333333	2.71525934918
EG10140	27.4833333333	9.62283915138
EG10141	3.43666666667	1.29136878286
EG10142	12.02	7.03145077491
EG10143	10.93	5.33978463985
EG10144	5.07	1.76771038352
EG10145	6.26666666667	2.93302460497
EG10146	790.913333333	139.450582764
EG10147	177.46	51.5474742349
EG10148	379.05	46.5002333327
EG10149	1621.66666667	354.699295789
EG10150	1255.48666667	694.986874576
EG10151	635.546666667	125.687923976
EG10152	79.5833333333	3.00806139122
EG10153	45.0866666667	5.66259069096
EG10154	52.92	6.42021027693
EG10155	3279.29666667	485.814446711
EG10156	507.866666667	146.781011147
EG10157	142.333333333	34.803684192
EG10158	456.533333333	81.0543461718
EG10159	490.11	57.0069951848
EG10160	41.7366666667	11.5521441011
EG10161	1.92666666667	0.341955162753
EG10162	3.45	0.697423830967
EG10163	91.8733333333	17.2319886645
EG10164	968.303333333	178.017437442
EG10165	2087.80333333	27.1022957207
EG10166	3581.12666667	187.636055792
EG10167	80.3233333333	12.3339139503
EG10168	83.4166666667	15.720067854
EG10169	280.856666667	90.501806796
EG10170	289.453333333	46.9163578439
EG10172	148.96	41.214953597
EG10173	111.826666667	6.07486899722
EG10174	133.206666667	7.6400021815
EG10175	9.19	2.67663968438
EG10176	6.92666666667	1.3700121654
EG10177	2.85	0.381575680567
EG10178	1514.73666667	129.092564206
EG10179	798.316666667	120.141549987
EG10180	679.816666667	89.8688813402
EG10181	473.943333333	67.6415769578
EG10182	398.303333333	51.230776232
EG10183	292.063333333	78.8030877145
EG10184	172.656666667	27.992744298
EG10185	108.893333333	17.9164989139
EG10186	531.293333333	100.671368488
EG10187	132.176666667	18.3603522116
EG10188	44.2133333333	3.93339971695
EG10189	327.99	108.902598224
EG10190	298.433333333	109.016265453
EG10191	286.436666667	116.495509499
EG10192	2691.31333333	483.417340435
EG10193	230.876666667	11.699770653
EG10194	357.74	65.431797316
EG10195	253.303333333	66.22096672
EG10196	133.466666667	6.73145105704
EG10197	104.076666667	33.6942982318
EG10198	209.663333333	68.0929910735
EG10200	69.6966666667	11.757152433
EG10201	188.1	3.89835862896
EG10202	45.8766666667	3.90947993131
EG10203	78.46	15.4752932121
EG10204	113.706666667	2.66395070024
EG10205	660.466666667	63.8729875091
EG10206	170.303333333	25.0382873482
EG10207	812.056666667	187.610074712
EG10208	68.5666666667	11.5010274903
EG10209	80.4366666667	16.7537289382
EG10210	18.65	2.3333238095
EG10211	58.5	4.71157086331
EG10212	104.49	44.694463863
EG10213	59.96	1.996697273
EG10214	156.68	15.4742721961
EG10215	193.69	50.5901502271
EG10216	66.9866666667	23.2306141403
EG10217	526.343333333	29.2531747565
EG10218	91.5133333333	7.01191367127
EG10219	40.9266666667	6.88070732798
EG10220	154.893333333	17.0285182366
EG10221	41.7033333333	9.47637237203
EG10222	455.146666667	41.8240556777
EG10223	79.7966666667	10.1308752501
EG10224	80.6	3.88235753119
EG10225	37.16	11.0411548309
EG10226	366.793333333	164.741989284
EG10227	1.82	0.814309523461
EG10228	1.76333333333	1.22972896743
EG10229	38.5633333333	2.12297746887
EG10230	713.073333333	15.1820036008
EG10231	194.766666667	61.2965132233
EG10232	2.83	0.452106182218
EG10233	4.33	0.464865571967
EG10234	5.90333333333	0.613297100379
EG10235	141.47	11.1510358263
EG10236	134.85	6.74157993352
EG10237	37.9966666667	1.41001182028
EG10238	80.9733333333	6.41767351408
EG10239	156.72	21.8084822947
EG10240	170.626666667	38.4089655332
EG10241	867.816666667	179.211125306
EG10242	140.873333333	8.70867575084
EG10243	99.2833333333	5.27387270735
EG10244	46.3133333333	7.81684292623
EG10245	93.22	10.0461982859
EG10246	451.713333333	76.0946386635
EG10247	140.363333333	49.1708412917
EG10248	1845.24	606.427983606
EG10249	16.1533333333	4.90377745553
EG10250	4.1	1.93465759244
EG10251	200.32	37.3812733866
EG10252	2.1	0.0360555127546
EG10253	1.08333333333	0.587990929635
EG10254	25.4966666667	6.62050098809
EG10255	16.4466666667	6.45797439863
EG10256	156.786666667	33.0550470176
EG10257	39.18	9.40984059376
EG10258	2301.24666667	60.9901093074
EG10259	577.173333333	78.3337438996
EG10260	791.353333333	124.452655389
EG10261	909.276666667	33.2366760271
EG10262	180.466666667	37.2766794837
EG10263	732.006666667	91.5028416681
EG10264	710.533333333	128.309725404
EG10265	833.263333333	75.4073274512
EG10266	1.59333333333	0.25383721818
EG10267	4.16	1.15052162083
EG10268	7.03	5.49104725895
EG10269	48.4966666667	0.780790198026
EG10270	260.876666667	13.0103702228
EG10271	1342.53666667	126.704244733
EG10272	1404.73	275.671400765
EG10273	723.656666667	201.926155149
EG10274	400.52	99.0142903828
EG10275	1061.92333333	211.009951503
EG10276	547.83	70.3275145302
EG10277	286.74	19.1461849986
EG10278	12.9766666667	2.25690791423
EG10279	15.63	2.47755928284
EG10280	82.2866666667	15.1524299481
EG10281	92.7733333333	11.7445490903
EG10282	1505.41666667	176.071924603
EG10283	208.823333333	9.72731377788
EG10284	81.8133333333	7.03990293494
EG10285	12.79	2.07636701958
EG10286	94.57	23.1703172184
EG10287	60.1766666667	6.06734153755
EG10288	27.9033333333	3.50651298776
EG10289	14.89	2.7108854642
EG10290	53.87	9.36574076088
EG10291	1121.15333333	213.547570657
EG10292	308.61	46.073809263
EG10293	1495.84666667	285.047535743
EG10294	205.786666667	18.9180028897
EG10295	108.516666667	7.9535673338
EG10296	62.1366666667	11.6150434064
EG10297	11.74	0.338673884438
EG10298	49.3733333333	14.679204111
EG10299	440.783333333	155.252648716
EG10300	170.77	10.887823474
EG10301	8.38666666667	2.29530680593
EG10302	424.203333333	39.8962283096
EG10303	34.63	10.5780858382
EG10304	82.6366666667	22.0771382505
EG10305	88.7166666667	12.6325545055
EG10306	371.64	133.22027661
EG10307	34.2733333333	26.0027081923
EG10308	2281.24	324.560541502
EG10309	86.07	21.6742496987
EG10310	138.81	55.3113695365
EG10311	44.1666666667	14.1798178174
EG10312	6.0	1.40342438343
EG10313	37.1866666667	9.75633298598
EG10314	42.97	13.1537713223
EG10315	42.4266666667	9.23488133835
EG10316	763.386666667	45.1443300242
EG10317	1196.87	273.145846939
EG10318	522.846666667	114.439464056
