gene_id	tpm_mean	tpm_std
EG10001	81.3633333333	8.18189057207
EG10002	213.696666667	105.329360263
EG10003	37.3333333333	3.25785716896
EG10004	110.883333333	34.0507405695
EG10006	12.14	5.9812289707
EG10007	24.13	7.14655861237
EG10008	10.9866666667	2.54900634235
EG10010	1.86666666667	0.425715084691
EG10011	76.2633333333	6.21905405454
EG10012	72.75	5.40419281669
EG10013	32.5733333333	0.546015872785
EG10014	4.86666666667	0.300055550412
EG10015	254.086666667	40.0456393798
EG10016	2.71666666667	0.560119034968
EG10017	260.41	7.31182603732
EG10018	34.94	5.17898638732
EG10020	215.723333333	18.0407326163
EG10021	140.9	8.66871962864
EG10022	250.453333333	54.6189576368
EG10023	221.44	48.3901518906
EG10024	2404.18	126.627035423
EG10025	1824.36	141.02795893
EG10026	43.4766666667	8.07289497847
EG10027	1023.19	35.4211561076
EG10028	81.9166666667	15.30607178
EG10029	15.4133333333	1.87502888867
EG10030	48.4933333333	19.6988231459
EG10031	1992.64666667	174.390573235
EG10032	706.213333333	267.876119565
EG10033	18.29	2.01129311638
EG10034	457.566666667	31.3445885813
EG10035	27.2533333333	9.93845729142
EG10036	5.82	0.202237484162
EG10037	4.91666666667	4.26009780795
EG10039	192.836666667	71.257098126
EG10040	20.19	4.50434234933
EG10041	125.09	63.9342287042
EG10042	44.62	11.1874438546
EG10043	79.45	12.2055438224
EG10044	151.35	12.4597311367
EG10045	76.92	34.2628603593
EG10046	48.4733333333	31.4378280632
EG10047	196.34	41.0385538244
EG10048	41.6533333333	9.03884026484
EG10049	7.65	1.06663020771
EG10050	14.7133333333	0.0450924975282
EG10051	196.27	26.5270145324
EG10052	3.52333333333	0.465761025992
EG10053	1.70333333333	0.414045086112
EG10054	18.0733333333	7.40568250287
EG10055	1.82	0.544426303553
EG10056	8.19666666667	2.47778799201
EG10057	4.09333333333	0.850960241923
EG10058	10.4433333333	0.373139830805
EG10059	10.7433333333	1.46827563262
EG10060	10.9133333333	0.626843946556
EG10061	633.503333333	79.0764670008
EG10062	103.32	9.42541245782
EG10063	10.33	5.05518545654
EG10064	21.8666666667	5.51646928146
EG10065	11.5433333333	0.610764548196
EG10066	17.1833333333	4.23266267654
EG10067	15.58	1.38043471414
EG10068	46.93	2.9713801507
EG10069	7.58666666667	1.67060867151
EG10070	122.14	8.87588305466
EG10071	80.6933333333	9.07073499411
EG10072	38.9733333333	5.60200261811
EG10073	175.203333333	52.9110057864
EG10074	193.26	8.37127827754
EG10075	185.846666667	24.2400440044
EG10076	36.7566666667	8.81220933327
EG10077	39.7933333333	9.35171285559
EG10078	31.8066666667	1.87163921025
EG10079	447.556666667	16.7852445122
EG10080	52.1566666667	2.56624888375
EG10081	250.186666667	42.8009232766
EG10082	166.83	44.5612645691
EG10083	16.79	1.05697682094
EG10084	54.92	1.53098007825
EG10085	9.09333333333	0.991682072709
EG10086	6.94666666667	2.49458079311
EG10087	12.5533333333	4.53601513813
EG10088	665.24	95.523681357
EG10089	4.18333333333	0.922893998969
EG10090	1.49	1.29849913362
EG10091	492.756666667	133.55802946
EG10092	300.356666667	86.8255868586
EG10093	26.9133333333	5.45499159792
EG10094	355.696666667	74.2797861691
EG10095	786.326666667	168.002590853
EG10096	469.383333333	41.8627618933
EG10097	192.243333333	15.6026162336
EG10098	1936.62	224.253708331
EG10099	582.543333333	15.6827622992
EG10100	1310.42333333	433.812884241
EG10101	1589.95666667	549.434691873
EG10102	2319.05	217.307126206
EG10103	2001.94666667	178.505135314
EG10104	1973.66333333	310.838507964
EG10105	841.846666667	250.035442754
EG10106	268.486666667	34.7026142147
EG10107	204.226666667	23.7082988283
EG10108	839.973333333	159.97773418
EG10109	29.4266666667	1.3399378095
EG10110	34.6466666667	3.2316146635
EG10111	79.2533333333	29.4720228918
EG10112	11.6833333333	1.73379160609
EG10113	170.97	35.2884216139
EG10114	3.24	0.896046873774
EG10115	27.6833333333	4.85907741586
EG10116	0.37	0.329089653438
EG10117	80.1033333333	6.4999179482
EG10118	180.6	62.9191218947
EG10119	66.6966666667	13.1450535691
EG10120	106.833333333	23.4259478641
EG10121	78.06	4.97365057076
EG10122	32.9	12.7884987391
EG10123	43.21	7.23690541599
EG10124	36.57	1.50801193629
EG10125	181.063333333	3.05175905558
EG10126	112.583333333	36.454664082
EG10127	26.38	3.2343623792
EG10128	45.9533333333	7.08373018496
EG10129	54.6766666667	11.2434084393
EG10130	61.13	7.45678214782
EG10131	3.45333333333	0.549757522307
EG10132	1.12333333333	0.037859388972
EG10133	15.1066666667	5.83127201675
EG10134	578.23	58.5429543156
