Gene name,Fold change,id,common_name,synonyms,type,modified_forms,gene_id,monomer_ids,anticodon,coding_segments,TU_idx,bulk_ids,monomers_used,complex_ids
MicF,3.29,MICF-RNA,small regulatory RNA MicF,MicF,miscRNA,[],EG30063,[],,[],2468,[],[],[]
marA,2.99,EG11434_RNA,marA,marA,mRNA,[],EG11434,"[""PD00365""]",,[],1386,['PD00365[c]'],[],[]
soxS,2.63,EG10958_RNA,soxS,soxS,mRNA,[],EG10958,"[""PD00406""]",,[],942,['PD00406[c]'],[],[]
yhiV,2.17,EG12241_RNA,mdtF,yhiV,mRNA,[],EG12241,"[""YHIV-MONOMER""]",,[],2093,['YHIV-MONOMER[m]'],[-1],['TRANS-CPLX-204[i]']
marR,2.1,EG11435_RNA,marR,marR,mRNA,[],EG11435,"[""PD00364""]",,[],1387,['PD00364[c]'],"[-2, -2]","['CPLX0-7710[c]', 'marR-tet[c]']"
ompR,1.58,EG10672_RNA,ompR,ompR,mRNA,[],EG10672,"[""OMPR-MONOMER""]",,[],660,['OMPR-MONOMER[c]'],[-2],['CPLX0-8285[c]']
ompF,1.58,EG10671_RNA,ompF,ompF,mRNA,[],EG10671,"[""EG10671-MONOMER""]",,[],659,['EG10671-MONOMER[o]'],[-3],['CPLX0-7534[o]']
envZ,1.49,EG10269_RNA,envZ,envZ,mRNA,[],EG10269,"[""ENVZ-MONOMER""]",,[],261,['ENVZ-MONOMER[c]'],[-2],['ENVZ-CPLX[c]']
tehA,1.47,EG11883_RNA,tehA,tehA,mRNA,[],EG11883,"[""TEHA-MONOMER""]",,[],1793,['TEHA-MONOMER[i]'],[],[]
acrA,1.42,EG11703_RNA,acrA,acrA,mRNA,[],EG11703,"[""EG11703-MONOMER""]",,[],1632,['EG11703-MONOMER[p]'],"[-6, -6]","['CPLX0-3932[i]', 'TRANS-CPLX-201[m]']"
acrB,1.41,EG11704_RNA,acrB,acrB,mRNA,[],EG11704,"[""ACRB-MONOMER""]",,[],1633,['ACRB-MONOMER[m]'],[-3],['TRANS-CPLX-201[m]']
ompX,1.28,EG12117_RNA,ompX,ompX,mRNA,[],EG12117,"[""EG12117-MONOMER""]",,[],1995,['EG12117-MONOMER[o]'],[],[]
ompC,1.28,EG10670_RNA,ompC,ompC,mRNA,[],EG10670,"[""EG10670-MONOMER""]",,[],658,['EG10670-MONOMER[o]'],[-3],['CPLX0-7533[o]']
ompA,1.27,EG10669_RNA,ompA,ompA,mRNA,[],EG10669,"[""EG10669-MONOMER""]",,[],657,['EG10669-MONOMER[o]'],[],[]
acrR,1.26,EG12116_RNA,acrR,acrR,mRNA,[],EG12116,"[""EG12116-MONOMER""]",,[],1994,['EG12116-MONOMER[c]'],[],[]
mdfA,1.12,G6440_RNA,mdfA,mdfA,mRNA,[],G6440,"[""CMR-MONOMER""]",,[],3209,['CMR-MONOMER[i]'],[],[]
acrD,1.12,EG10014_RNA,acrD,acrD,mRNA,[],EG10014,"[""ACRD-MONOMER""]",,[],10,['ACRD-MONOMER[i]'],[-3],['CPLX0-3932[i]']
emrB,1.12,EG11439_RNA,emrB,emrB,mRNA,[],EG11439,"[""EMRB-MONOMER""]",,[],1391,['EMRB-MONOMER[i]'],[-1],['CPLX0-2121[i]']
rob,1.11,EG11366_RNA,rob,rob,mRNA,[],EG11366,"[""PD04418""]",,[],1323,['PD04418[c]'],[],[]
emrD,1.11,EG11693_RNA,emrD,emrD,mRNA,[],EG11693,"[""EMRD-MONOMER""]",,[],1622,['EMRD-MONOMER[i]'],[],[]
acrF,1.11,EG10267_RNA,acrF,acrF,mRNA,[],EG10267,"[""ACRF-MONOMER""]",,[],259,['ACRF-MONOMER[m]'],[-3],['CPLX0-2141[i]']
tolC,1.1,EG11009_RNA,tolC,tolC,mRNA,[],EG11009,"[""EG11009-MONOMER""]",,[],993,['EG11009-MONOMER[m]'],"[-3, -3, -3, -3, -3, -3, -3, -3, -3]","['CPLX0-2121[i]', 'CPLX0-2141[i]', 'CPLX0-2161[i]', 'CPLX0-3932[i]', 'CPLX0-7964[m]', 'TRANS-200-CPLX[m]', 'TRANS-CPLX-201[m]', 'TRANS-CPLX-202[i]', 'TRANS-CPLX-204[i]']"
acrE,0.97,EG10266_RNA,acrE,acrE,mRNA,[],EG10266,"[""EG10266-MONOMER""]",,[],258,['EG10266-MONOMER[i]'],[-6],['CPLX0-2141[i]']
marB,0.97,EG11599_RNA,marB,marB,mRNA,[],EG11599,"[""EG11599-MONOMER""]",,[],1534,['EG11599-MONOMER[p]'],[],[]
