Gene Name	Synonyms
ydcU	
rpsG	
gapC	b1416 // b1417
treB	
yibT	
rutA	ycdM
yriA	
sthA	sth // udhA
fliX	
fabB	fabC
yjaZ	htrC
ninE	
rrsB	
yqeH	
sxy	yccR
ameF	
cheZ	
fklB	ytfC
fumA	
norR	ygaA
bioD	
arnB	pmrH // yfbE
ihfA	hid // himA
yggM	
yadL	
yneK	
kbaY	yraC // kba // agaY
yphB	
yccM	
pheM	phtL
yfeN	
apt	
yfaE	
ftsI	pbpB // sep
yehQ	
pepP	
yjeV	
elfA	ycbQ
surA	
rhsD	
yggT	
rplL	
rph	
ytjB	smp
sgcE	yjhK
talB	yaaK
sgrS	ryaA
yehE	
hemH	popA // visA
pdxA	
dppF	dppE
yegU	
speD	
yafF	
pdxH	
eutN	yffY // cchB
ydcZ	
ymdG	
yraR	
ynaK	
mrdA	pbpA
tdcA	
topA	supX
rpsS	
trpB	
rnhA	cer // sin // dasF // herA // rnh // sdrA
yeeH	
grcA	yfiD
csgG	
napF	yojG
ybiT	
yhbO	
flgC	flaW
ykgH	
coaA	panK // rts // ts-9
otsA	
adiY	
insF3	tra5-2
dnaA	
mdtI	ydgE
holC	
cydC	mdrA // mdrH // surB // ycaB
yhcA	
proY	yajM
crcB	ybeI
hycC	hevC
rrfC	
yihR	squR
cysM	
yceH	
rhaM	yiiL
ycgJ	
sraA	psrA3 // t15
nuoB	
tdh	
acpT	yhhU
dcuR	yjdG
leuS	syl
fliK	flaE
3'ETS-<i>leuZ</i>	
glcE	yghL // gox // b2978
mdtU	ydgV
alaX	alaWbeta
ghxQ	b2885 // ygfR // b2884 // ygfQ
waaL	rfaL
cynR	
insH9	trs5-9 // yi52_9
fimE	hyp // pilH
ynjD	
ptsN	yhbI // rpoP
yddG	
b0538	
slt	sltY
ychF	gtp1
glpB	psi-51
rcbA	ydaC
yiiX	
oxyS	
rpmE	
ybgC	
garK	yhaD
ydaT	
rzoQ	
naRNA4	
pyrC	
b3007	
idnK	gntV
xdhC	ygeU
yjfY	
rdcB	yjcZ
ygeA	
ydhF	
pncA	nam // ydjB
phr	phrB
insAB3	
tnaA	ind // tnaR
murF	mra
corA	
glxR	glxB1 // ybbQ
lptC	yrbK
mscL	yhdC
yjcE	
flgH	flaY
mocA	ygfJ
ypeA	
cdgI	yeaI
narI	chlI
ynfE	
C0299	
yafY	
feoB	
yodB	
ravA	yieN
coaD	yicA // kdtB
ynaM	
pfkB	
yddM	
yddA	
matP	ycbG
sufD	ynhC
appC	cbdA // cyxA
cysJ	
gadF	
phnG	
idlP	
yaiA	
ygiV	
adk	dnaW // plsA
astA	ydjV
yaaU	yabE
dnaG	dnaP // parB // sdgA
nhaB	
hybE	
rssB	ychL // sprE // hnr
ytfT	
hsdS	hsp // hss // rm
mltC	yggZ
yfaX	
yeiG	
yhjV	
curA	yncB
dfp	coaBC
b1903	
creB	yjjE // ORF2
thrV	
gpt	glyD // gpp // gxu
folM	ydgB
ygbM	
gspA	yheD
yjbB	
rzpR	ydaX
leuW	feeB
ydeR	
soxS	
menF	yfbA
yfiC	trmM
dgcC	yaiC // adrA
gfcD	ymcA
mdfA	cmlA // cmr
recD	hopE
pspB	
yrbG	
metG	
hyfI	
ycdU	
ndk	
lolD	ycfV
ycaL	
eutR	yfeG
cyuA	b3109 // yhaN // b3108 // yhaM
gfcB	ymcC
insEF1	
igaA	yrfF
hcaF	yfhV // hcaA // phdC2 // digB // hcaB // hcaA2
ycaK	
yhjJ	
insF1	tra5-5
pyrB	
flgB	flbA
yncL	
argS	lov // lov-1
frlA	yhfM
appY	
fliS	
dgcI	yliF
ltaE	ltaA // ybjU
bioH	bioB
metH	
greB	
asnV	
sspA	ssp // pog
ycbF	
yjfL	
yhcE	b3217 // b4549
ppsA	pps
yiiF	
tesA	apeA // pldC
fadH	ygjL
cysB	
ymfH	
ybhL	
rsmJ	yhiQ
yciC	
rhsA	
ydcL	
lysQ	
wbbH	yefF // rfc
ybgV	
mukE	kicA // ycbA
bamA	yzzY // yzzN // ecfK // yaeT
uhpA	
glyQ	cfcA // glyS(A)
yfaS	yfaR // b2228 // b2227
moeA	bisB // chlE // narE
metY	
ygjJ	
ybeX	
ibpB	hslS // htpE
metI	metD // yaeE
emrA	
mdtM	yjiO
yagL	
argK	ygfD
yhaI	
pmrD	
intD	int
hyfF	
ydhR	
kdsC	yrbJ // yrbI
tfaS	yfdJ
mhpE	
glrK	yfhZ // yfhK // qseE
lpp	mlpA
yqgA	
wzb	
yibY	
sanA	sfiXSt // yeiF
glxK	glxB5 // ybbZ
yahJ	
elbB	yzzB // elb2 // s27a // yhbL
