"rank_range"	"range"	"rank_ci_95"	"ci_95"	"rank_iqr"	"iqr"	"rank_best_95"	"best_95"
"yojI"	3.1829599999999996	"yejH"	0.6673201403942625	"rrlG"	0.12340000000000018	"rrlG"	0.25659999999999883
"ygeR"	3.2037900000000006	"yfgD"	0.6865952770246075	"rrsH"	0.15220000000000056	"rrsH"	1.0897000000000006
"ybjK"	3.3309499999999996	"degQ"	0.6920568982029274	"rrfH"	0.2853999999999992	"yqhC"	1.286509500000001
"uvrC"	3.33819	"yeaN"	0.6974542023836636	"yegV"	0.34079000000000015	"ypdC"	1.3753839999999986
"yeaN"	3.3388100000000005	"helD"	0.7031650361121213	"norR"	0.3408224999999998	"rrfH"	1.3796999999999997
"dsbC"	3.38865	"ulaD"	0.7166458583299457	"hycH"	0.34323499999999996	"rrsG"	1.3796999999999997
"cmoB"	3.40855	"nudL"	0.7166527022254934	"helD"	0.3442450000000008	"yejH"	1.3964149999999975
"yejA"	3.409080000000001	"csdL"	0.7211340171659912	"yfgD"	0.354852499999998	"degQ"	1.3992954999999991
"ybaK"	3.4181599999999994	"yqhC"	0.7259550966702022	"malZ"	0.35544000000000153	"nudL"	1.416068000000001
"murJ"	3.4571700000000005	"tag"	0.7272090814235286	"yejH"	0.35948000000000135	"csdL"	1.4203804999999967
"pncA"	3.4761699999999998	"yhdP"	0.7299185749537908	"ulaD"	0.3691300000000002	"helD"	1.4339127499999993
"folB"	3.4883500000000005	"yqiB"	0.7309795788159633	"yfiE"	0.3692475000000002	"yfgD"	1.4387167499999975
"thiL"	3.513489999999999	"djlA"	0.7309864624274954	"ecoZ"	0.37087000000000003	"epmB"	1.4539869999999997
"yiaC"	3.5137199999999993	"ybjK"	0.7311885602394773	"gfcD"	0.37251499999999993	"yfbR"	1.454775999999999
"rcsC"	3.51626	"epmB"	0.7384070887620382	"gudD"	0.37496250000000053	"yhdP"	1.462829000000001
"cca"	3.517429999999999	"ybaV"	0.7396167380912697	"ygaP"	0.38135999999999903	"yeaN"	1.4647844999999995
"yhfK"	3.5475600000000007	"norR"	0.7411268301042709	"ypdC"	0.38357500000000044	"ybaV"	1.4659154999999995
"nudL"	3.5505900000000006	"ypdC"	0.7413192142378545	"degQ"	0.38358000000000025	"tag"	1.4661867500000003
"rffA"	3.56384	"yfbR"	0.7479457137304084	"yfbR"	0.38392999999999944	"mdtC"	1.4669517499999998
