"genes_rank_std"	"std_rank_std"	"ll_rank_std"	"genes_rank_ll"	"std_rank_ll"	"ll_rank_ll"
"yejH"	0.3404694593848278	-3118.826895983873	"rnpB"	0.8389063107484046	-3118.8268959838174
"yfgD"	0.3503037127676569	-3118.8268959838697	"rrlG"	0.6869310192746102	-3118.8268959838347
"degQ"	0.35309025418516704	-3118.8268959838733	"rrsG"	0.9357502076118451	-3118.826895983841
"yeaN"	0.3558439808079917	-3118.8268959838742	"rpsD"	0.9713416453998287	-3118.826895983851
"helD"	0.3587576714857762	-3118.826895983867	"rrfH"	0.6854622312811505	-3118.8268959838524
"ulaD"	0.3656356420050743	-3118.8268959838692	"yahL"	0.9597517103633992	-3118.8268959838524
"nudL"	0.36563913378851703	-3118.8268959838656	"rfbX"	1.610936621493558	-3118.826895983854
"csdL"	0.36792551896224046	-3118.826895983879	"cobT"	1.670705608603968	-3118.8268959838547
"yqhC"	0.3703852534031644	-3118.826895983875	"ampD"	0.6734556213133471	-3118.826895983855
"tag"	0.3710250415426166	-3118.826895983871	"yhfA"	0.5357647513346433	-3118.826895983855
"yhdP"	0.37240743620091366	-3118.826895983864	"araB"	1.9685665023347305	-3118.826895983855
"yqiB"	0.3729487647020221	-3118.8268959838692	"fhuC"	0.4786782506316395	-3118.8268959838556
"djlA"	0.37295227674872217	-3118.8268959838656	"insC-1"	1.3912150789277238	-3118.8268959838556
"ybjK"	0.3730553878772844	-3118.8268959838656	"ygeI"	1.0695074935271203	-3118.8268959838556
"epmB"	0.37673831059287666	-3118.826895983876	"rpmJ"	0.7181231944577693	-3118.826895983856
"ybaV"	0.37735547861799473	-3118.826895983872	"yphC"	1.5396143170713912	-3118.8268959838565
"norR"	0.37812593372666886	-3118.826895983865	"hspQ"	0.9963483869963419	-3118.8268959838565
"ypdC"	0.37822408889686454	-3118.8268959838733	"dps"	1.4831640294536874	-3118.826895983857
"yfbR"	0.38160495598490224	-3118.8268959838742	"yjhD"	0.6094145957982128	-3118.826895983857
"ccmG"	0.3833118223659808	-3118.826895983876	"lptD"	0.7490838959935919	-3118.826895983857
"pabB"	0.3840324108848185	-3118.826895983879	"yjaA"	1.0644471687269406	-3118.8268959838574
"yiaC"	0.3840973303200903	-3118.8268959838665	"dfp"	0.7225445190224891	-3118.8268959838574
"lafU"	0.38890870859490306	-3118.8268959838706	"lomR_1"	0.8918730013668611	-3118.826895983858
"proY"	0.3889420610855126	-3118.826895983866	"xisE"	1.7614986507575505	-3118.826895983858
"nei"	0.3903762264950907	-3118.8268959838765	"wcaB"	0.5700273783819539	-3118.826895983858
"mfd"	0.3912605755929692	-3118.826895983873	"dinG"	0.9878439506084251	-3118.826895983858
"parC"	0.3913918675601715	-3118.82689598387	"ymfK"	1.4692780199418707	-3118.8268959838583
"yfiE"	0.39217583056115335	-3118.826895983873	"yqjH"	0.6423422210253495	-3118.8268959838583
"mdtC"	0.39264037184592426	-3118.826895983862	"rihB"	0.8629549206263593	-3118.8268959838583
"ybaK"	0.39270012647881564	-3118.826895983867	"chaC"	0.6711493507463601	-3118.8268959838583
"queC"	0.3927933128705321	-3118.8268959838647	"phnJ"	1.5704572592625694	-3118.8268959838583
"clcA"	0.3933900077384933	-3118.82689598387	"insG"	0.7520753047034338	-3118.8268959838583
"rcsC"	0.39361392015567215	-3118.8268959838692	"secF"	0.6808446951984469	-3118.8268959838583
"lplA"	0.39454561941566435	-3118.826895983873	"folK"	0.7076737840901678	-3118.826895983859
"ygeR"	0.3958948954331585	-3118.8268959838733	"epd"	0.9430849057363702	-3118.826895983859
