"gene"	"std"	"prob_plot_r"
"lolB"	0.5224162452963024	0.9951015951426526
"ydcO"	0.44363501245985226	0.9971728535736083
"pepE"	0.6477165278040544	0.9970029866472494
"dnaN"	0.6423357569139233	0.9950800538644458
"nlpE"	0.4826734485128254	0.9985458931811168
"yegW"	0.6517774195883745	0.9952711846330237
"amn"	0.6818940393489669	0.9987163836500914
"yaiZ"	0.664115484168031	0.999772244836126
"ygiM"	0.586218315353621	0.9966348344087245
"paaI"	0.5807997883244379	0.9956581899511483
"yohK"	0.6192650977732632	0.9963525276995329
"yiaJ"	0.5218986072311933	0.9964683538218553
"mlaE"	0.6233109680736382	0.9987560500230327
"yggD"	0.5191570942229553	0.9965039538014099
"ampD"	0.6734556213133471	0.9962929830868629
"tadA"	0.4995091818373262	0.9975484924171025
"yhhY"	0.6489360414410675	0.9993731329825551
"gmhB"	0.4324385889133715	0.9973470484410215
"yrdA"	0.5556488380624116	0.999499828068166
"ligA"	0.5425141223386389	0.9969030537564275
"mdfA"	0.571331910859274	0.9990311289672928
"cmoA"	0.5922708147814796	0.9975809869792319
"bcsA"	0.6517348202421664	0.9957638809940478
"yjeT"	0.520543123751004	0.9986057651011405
"cobU"	0.546232773373372	0.9962320648039126
"yihA"	0.48353165110884727	0.9985954436608756
"rhtC"	0.5434401693687065	0.997608021624407
"ynjD"	0.5939727365461934	0.9955163951080994
"arnT"	0.5836270008035944	0.9966035957510776
"ychM"	0.619599438894707	0.9974019827434963
"ygiF"	0.3966505115310437	0.9963563006895921
"fabI"	0.6356834694874849	0.9985460317909158
"pabC"	0.521743887021782	0.9952106115079218
"ompR"	0.6174020706498519	0.9956857297868132
"gpp"	0.6401711777271406	0.9975543889289362
"yfaY"	0.506300590666673	0.9979770330512385
"psd"	0.4873542529706939	0.9982096325121242
"yiiF"	0.6830298645436479	0.9984133577304196
"ybjS"	0.5423925174933956	0.9959595627722512
"fdhE"	0.5992220920957204	0.9991017366800943
"yjjA"	0.49604929507436646	0.9950454892657954
"tehA"	0.4819348533621075	0.9983842483634894
"tamA"	0.4512182984775014	0.9960269871173404
"rffE"	0.665646392703291	0.9994572714912172
"agaR"	0.6118564540046124	0.9991214075269598
"pldA"	0.5512002613511454	0.9961313109333
"ybaL"	0.5395025598550853	0.9966730523748788
"ftsW"	0.650094155667985	0.9966465639189299
"rimI"	0.5938199581358186	0.9994330003012948
"yhdZ"	0.470804107810475	0.9976903990377082
"yigW_1"	0.5117959919380711	0.9984434231665577
"ghrA"	0.5673563136205297	0.9976195825161732
"ybaN"	0.6085398310703778	0.9996391449079769
"yjeH"	0.46463122946105584	0.9955259911577549
"dapF"	0.5864170419126894	0.9982988795826093
"yqcC"	0.4870168103213248	0.9987039942442958
"tyrP"	0.5830206217510724	0.9975664879209514
"yhbW"	0.6367273691424398	0.9973864748943525
"dnaT"	0.48798932263348965	0.9969974811315995
"iscA"	0.6616756438720824	0.9982764454785843
"glgB"	0.674450644160578	0.9992350634385184
"yhiI"	0.580940813370958	0.9995151860781102
"yrbG"	0.6864613236277058	0.9981308072915969
"cysZ"	0.6563833514766441	0.9985538634599099
"zntR"	0.5888885014599784	0.9953164831350895
"trkH"	0.42221103352621975	0.9965423529787459
"yrdB"	0.5639839007169698	0.9989947490870064
"ycbL"	0.5895680519579614	0.9973486440509018
"dapE"	0.39739771138205615	0.9973286162899957
"barA"	0.5171771781046645	0.9991035171875073
"ydhF"	0.5865497315230133	0.9992858353235845
"uspC"	0.6447245529005435	0.9974944472512229
"ytjB"	0.6066455947853594	0.9958444114448182
"ssb"	0.5730217493769185	0.9985582542312872
"ycfD"	0.4614215338411404	0.9992546163376925
"pncC"	0.4723218554060681	0.9971093034860616
"ddlA"	0.4671695622117091	0.999338262651722
"cas1"	0.5431623587810613	0.9991606979603415
"folA"	0.592439534545781	0.998412525212536
"menA"	0.4865680876327523	0.996185638030736
"ttcA"	0.6292891444280935	0.9986830094759908
"epmA"	0.5807694133640482	0.9993072890319188
"apaH"	0.621571292205136	0.9973876787256166
"rfaH"	0.5644483753568488	0.9983301707368215
"nudL"	0.36563913378851703	0.9984119371868743
"nagB"	0.6493355702662414	0.997574625780544
"nrfD"	0.5991026219242996	0.9956559863336049
"yaaJ"	0.6005430166349377	0.999295595998288
"thyA"	0.5108751633292201	0.9979065111302688
"potC"	0.6989293709141889	0.9984565266289906
"fadR"	0.44285772362386217	0.995470431675745
"alr"	0.5418065459858036	0.9978954519533318
"yfhH"	0.42886929735918966	0.9972453587132387
"frsA"	0.5357722447614579	0.9974213551898432
"yjaB"	0.44944307614560974	0.9960705238739807
"ycjY"	0.5852436650997852	0.9971347460404285
"uidR"	0.5162320398767551	0.997656725047719
"clpS"	0.6310063940737175	0.9986848073169652
"hpt"	0.5357251323666564	0.9990149677309837
"yajD"	0.5878334337330904	0.9988101014443501
"sapD"	0.6478608392368591	0.9988525547121296
"parE"	0.5543983776740649	0.9959896400554213
"yjhR"	0.6884737410607759	0.9964347362324879
"smf_2"	0.6907223559695514	0.9981158314475731
"ftsI"	0.44247161817419206	0.9966271383718002
"yeeZ"	0.6174888755044456	0.9996055970490632
"rffA"	0.49404938167995477	0.9973494723099826
"rlmI"	0.6208986143261751	0.9995973974618243
"parC"	0.3913918675601715	0.9994103145196875
"ycfS"	0.6520802040772902	0.9959937126265888
"tpiA"	0.6828568357728534	0.9960550322837379
"fecD"	0.6728266390725167	0.9987333207269793
"yghB"	0.4831277696104747	0.9979647319051362
"yebZ"	0.6304912025607882	0.997467026171455
"nagA"	0.5050736473266813	0.9975565336247868
"rihC"	0.6582276484995436	0.9982428464112695
"hisM"	0.6614001724568713	0.9990745404559552
"prmC"	0.5687306597498364	0.996425217971993
"queE"	0.6539703089038124	0.9988810784595926
"corA"	0.635882672223698	0.9990809594604905
"ftsQ"	0.5756571782690078	0.9982449805200094
"rbbA"	0.5851069307313947	0.996254713131268
"yegH"	0.6958776511376927	0.9964489121177873
"yjeM"	0.5407460098822249	0.9977510935318001
"yaeB"	0.43522242975032716	0.9962252064342944
