"genes_rank_std"	"std_rank_std"	"skew_rank_std"	"kurt_rank_std"	"genes_rank_skew"	"std_rank_skew"	"skew_rank_skew"	"kurt_rank_skew"	"genes_rank_kurt"	"std_rank_kurt"	"skew_rank_kurt"	"kurt_rank_kurt"
"yejH"	0.3404694593848278	0.2312862524078317	3.193621981999767	"rrlG"	0.6869310192746102	-14.670819034318571	227.40250384940998	"ydiP"	1.6370387822418881	0.18241172031729538	-1.622821498146051
"yfgD"	0.3503037127676569	-0.7419461885106374	5.188531668410594	"rrsH"	0.7940598661188035	-10.080529646857537	120.13480647881639	"gnsB"	2.458903250433943	0.06136497504410179	-1.6195443795941256
"degQ"	0.35309025418516704	-1.0100751436005786	5.8767193094099035	"rrfH"	0.6854622312811505	-8.371310673698314	101.41424915976803	"edd"	1.4108095438813144	-0.2053188882887913	-1.4598975739702742
"yeaN"	0.3558439808079917	0.06918108829398434	2.0239370520814406	"ssrA"	0.7694253160046114	-8.269148586219462	96.74466553391517	"yraJ"	1.6683940096171366	0.30020191511381156	-1.4160140886463437
"helD"	0.3587576714857762	-0.3041891867925454	6.329937439327679	"rrsG"	0.9357502076118451	-7.101805747791892	68.41931469390607	"sieB"	1.5707709935058598	0.3742959575357051	-1.4100477384920256
"ulaD"	0.3656356420050743	0.43431708833616695	3.76979772875396	"rnpB"	0.8389063107484046	-4.782686288625556	38.96816589800201	"yadE"	1.0740358793704847	0.2038226085922829	-1.402744066866299
"nudL"	0.36563913378851703	0.6197122949045912	3.1136111192363574	"ompA"	0.883424686650305	-3.552215922000093	18.038137408078484	"rmf"	1.9679297496970845	-0.08565377980757477	-1.3941304911434884
"csdL"	0.36792551896224046	-0.3951838226086004	5.238600591157338	"rcsB"	0.7830369276633615	-3.535142663127527	17.42315014702212	"cadC"	1.3964226572270253	0.13307252205850545	-1.3496777649036678
"yqhC"	0.3703852534031644	1.6392469556938576	13.012428297774385	"infC"	0.6400876896023436	-3.187620856536674	16.123051636495763	"yfdI"	2.2202699412998	-0.0324807453694441	-1.3484468359781394
"tag"	0.3710250415426166	-0.05853452246091208	2.3876469458766234	"fusA"	0.9771815386814037	-2.841114527736661	9.36017701231588	"ydeM"	1.697120531763116	0.4105709669336855	-1.3298552592814987
"yhdP"	0.37240743620091366	-0.05810023059815425	3.7754789239625106	"acpP"	0.5948121725212284	-2.790176439577437	13.547376654895274	"yibA"	2.2486096343596302	0.4978354415131555	-1.31841976698156
"yqiB"	0.3729487647020221	-0.2248609441384487	3.0946589993370024	"lspA"	0.9080130827486118	-2.784672694729001	9.480870669150882	"argP"	1.0998498170118256	0.1496259578787097	-1.2878535573246246
"djlA"	0.37295227674872217	0.10821259614933357	2.634536284935958	"insG"	0.7520753047034338	-2.755163318471928	9.989337330884931	"yiaN"	1.766927072649585	0.39198282557387565	-1.2869865126488054
"ybjK"	0.3730553878772844	0.38061430722487516	1.2080951624033753	"nagZ"	0.9902781945895808	-2.7348713108569194	8.979679558986948	"yjgL"	1.8344164077276581	0.5236060260051731	-1.2835412390938992
"epmB"	0.37673831059287666	-0.7991814947601362	2.537860807656024	"rplX"	1.152706869015703	-2.695432595743718	7.793186608135414	"gatB"	2.150326407184361	-0.2557162150253175	-1.242085263952075
"ybaV"	0.37735547861799473	-0.24295930391906745	3.1150803614037654	"rpsG"	0.8411841839667732	-2.672243997819383	9.704478997126127	"pgaB"	1.7934737462549915	0.5048232146461871	-1.2129161476119903
"norR"	0.37812593372666886	1.0860259825231084	7.9672714763442976	"rplN"	1.0147657502134884	-2.603111676698707	7.3685347193064	"ompF"	1.6988516038903279	-0.2831815535174345	-1.1962500435380532
"ypdC"	0.37822408889686454	0.47519032277072426	6.03736065046056	"rpsN"	1.2963457393326738	-2.582842723757457	7.092210755586592	"b3007"	1.5818905934288456	0.1437807797623909	-1.1910106342383748
"yfbR"	0.38160495598490224	0.5901619802253876	5.524952284140225	"rplE"	0.8683786974314074	-2.5426213720904087	8.121690117548662	"yceO"	1.8557282539431614	0.40400892628931107	-1.1900514144418726
"ccmG"	0.3833118223659808	0.018282580011928253	2.2160640405636354	"rpmJ"	0.7181231944577693	-2.5329472707610146	9.491877945343164	"hdeA"	1.8822001746104664	0.16281775750642552	-1.186069034359062
"pabB"	0.3840324108848185	0.236070943527328	4.135737272326476	"rplL"	0.6551652568371756	-2.4603999851200706	11.65289796444056	"pqqL"	1.417076854598398	0.31617565920597596	-1.1514329978840998
"yiaC"	0.3840973303200903	0.406371395862291	2.1125227252327274	"lpp"	0.7955908280193686	-2.424392075365371	11.3355278263208	"ynjI"	1.28308805522038	0.21505143885460062	-1.1491605397195022
"lafU"	0.38890870859490306	-0.2352740913964505	2.914448862616375	"rpsL"	0.9485378261376696	-2.416207999225028	6.508699509847368	"ynfC"	1.0885713776366646	-0.0893862251801661	-1.144865407579794
"proY"	0.3889420610855126	0.22548097916180912	1.9497996501014763	"artQ"	1.2829033151516969	-2.3951278605958217	7.430576692189922	"tnaC"	3.066835128283026	0.07010605180614299	-1.1446121935386495
"nei"	0.3903762264950907	0.16652538197401542	3.528307742896472	"lptE"	1.0007508969693613	-2.3860929373856923	6.452547121000126	"yfbO"	1.356149008699791	0.5097725178000114	-1.1377648650875285
"mfd"	0.3912605755929692	-0.3656074946499308	3.5566560853546036	"secY"	1.2087083525894697	-2.3716170015156592	6.040098824138878	"leuE"	1.4242220992085417	0.015284188321958615	-1.1320706577003223
"parC"	0.3913918675601715	-0.04573415026695826	1.6691459711357561	"rplF"	1.185675834658346	-2.3255552482839756	5.542727530077203	"murP"	1.6641767617843393	-0.5436258265221349	-1.1267889835980038
"yfiE"	0.39217583056115335	0.30526683057606485	3.8328038745533703	"rpsH"	1.1222232888691888	-2.2765252821935458	5.704443575127584	"ybcK"	1.8699205578176672	0.625173850683139	-1.1243428331357994
"mdtC"	0.39264037184592426	0.8648394197807567	4.059119592074092	"galF"	1.2163475256331464	-2.251613523790506	6.990743413874553	"yfjW"	1.4200567360597416	0.41113253194207006	-1.1217804472076254
"ybaK"	0.39270012647881564	-0.7530435015307992	2.2937091682819144	"yjjJ"	0.6874594186422159	-2.21224928330134	6.595008157756794	"yqeJ"	2.5277919583778683	0.5862574147019801	-1.1099720225125222
"queC"	0.3927933128705321	0.29725947046483836	2.306475628344021	"ogt"	0.852409302423015	-2.1985612547738924	7.718368734372197	"ygeP"	1.6757347092766757	0.48412733662951485	-1.0987444868889134
"clcA"	0.3933900077384933	-0.4341632156389982	2.3536622207916595	"tpx"	0.9142769242623972	-2.1952129166619647	12.435945871286238	"treB"	1.7447546021243796	0.5123955592525161	-1.095378997501569
"rcsC"	0.39361392015567215	-0.07495045516117727	0.8361612641033389	"ribD"	0.8392401439977174	-2.1924739883705193	5.659892814936679	"yeaG"	1.8010351415385477	0.39238449536658526	-1.0918562387745363
"lplA"	0.39454561941566435	-0.24237240852951944	3.757189587355276	"rpsK"	1.0081228165486336	-2.18334138658311	5.240599926302723	"hdeB"	2.0707102126506776	0.1222304889604826	-1.075073131108799
"ygeR"	0.3958948954331585	-0.58192253639164	1.720557785181743	"paoD"	0.6754800538355896	-2.1725758658457486	10.979310827970743	"gatA"	2.1838017999664165	-0.4844233551778461	-1.0729723928009256
"ygiF"	0.3966505115310437	-0.6960578991796194	4.477076799081421	"rpoN"	0.591601383283923	-2.1691662541635965	22.125424349146144	"fliF"	1.5926238967686441	-0.07099615774957797	-1.0579975386977627
"dapE"	0.39739771138205615	0.017893964693393077	1.6954742596637642	"abgA"	0.7351443735102039	-2.164087174917224	11.381567204672734	"dctR"	1.7225430920790372	0.46468540778116774	-1.0573431758550906
"yfcH"	0.3982498536451703	0.14723127084529958	2.203673403683399	"thrS"	1.4983867342869295	-2.1269860217367023	4.041369809270017	"yjhE"	1.397946350170791	0.40170662800176093	-1.0562492985249718
"yafJ"	0.3983302727348231	0.12060813253871804	2.7016955873047355	"yagB"	0.8282797245763162	-2.114952973028311	7.232600841722915	"yqfE"	1.079544738094656	-0.2598367751538781	-1.0455172743961028
"bacA"	0.39861587349664807	0.49780079538475935	1.384000061273146	"rplR"	1.0689992207570036	-2.1114561954231386	4.9814842359347	"gloB"	1.1023937487874447	-0.06762661356821034	-1.0194969110864955
"proC"	0.39898106809968453	-1.1645980761450812	3.2696982639861982	"pgk"	0.8519528377868703	-2.1035143144153	8.667542075582944	"casC"	1.5186140781143584	0.5541328589540317	-1.0131029177527375
"ybbM"	0.4003032433456922	0.18770498732384625	2.759937169415408	"gshA"	0.8115888091403359	-2.0775583999386655	6.782412663672595	"purL"	1.2598494916188736	0.3733151376489437	-1.00847943712444
"pgpA"	0.40334930367421623	0.36511591199248433	6.105601200300354	"uxuR"	1.3687254287310693	-2.0492419717589683	2.983117103214255	"yhhZ"	2.2697104755549398	0.6303700343172388	-1.0084273283308727
"lepB"	0.4036696717954613	-0.18771154959044248	2.275838524903591	"abgB"	0.7000926771780951	-2.045019972102548	9.414999036715493	"dnaE"	0.9910010323570362	-0.07983996511823925	-1.0068725445314615
"yjjX"	0.40495454417539684	-0.39768754736612383	2.247571889134825	"rplO"	0.7174728779645282	-2.029751893144869	5.483611639576912	"allC"	1.741149612943908	-0.5502864878160589	-1.0042344353123431
