"gene"	"num_peaks"	"peaks"	"areas"	"standard_devs"
"nhaR"	1	"[9.05]"	"[1943]"	"[0.0641]"
"yfaQ"	1	"[7.31]"	"[1943]"	"[0.0578]"
"yfaS_2"	1	"[8.42]"	"[1943]"	"[0.0395]"
"gyrA"	1	"[10.71]"	"[1943]"	"[0.0563]"
"yfaE"	1	"[9.23]"	"[1943]"	"[0.0555]"
"yfaH"	1	"[6.41]"	"[1943]"	"[0.0947]"
"exuT"	1	"[8.76]"	"[1943]"	"[0.05]"
"yfaY"	1	"[8.36]"	"[1943]"	"[0.0471]"
"yfaZ"	1	"[8.81]"	"[1943]"	"[0.0391]"
"sstT"	1	"[8.94]"	"[1943]"	"[0.0642]"
"ttdB"	1	"[8.48]"	"[1943]"	"[0.0518]"
"mtr"	1	"[8.73]"	"[1943]"	"[0.0886]"
"pmrD"	1	"[9.63]"	"[1943]"	"[0.0622]"
"folB"	1	"[9.38]"	"[1943]"	"[0.0387]"
"bacA"	1	"[9.09]"	"[1943]"	"[0.0356]"
"elaB"	1	"[9.29]"	"[1943]"	"[0.1139]"
"ribB"	1	"[10.45]"	"[1943]"	"[0.0566]"
"zupT"	1	"[9.46]"	"[1943]"	"[0.0428]"
"tolC"	1	"[10.51]"	"[1943]"	"[0.0625]"
"ecoZ"	1	"[8.97]"	"[1943]"	"[0.0336]"
"plsC"	1	"[10.05]"	"[1943]"	"[0.0334]"
"dkgA"	1	"[9.33]"	"[1943]"	"[0.0893]"
"yfbK"	1	"[7.75]"	"[1943]"	"[0.0546]"
"ygiH"	1	"[8.9]"	"[1943]"	"[0.0635]"
"yfbM"	1	"[7.94]"	"[1943]"	"[0.0657]"
"rcsC"	1	"[9.2]"	"[1943]"	"[0.03]"
"yojI"	1	"[8.79]"	"[1943]"	"[0.0437]"
"frlB"	1	"[8.42]"	"[1943]"	"[0.0463]"
"frlA"	1	"[7.09]"	"[1943]"	"[0.0873]"
"nirD"	1	"[8.79]"	"[1943]"	"[0.1076]"
"yeiP"	1	"[9.99]"	"[1943]"	"[0.0747]"
"yeiQ"	1	"[9.04]"	"[1943]"	"[0.0457]"
