"gene"	"num_peaks"	"peaks"	"areas"	"standard_devs"
"nhaR"	1	"[9.05]"	"[1812]"	"[0.0582]"
"ypdA"	1	"[8.74]"	"[1812]"	"[0.0451]"
"lldD"	1	"[9.43]"	"[1812]"	"[0.0819]"
"ypdF"	1	"[7.64]"	"[1812]"	"[0.0398]"
"mtlA"	1	"[9.65]"	"[1812]"	"[0.0566]"
"fryB"	1	"[7.85]"	"[1812]"	"[0.0492]"
"sgbH"	1	"[8.63]"	"[1812]"	"[0.0305]"
"yfeN"	1	"[8.33]"	"[1812]"	"[0.0518]"
"yiaO"	1	"[8.62]"	"[1812]"	"[0.0566]"
"yfeH"	1	"[9.43]"	"[1812]"	"[0.0516]"
"yiaK"	1	"[8.41]"	"[1812]"	"[0.0668]"
"avtA"	1	"[10.0]"	"[1812]"	"[0.0527]"
"ucpA"	1	"[10.3]"	"[1812]"	"[0.0649]"
"xylA"	1	"[8.6]"	"[1812]"	"[0.0586]"
"yfeX"	1	"[9.55]"	"[1812]"	"[0.0557]"
"glyQ"	1	"[11.04]"	"[1812]"	"[0.067]"
"glyS"	1	"[11.13]"	"[1812]"	"[0.0454]"
"ghrB"	1	"[9.93]"	"[1812]"	"[0.0484]"
"bisC"	1	"[8.84]"	"[1812]"	"[0.0427]"
"yfeY"	1	"[9.69]"	"[1812]"	"[0.039]"
"yfeZ"	1	"[9.26]"	"[1812]"	"[0.0338]"
"ypeA"	1	"[10.02]"	"[1812]"	"[0.0387]"
"eutK"	1	"[9.13]"	"[1812]"	"[0.0478]"
"dppD"	1	"[9.47]"	"[1812]"	"[0.0837]"
"dppF"	1	"[8.51]"	"[1812]"	"[0.0815]"
"dctA"	1	"[9.99]"	"[1812]"	"[0.1017]"
"yfdY"	1	"[9.57]"	"[1812]"	"[0.0713]"
"rfaD"	1	"[11.18]"	"[1812]"	"[0.0517]"
"waaF"	1	"[10.54]"	"[1812]"	"[0.062]"
"waaC"	1	"[9.87]"	"[1812]"	"[0.043]"
"usg"	1	"[9.84]"	"[1812]"	"[0.0496]"
"flk"	1	"[9.11]"	"[1812]"	"[0.041]"
"mnmC"	1	"[9.32]"	"[1812]"	"[0.0304]"
"epmC"	1	"[9.34]"	"[1812]"	"[0.0372]"
"pstA"	1	"[9.34]"	"[1812]"	"[0.0485]"
"yfcR"	1	"[7.93]"	"[1812]"	"[0.0489]"
"dgoK"	1	"[7.83]"	"[1812]"	"[0.0529]"
"yfcU"	1	"[7.42]"	"[1812]"	"[0.0619]"
"yfcV"	1	"[5.63]"	"[1812]"	"[0.1003]"
"ilvN"	1	"[8.97]"	"[1812]"	"[0.0832]"
"sixA"	1	"[9.45]"	"[1812]"	"[0.0547]"
"xanP"	1	"[8.96]"	"[1812]"	"[0.0652]"
"treF"	1	"[9.21]"	"[1812]"	"[0.0595]"
"gltS"	1	"[9.04]"	"[1812]"	"[0.0563]"
"mlaA"	1	"[9.95]"	"[1812]"	"[0.0524]"
"pyrE"	1	"[8.42]"	"[1812]"	"[0.0475]"
"yfdC"	1	"[7.89]"	"[1812]"	"[0.0509]"
"coaD"	1	"[9.65]"	"[1812]"	"[0.0408]"
"yfdG"	1	"[9.49]"	"[1812]"	"[0.0825]"
"yfdL"	1	"[6.96]"	"[1812]"	"[0.07]"
"waaP"	1	"[9.06]"	"[1812]"	"[0.088]"
"yfdN"	1	"[7.77]"	"[1812]"	"[0.0556]"
"waaJ"	1	"[9.45]"	"[1812]"	"[0.0952]"
