"genes_rank_std"	"std_rank_std"	"r_rank_std"	"genes_rank_r, ""std_rank_r"	"r_rank_r"
"yejH"	0.3404694593848278	0.9947740296301133	"yecD"	0.5644643139131919	0.9998365102668929
"yfgD"	0.3503037127676569	0.994206570584811	"mreC"	0.5247018901788095	0.9998260033196016
"degQ"	0.35309025418516704	0.9973938597292576	"glgC"	0.7230495498035552	0.9998203038408043
"yeaN"	0.3558439808079917	0.9963743706594352	"rph"	0.6767187062515944	0.9998193135084172
"helD"	0.3587576714857762	0.99219171007119	"dtd"	0.5568008619247748	0.9997819571075004
"ulaD"	0.3656356420050743	0.9939678702991069	"yaiZ"	0.664115484168031	0.999772244836126
"nudL"	0.36563913378851703	0.9984119371868743	"dnaJ"	0.6856795970522225	0.9997450371949704
"csdL"	0.36792551896224046	0.9927637973993674	"arcB"	0.7026337166919107	0.9997436410839534
"yqhC"	0.3703852534031644	0.998294458597267	"tyrB"	0.6826757949067285	0.9997389287696485
"tag"	0.3710250415426166	0.9982096170911455	"aroH"	0.6282282129222121	0.9997354289222938
"yhdP"	0.37240743620091366	0.9958458166688254	"glk"	0.5742966069685737	0.9997016049098618
"yqiB"	0.3729487647020221	0.9957914231056141	"ydfH"	0.562403737775705	0.999690639113821
"djlA"	0.37295227674872217	0.9983540788753366	"ymdC"	0.5937402717209582	0.9996902468459314
"ybjK"	0.3730553878772844	0.9982586245733506	"msrA"	0.7375642440357485	0.9996825691691416
"epmB"	0.37673831059287666	0.9960076305125952	"sthA"	0.8727238660206109	0.9996820448235988
"ybaV"	0.37735547861799473	0.9977719873484635	"mscS"	0.865216053348309	0.999667848834881
"norR"	0.37812593372666886	0.9891428640516742	"mlaD"	0.5363133023139158	0.999663682735214
"ypdC"	0.37822408889686454	0.985193526187338	"ychF"	0.6962025934826231	0.9996584723743877
"yfbR"	0.38160495598490224	0.990167250168325	"pdxK"	0.5134123787835453	0.9996543144230616
"ccmG"	0.3833118223659808	0.9929684288865239	"yccF"	0.5892918121274923	0.9996540475006984
"pabB"	0.3840324108848185	0.998013094645898	"ybaN"	0.6085398310703778	0.9996391449079769
"yiaC"	0.3840973303200903	0.9905539148571029	"pck"	0.9118114881484841	0.9996190386603515
"lafU"	0.38890870859490306	0.9950849160096901	"amiB"	0.618798919320773	0.9996135411414708
"proY"	0.3889420610855126	0.9968583738519232	"yebK"	0.6432057977924863	0.9996094191217662
"nei"	0.3903762264950907	0.9961318954553204	"lptF"	0.5986928927630507	0.9996085371891371
"mfd"	0.3912605755929692	0.9961575568553607	"yeeZ"	0.6174888755044456	0.9996055970490632
"parC"	0.3913918675601715	0.9994103145196875	"rlmI"	0.6208986143261751	0.9995973974618243
"yfiE"	0.39217583056115335	0.9912493370359516	"gstA"	0.8152269940653861	0.9995720479118496
"mdtC"	0.39264037184592426	0.9956510543310785	"sspB"	0.548548291369668	0.9995694502746649
"ybaK"	0.39270012647881564	0.9950140699547856	"rffC"	0.5195552766655315	0.9995689049579102
"queC"	0.3927933128705321	0.9967392566100077	"ycbK"	0.8362038705967274	0.999568885837384
"clcA"	0.3933900077384933	0.9978056695927452	"trmH"	0.6190426221147772	0.9995622455426452
"rcsC"	0.39361392015567215	0.996039005304284	"potB"	0.9295067084305643	0.9995525573304376
"lplA"	0.39454561941566435	0.9910153876326203	"iclR"	0.6121280125515043	0.9995385936934776
"ygeR"	0.3958948954331585	0.9955374003396691	"wzzE"	0.6394393443970413	0.9995364446363761
"ygiF"	0.3966505115310437	0.9963563006895921	"ydcP"	0.500047986967285	0.9995244051228311
"dapE"	0.39739771138205615	0.9973286162899957	"rstB"	0.5982469679509885	0.9995220063184245
"yfcH"	0.3982498536451703	0.9980749289932882	"yifK"	0.5672431893442027	0.9995165221128398
"yafJ"	0.3983302727348231	0.9922309652397434	"yhiI"	0.580940813370958	0.9995151860781102
"bacA"	0.39861587349664807	0.9973882167689875	"waaC"	0.5165335415066861	0.9995092690084003
"proC"	0.39898106809968453	0.9906585944262785	"mzrA"	0.6032200727552028	0.9995090150121029
"ybbM"	0.4003032433456922	0.9986445625919235	"ydhR"	0.8795981161901351	0.9995001238399682
"pgpA"	0.40334930367421623	0.9909346514510541	"yrdA"	0.5556488380624116	0.999499828068166
"lepB"	0.4036696717954613	0.9971201447428818	"yceM"	0.4873857083960294	0.9994978970606179
"yjjX"	0.40495454417539684	0.9943946031053955	"rdoA"	0.6124431984110923	0.9994969697839761
"yegX"	0.40624252145872014	0.9961175315117201	"yrfG"	0.5497759333018499	0.9994956567070054
"ispH"	0.4062657877274085	0.9976374005720469	"fhuF"	1.1519005234155586	0.9994808361356301
"dgkA"	0.4063764106375206	0.9965998157292845	"rstA"	0.8369906388222031	0.9994711851571315
"nudG"	0.40731074905864634	0.9939173347126053	"sseB"	0.6020360810723777	0.9994690232359352
"fieF"	0.4074511659830328	0.9971509438085681	"rffE"	0.665646392703291	0.9994572714912172
"aes"	0.4090601333360269	0.9961283071669994	"narL"	0.586365660968488	0.9994409485412824
"yeiH"	0.410455504461469	0.9937957862100982	"yfeX"	0.6377163815172158	0.999437155944986
"ecoZ"	0.41061460424408464	0.9891741443109292	"pptA"	1.074992704515986	0.9994342134841787
"yajR"	0.4114689945996337	0.9956847747853602	"yidQ"	0.6147270432628064	0.9994339631637364
"fldB"	0.4120748792473738	0.9972154334304405	"rimI"	0.5938199581358186	0.9994330003012948
