# Generated from the following BioVelo query on EcoCyc, 10:53am, November 3, 2024: html-sort-ascending(html-table-headers([(t^?frame-id, [c: c<-t^components, c isa genes]) : t<-ECOLI^^Transcription-Units, !(classp t)], ("Frame ID", "Component genes")), 2)
TU0-14229	cyaY
TU263	mobB,mobA
TU0-13329	ydfC,ydfB,ydfA
TU0-13484	yoeF
TU0-8584	yhhM
TU0-8564	ybhA
TU0-14696	rph
TU0-8712	yeaL
TU0-14349	yceH
TU0-8724	yegI
TU0-1549	pdeH
TU0-14170	yjgH
TU00069	uvrA
TU0-45179	galM,galK,galT,galE
TU0-13657	trmJ
TU0-13046	ybhB
TU0-13014	rihA
TU0-14255	rplT,rpmI
TU00425	icd
TU0-45291	tnaB,tnaA
TU0-13608	yfdE
TU0-1821	cusA,cusB,cusF,cusC
TU0-13230	racR
TU0-14094	eptC
TU0-13306	yneK
TU0-4981	nfuA,yhgH
TU0-45263	gapA
TU00456	soxR
TU00224	serA
TU00205	guaA,guaB
TU0-45158	ibsD
TU00427	rpoH
TU0-4929	asnB
TU00468	fumB,dcuB
TU0-14146	epmA
TU0-13882	yhbX
TU0-4183	waaL,waaC,waaF,rfaD
TU0-14568	hflC,hflK,hflX,hfq
TU0-8565	ybhD
TU0-42583	galK,galT,galE
TU0-36422	uxaB
TU00216	glpQ,glpT
TU0-42545	ghoT,ghoS
TU0-12854	yafP,yafO,yafN
TU0-8769	aslA
TU0-13510	yegW
TU00237	ampD,ampE
TU0-14561	hflC,hflK,hflX,hfq,miaA,mutL
TU00526	rseC,rseB,rseA
TU0-13815	yghJ
TU0-14648	yfgM
TU0-13998	yibQ,envC,gpmM
TU0-8713	nimR
TU00364	tehA,tehB
TU0-12861	perR
TU0-13337	clcB
TU0-14103	nfi,hemE,nudC
TU00263	htrE,yadV
TU0-45222	pdhR,aceE,aceF,lpd
TU00429	lysU
TU00440	rpoS,nlpD
TU0-45143	appY
TU00088	tyrP
TU0-14027	cbrC
TU0-13588	yfcG
TU0-8737	yfeR
TU0-4482	mngB,mngA
TU00180	umuD,umuC
TU0-14448	ftsK
TU0-36404	cbrC,cbrB
