Promoter Name	Absolute-Plus-1-Position
napFp2	2303577
fxsAp	4368603
setCp12	3836877
alsBp	
yhjGp	3678412
alsEp3	4308667
ydeJp	1624688
ymfDp5	1197625
ybbYp	540359
tyrBp	4267082
rnlAp2	2765894
cspHp10	1051278
ygbEp3	2873392
srkAp	4042391
insHp5	275298
idnRp	4491182
ygdDp2	2941721
rarDp1	4004227
ybdHp7	633524
yhjYp9	3712983
trmAp	4163295
sroAp	75608
cutCp2	1959267
mqsAp1	3168286
speEp	136504
ygjVp4	3241819
nagKp3	1178540
aaeRp7	3389461
stfZp1	105313
aroKp1	3519380
yahNp6	346436
purTp3	1930855
ydjXp1	1833308
yceDp2	1146791
ileSp3	22229
ybcLp7	570845
intSp	2466515
ompCp1	2312830
pfkBp1	1806351
ydcLp1	1502369
fabHp	1148516
mrpp2	2194175
yddWp6	1568852
yajDp5	430530
trpAp4	1317303
ydjOp7	1813188
gyrAp	2339457
yibBp8	3793729
mcrAp9	1210323
yggMp4	3099595
ruvCp	1947439
ybhDp5	800620
groLp2	4370873
glyQp	3725354
mntRp	853098
rrsGp1	2731448
gltPp6	4294307
maeAp3	1555742
yeaEp	1865724
iapp7	2876536
pgpBp6	1339162
yjiLp2	4564793
asnVp	2062252
ribFp	21383
yqgEp3	3092884
typAp6	4058380
crlp1	257810
yaiYp5	399460
ybeQp11	676700
ynaKp6	1425249
cirAp1	2246929
ilvLp2	3950290
ygjRp	3237282
fucRp	
mgrBp	1908792
lldPp	3777289
yecMp2	1959984
uhpTp	3847198
ydcLp4	1502345
yrfFp11	3526319
pgpBp8	1339182
ynfKp5	1667240
chiAp	3469896
rssAp	1289106
mppAp9	1393139
sbmCp1	2081325
ibpBp	3866981
srlRp	2828860
ybgSp5	785373
pspGp	4262816
fimZp3	564607
csgDp1	1103344
sbmAp	396553
zntAp	3606422
nimRp	1875600
ynfNp6	1638299
flhDp2	1978577
fiup	841648
pgkp2	3072648
yicRp	3812577
ynbAp5	1477471
mgsAp	1027041
mntPp	1905459
zraPp	4201712
murRp	2545793
yniAp5	1807775
bioAp	809292
rrfGp	
yeeFp2	2087238
argFp	290340
rspAp	1655171
arcAp4	4640599
ydeIp5	1624559
yegIp8	2150999
pflDp2	4143880
hupBp3	461332
qorAp	4264304
ybcJp3	556967
yqeCp7	3015167
ybjOp5	897947
bisCp7	3716513
sucAp	758586
pabBp7	1894628
ydjEp6	1854041
insHp6	2103049
narQp	2585577
rpoEp2a	2710087
yajRp	446687
ykgEp10	321537
sufEp3	1759481
proVp	2804563
pflDp3	4143953
ldcCp	
ycjDp4	1351866
uxaBp2	1610737
yjbEp1	4235858
yehEp1	2192909
hemAp2	1263583
treRp1	4467271
uxaCp1	3244843
yceHp2	1126081
feaRp	1447367
yccSp3	1023976
dxrp1	193471
yhfYp3	3511622
torTp1	1056220
pdxAp	
talAp2	2578570
ybiUp6	859106
proLp	2286207
cutAp	4365392
ydhBp2	1739809
yihQp1	4069446
idnDp	4494435
clpBp	2734205
gabDp2	2790912
yccTp5	1027797
ykgCp4	320170
tolCp4	3178074
mlrAp6	2214749
rfaDp1	3793939
sbcBp	2082728
greBp7	3536780
pyrLp2	4472553
serWp2	926006
ybbLp6	515892
csrAp	2819373
sfsBp2	3334796
ybaPp4	508264
ulaAp	4419927
frdDp2	4379433
asnTp	2044541
loiPp	3081892
ubiCp	4252443
prkBp	3484311
