Promoter Name	Absolute-Plus-1-Position	Component-Of	Regulated-By
PM444	2303577	COLI-K12-47 // TU363	REG0-5063 // REG0-5062 // REG0-5061 // REG0-5060 // REG0-5059 // REG0-5058
PM0-1901	4368603	COLI-K12-89 // TU0-1721	
PM0-45879	3836877	COLI-K12-78	
PM0-9830		TU0-14547	
PM0-9766	3678412	COLI-K12-75 // TU0-13969	
PM0-46009	4308667	COLI-K12-88	
PM0-10367	1624688	COLI-K12-33 // TU0-8706	REG0-10391
PM0-44767	1197625	COLI-K12-24	
PM0-9987	540359	COLI-K12-11 // TU0-14616	
PM00124	4267082	COLI-K12-87 // TU00087	REG0-5463 // REG0-5462
PM0-10541	2765894	COLI-K12-56 // TU0-14327	REG0-10713
PM0-44703	1051278	COLI-K12-21	
PM0-45464	2873392	COLI-K12-58	
PM0-1221	4042391	COLI-K12-82 // TU0-1061	REG0-6493
PM0-44405	275298	COLI-K12-5	
PM0-5164	4491182	COLI-K12-91 // TU0-4924	
PM0-45481	2941721	COLI-K12-60	
PM0-45913	4004227	COLI-K12-81	
PM0-44546	633524	COLI-K12-12	
PM0-45829	3712983	COLI-K12-75	
PM00493	4163295	COLI-K12-85 // TU00430	REG0-5235
PM0-9626	75608	COLI-K12-1 // TU0-14425	
PM0-45139	1959267	COLI-K12-40	
PM0-45587	3168286	TU0-45150 // COLI-K12-64	
PM0-46439	136504	COLI-K12-2 // TU0-44217	
PM0-45631	3241819	COLI-K12-66	
PM0-44758	1178540	COLI-K12-24	
PM0-45707	3389461	COLI-K12-69	
PM0-46601	105313	COLI-K12-2 // TU0-198690	
PM173	3519380	COLI-K12-72 // TU872	
PM0-44453	346436	COLI-K12-7	
PM0-45126	1930855	COLI-K12-39	
PM0-45066	1833308	COLI-K12-37	
PM00364	1146791	COLI-K12-23 // TU602	
PM0-9709	22229	COLI-K12-0 // TU0-14465	
PM0-44527	570845	COLI-K12-11	
PM0-36189	2466515	COLI-K12-50 // TU0-13600	
PM00065	2312830	COLI-K12-47 // TU00049	REG0-12298 // REG0-4582 // REG0-4581 // REG0-4580 // REG0-4579 // REG0-4578 // REG0-4576 // REG0-4575 // REG0-4574 // REG0-4573 // REG0-4572 // REG0-4571 // REG0-4570 // REG0-4569 // REG0-4568 // REG0-4567 // REG0-4566
PM00377	1806351	COLI-K12-36 // TU0-6408	
PM0-44924	1502369	COLI-K12-30	
PM0-46277	1148516	COLI-K12-23 // TU00266	REG0-11947 // REG0-11816
PM0-45233	2194175	COLI-K12-44	
PM0-44957	1568852	COLI-K12-32	
PM0-44474	430530	COLI-K12-8	
PM0-44837	1317303	COLI-K12-26	
PM0-45060	1813188	COLI-K12-37	
PM00192	2339457	COLI-K12-47 // TU00140	REG0-5714 // REG0-5713 // REG0-5712 // REG0-5711 // REG0-5710
PM0-45866	3793729	COLI-K12-77	
PM0-44789	1210323	COLI-K12-24	
PM0-45548	3099595	COLI-K12-63	
PM0-8622	1947439	COLI-K12-39 // TU0-8242	
PM0-44618	800620	COLI-K12-16	
PM0-10183	4370873	COLI-K12-89 // TU0-14673	
PM0-8862	3725354	COLI-K12-76 // TU00281	
PM0-36230	853098	COLI-K12-17 // TU0-13059	
PM0-1347	2731448	COLI-K12-55 // TU0-1187	REG0-16322 // REG0-11185 // REG0-11142 // REG0-11127 // REG0-6467 // REG0-6466 // REG0-6465 // REG0-6464 // REG0-6463
PM0-46000	4294307	COLI-K12-87	
PM0-44954	1555742	COLI-K12-31	
PM0-10438	1865724	COLI-K12-38 // TU0-13399	REG0-10514
PM0-45467	2876536	COLI-K12-58	
PM0-44850	1339162	COLI-K12-27	
PM0-46086	4564793	COLI-K12-93	
PM00651	2062252	COLI-K12-42 // TU00499	
PM0-8866	21383	COLI-K12-0 // TU00291	
PM0-45545	3092884	COLI-K12-63	
PM0-45936	4058380	COLI-K12-83	
PM0-9747	257810	COLI-K12-5	REG0-12312
PM0-44466	399460	COLI-K12-8	
PM0-44573	676700	COLI-K12-13	
PM0-44890	1425249	COLI-K12-29	
PM00020	2246929	COLI-K12-45 // TU00015	REG0-9277 // REG0-4804 // REG0-4803 // REG0-4802 // REG0-4801
PM00475	3950290	COLI-K12-80 // TU0-42517 // TU525	REG0-12621 // REG0-4950 // REG0-4949 // REG0-4948 // REG0-4947 // REG0-4946
PM0-10128	3237282	COLI-K12-66 // TU0-13858	
PM0-9781		TU0-14502	
PM171	1908792	COLI-K12-39 // TU0-2447	REG0-6376
PM224	3777289	COLI-K12-77 // TU164	REG0-9480 // REG0-9479 // REG0-8950 // REG0-5128 // REG0-5127
PM0-45140	1959984	COLI-K12-40	
PM00174	3847198	COLI-K12-78 // TU00130	REG0-12329 // REG0-5902 // REG0-5901 // REG0-5900
PM0-44925	1502345	COLI-K12-30	
PM0-45753	3526319	COLI-K12-72	
PM0-44852	1339182	COLI-K12-27	
PM0-44997	1667240	COLI-K12-34	
PM0-3321	3469896	COLI-K12-71 // TU0-3141	REG0-6362
PM0-8749	1289106	COLI-K12-26 // TU0-8367	
PM0-44869	1393139	COLI-K12-28	
PM0-10073	2081325	COLI-K12-42 // TU0-13487	
PM0-5241	3866981	COLI-K12-79 // TU0-5001	REG0-6225
PM00640	2828860	COLI-K12-57 // TU0-7042	
PM0-44610	785373	COLI-K12-16	
PM0-6041	4262816	COLI-K12-87 // TU0-5741	REG0-6178 // REG0-6177
PM0-44521	564607	COLI-K12-11	
