complex_id	associated_monomer_id	var_0_normalized_monomer_count	var_of_interest_normalized_monomer_count
1-PFK[c]	1-PFK-MONOMER[c]	1.426367619699898e-05	1.0211118943691972e-05
CPLX0-8301[c]	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c]	6.706616508750047e-05	2.6903797141282863e-05
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX[c]	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c]	0.0006250321393484372	0.0003467423425715388
CPLX0-8005[c]	3-OXOACYL-ACP-REDUCT-MONOMER[c]	0.0006745375727563863	0.00042859604969464277
3-OXOACYL-ACP-SYNTHII-CPLX[c]	3-OXOACYL-ACP-SYNTHII-MONOMER[c]	0.0002609082489007576	0.00017042166405549302
6PFK-1-CPX[c]	6PFK-1-MONOMER[c]	0.0005583348851432346	0.00027315601023127496
6PFK-2-CPX[c]	6PFK-2-MONOMER[c]	3.438778730837186e-05	1.9167570521582354e-05
6PGLUCONDEHYDROG-CPLX[c]	6PGLUCONDEHYDROG-MONOMER[c]	0.0005167748478937113	0.00031574606362758253
7-ALPHA-HYDROXYSTEROID-DEH-CPLX[c]	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c]	0.00010249329782397137	5.83631548700329e-05
7KAPSYN-CPLX[c]	7KAPSYN-MONOMER[c]	2.232604213501811e-05	1.2041456059328845e-05
METNIQ-METHIONINE-ABC-CPLX[m]	ABC-MONOMER[m]	4.908406127598677e-05	2.304386885656637e-05
ACETOLACTSYNIII-CPLX[c]	ACETOLACTSYNIII-HCHAIN-MONOMER[c]	9.008943593597082e-05	3.6070867086059134e-05
ACETOLACTSYNIII-CPLX[c]	ACETOLACTSYNIII-ICHAIN-MONOMER[c]	5.487867046077322e-05	2.271227366216156e-05
ACETYL-COA-ACETYLTRANSFER-CPLX[c]	ACETYL-COA-ACETYLTRANSFER-MONOMER[c]	7.121677566161837e-05	4.4119497568609384e-05
ACETYLGLUTKIN-CPLX[c]	ACETYLGLUTKIN-MONOMER[c]	5.85924398702631e-05	3.160169277460626e-05
ACETYLORNDEACET-CPLX[c]	ACETYLORNDEACET-MONOMER[c]	0.0001082247664308701	5.51626574672441e-05
ACETYLORNTRANSAM-CPLX[c]	ACETYLORNTRANSAM-MONOMER[c]	7.188993820266344e-05	3.602264253924815e-05
CPLX0-7760[c]	ACONITASE-MONOMER[c]	6.405919344306325e-05	4.038395931925688e-05
TRANS-CPLX-201[m]	ACRB-MONOMER[m]	4.617189426130476e-05	3.567241030560741e-05
CPLX0-2141[m]	ACRF-MONOMER[m]	5.758233502526095e-09	1e-10
ACSERLYA-CPLX[c]	ACSERLYA-MONOMER[c]	0.003227161382390075	0.0019425474350903934
ACSERLYB-CPLX[c]	ACSERLYB-MONOMER[c]	0.0001422572185506259	9.057062597456951e-05
ACYLCOASYN-CPLX[c]	ACYLCOASYN-MONOMER[c]	1.2978682962125562e-05	8.469444811464788e-06
ADCLY-CPLX[c]	ADCLY-MONOMER[c]	0.0003242584265441999	0.00019134411774049306
ADENPRIBOSYLTRAN-CPLX[c]	ADENPRIBOSYLTRAN-MONOMER[c]	0.0004664220222899789	0.00027238953788875805
ADENYLOSUCCINATE-SYN-DIMER[c]	ADENYLOSUCCINATE-SYN-MONOMER[c]	0.0009687782291648654	0.0005592434006162422
ADENYLYLSULFKIN-CPLX[c]	ADENYLYLSULFKIN-MONOMER[c]	0.00016478377325221532	0.0001044117206381588
ADHC-CPLX[c]	ADHC-MONOMER[c]	8.902073938161069e-05	4.2887591252176916e-05
ADHE-CPLX[c]	ADHE-MONOMER[c]	0.0006938734871220414	0.0004286581629136801
CPLX0-8015[c]	ADHP-MONOMER[c]	2.6995927341749555e-05	2.0697307287351518e-05
AERGLYC3PDEHYDROG-CPLX[i]	AERGLYC3PDEHYDROG-MONOMER[i]	0.0017626528654298471	0.000925410563481494
CPLX-170[i]	AGAB-MONOMER[c]	9.156327262584779e-07	1.7365995292815673e-07
CPLX-170[i]	AGAC-MONOMER[i]	8.360713702331769e-07	1.6054974848254353e-07
CPLX-170[i]	AGAD-MONOMER[i]	7.691044900305137e-07	1.4356957410369975e-07
AGMATIN-CPLX[c]	AGMATIN-MONOMER[c]	0.00024427321067762046	0.0001585288255524755
AIRS-CPLX[c]	AIRS-MONOMER[c]	0.00034014513359259627	0.00019086303555146655
AKBLIG-CPLX[c]	AKBLIG-MONOMER[c]	2.1480388066204626e-05	1.2608185697995194e-05
CPLX0-8202[c]	ALARACEBIOSYN-MONOMER[c]	1.5967646493151403e-05	7.162107847649031e-06
CPLX0-7465[c]	ALARACECAT-MONOMER[c]	1.5132354729091321e-05	9.808715520157943e-06
ALAS-CPLX[c]	ALAS-MONOMER[c]	0.0002593947453575481	0.00016032031222311277
CPLX0-3482[c]	ALDDEHYDROGB-MONOMER[c]	1.0034286339690673e-06	1.922633093822247e-08
